日期,单位净值,累计净值,累计单位净值,基金id
2022-12-13,1.072,1.072,1.0,致远量化多头运作8号私募证券投资基金B
2022-12-14,1.067,1.067,0.9953358208955223,致远量化多头运作8号私募证券投资基金B
2022-12-15,1.062,1.062,0.9906716417910447,致远量化多头运作8号私募证券投资基金B
2022-12-16,1.06,1.06,0.9888059701492536,致远量化多头运作8号私募证券投资基金B
2022-12-19,1.061,1.061,0.989738805970149,致远量化多头运作8号私募证券投资基金B
2022-12-20,1.052,1.052,0.9813432835820893,致远量化多头运作8号私募证券投资基金B
2022-12-21,1.031,1.031,0.9617537313432832,致远量化多头运作8号私募证券投资基金B
2022-12-22,1.025,1.025,0.95615671641791,致远量化多头运作8号私募证券投资基金B
2022-12-23,1.021,1.021,0.952425373134328,致远量化多头运作8号私募证券投资基金B
2022-12-26,1.012,1.012,0.9440298507462683,致远量化多头运作8号私募证券投资基金B
2022-12-27,1.009,1.009,0.9412313432835817,致远量化多头运作8号私募证券投资基金B
2022-12-28,1.025,1.025,0.9561567164179101,致远量化多头运作8号私募证券投资基金B
2022-12-29,1.029,1.029,0.9598880597014922,致远量化多头运作8号私募证券投资基金B
2022-12-30,1.02,1.02,0.9514925373134326,致远量化多头运作8号私募证券投资基金B
2023-01-03,1.017,1.017,0.948694029850746,致远量化多头运作8号私募证券投资基金B
2023-01-04,1.022,1.022,0.9533582089552237,致远量化多头运作8号私募证券投资基金B
2023-01-05,1.037,1.037,0.9673507462686564,致远量化多头运作8号私募证券投资基金B
2023-01-06,1.037,1.037,0.9673507462686564,致远量化多头运作8号私募证券投资基金B
2023-01-09,1.044,1.044,0.973880597014925,致远量化多头运作8号私募证券投资基金B
2023-01-10,1.043,1.043,0.9729477611940294,致远量化多头运作8号私募证券投资基金B
2023-01-11,1.047,1.047,0.9766791044776115,致远量化多头运作8号私募证券投资基金B
2023-01-12,1.046,1.046,0.9757462686567161,致远量化多头运作8号私募证券投资基金B
2023-01-13,1.039,1.039,0.9692164179104473,致远量化多头运作8号私募证券投资基金B
2023-01-16,1.04,1.04,0.970149253731343,致远量化多头运作8号私募证券投资基金B
2023-01-17,1.045,1.045,0.9748134328358206,致远量化多头运作8号私募证券投资基金B
2023-01-18,1.055,1.055,0.9841417910447758,致远量化多头运作8号私募证券投资基金B
2023-01-19,1.054,1.054,0.9832089552238804,致远量化多头运作8号私募证券投资基金B
2023-01-20,1.057,1.057,0.9860074626865668,致远量化多头运作8号私募证券投资基金B
2023-01-30,1.063,1.063,0.99160447761194,致远量化多头运作8号私募证券投资基金B
2023-01-31,1.072,1.072,0.9999999999999998,致远量化多头运作8号私募证券投资基金B
2023-02-01,1.081,1.081,1.0083955223880594,致远量化多头运作8号私募证券投资基金B
2023-02-02,1.085,1.085,1.0121268656716416,致远量化多头运作8号私募证券投资基金B
2023-02-03,1.1,1.1,1.0261194029850744,致远量化多头运作8号私募证券投资基金B
2023-02-06,1.103,1.103,1.028917910447761,致远量化多头运作8号私募证券投资基金B
2023-02-07,1.101,1.101,1.02705223880597,致远量化多头运作8号私募证券投资基金B
2023-02-08,1.1,1.1,1.0261194029850746,致远量化多头运作8号私募证券投资基金B
2023-02-09,1.108,1.108,1.033582089552239,致远量化多头运作8号私募证券投资基金B
2023-02-10,1.104,1.104,1.0298507462686568,致远量化多头运作8号私募证券投资基金B
2023-02-13,1.116,1.116,1.041044776119403,致远量化多头运作8号私募证券投资基金B
2023-02-14,1.117,1.117,1.0419776119402986,致远量化多头运作8号私募证券投资基金B
2023-02-15,1.125,1.125,1.0494402985074627,致远量化多头运作8号私募证券投资基金B
2023-02-16,1.128,1.128,1.052238805970149,致远量化多头运作8号私募证券投资基金B
2023-02-17,1.128,1.128,1.052238805970149,致远量化多头运作8号私募证券投资基金B
2023-02-20,1.108,1.108,1.0335820895522387,致远量化多头运作8号私募证券投资基金B
2023-02-21,1.104,1.104,1.0298507462686566,致远量化多头运作8号私募证券投资基金B
2023-02-22,3.239,3.239,3.021455223880596,致远量化多头运作8号私募证券投资基金B
2023-02-23,1.124,1.124,1.0485074626865671,致远量化多头运作8号私募证券投资基金B
2023-02-24,1.124,1.124,1.0485074626865671,致远量化多头运作8号私募证券投资基金B
2023-02-27,1.122,1.122,1.046641791044776,致远量化多头运作8号私募证券投资基金B
2023-02-28,1.119,1.119,1.0438432835820894,致远量化多头运作8号私募证券投资基金B
2023-03-01,1.112,1.112,1.037313432835821,致远量化多头运作8号私募证券投资基金B
2023-03-02,1.122,1.122,1.046641791044776,致远量化多头运作8号私募证券投资基金B
2023-03-03,1.129,1.129,1.0531716417910446,致远量化多头运作8号私募证券投资基金B
2023-03-06,1.126,1.126,1.050373134328358,致远量化多头运作8号私募证券投资基金B
2023-03-07,1.128,1.128,1.052238805970149,致远量化多头运作8号私募证券投资基金B
2023-03-08,1.128,1.128,1.052238805970149,致远量化多头运作8号私募证券投资基金B
2023-03-09,1.108,1.108,1.0335820895522387,致远量化多头运作8号私募证券投资基金B
2023-03-10,1.112,1.112,1.037313432835821,致远量化多头运作8号私募证券投资基金B
2023-03-13,1.113,1.113,1.0382462686567162,致远量化多头运作8号私募证券投资基金B
2023-03-14,1.098,1.098,1.0242537313432836,致远量化多头运作8号私募证券投资基金B
2023-03-15,1.104,1.104,1.0298507462686568,致远量化多头运作8号私募证券投资基金B
2023-03-16,1.09,1.09,1.0167910447761195,致远量化多头运作8号私募证券投资基金B
2023-03-17,1.1,1.1,1.0261194029850746,致远量化多头运作8号私募证券投资基金B
2023-03-20,1.084,1.084,1.0111940298507462,致远量化多头运作8号私募证券投资基金B
2023-03-21,1.088,1.088,1.0149253731343282,致远量化多头运作8号私募证券投资基金B
2023-03-22,1.087,1.087,1.0139925373134326,致远量化多头运作8号私募证券投资基金B
2023-03-23,1.103,1.103,1.028917910447761,致远量化多头运作8号私募证券投资基金B
2023-03-24,1.108,1.108,1.0335820895522387,致远量化多头运作8号私募证券投资基金B
2023-03-27,1.108,1.108,1.0335820895522387,致远量化多头运作8号私募证券投资基金B
2023-03-28,1.108,1.108,1.0335820895522387,致远量化多头运作8号私募证券投资基金B
2023-03-29,1.106,1.106,1.0317164179104477,致远量化多头运作8号私募证券投资基金B
2023-03-30,1.102,1.102,1.0279850746268655,致远量化多头运作8号私募证券投资基金B
2023-03-31,1.099,1.099,1.0251865671641789,致远量化多头运作8号私募证券投资基金B
2023-04-03,1.1,1.1,1.0261194029850744,致远量化多头运作8号私募证券投资基金B
2023-04-04,1.112,1.112,1.0373134328358207,致远量化多头运作8号私募证券投资基金B
2023-04-06,1.118,1.118,1.0429104477611937,致远量化多头运作8号私募证券投资基金B
2023-04-07,1.109,1.109,1.0345149253731338,致远量化多头运作8号私募证券投资基金B
2023-04-10,1.106,1.106,1.0317164179104474,致远量化多头运作8号私募证券投资基金B
2023-04-11,1.116,1.116,1.0410447761194026,致远量化多头运作8号私募证券投资基金B
2023-04-12,1.107,1.107,1.0326492537313428,致远量化多头运作8号私募证券投资基金B
2023-04-13,1.108,1.108,1.0335820895522383,致远量化多头运作8号私募证券投资基金B
2023-04-14,1.112,1.112,1.0373134328358204,致远量化多头运作8号私募证券投资基金B
2023-04-17,1.109,1.109,1.0345149253731338,致远量化多头运作8号私募证券投资基金B
2023-04-18,1.111,1.111,1.036380597014925,致远量化多头运作8号私募证券投资基金B
2023-04-19,1.117,1.117,1.041977611940298,致远量化多头运作8号私募证券投资基金B
2023-04-20,1.114,1.114,1.0391791044776113,致远量化多头运作8号私募证券投资基金B
2023-04-21,1.108,1.108,1.0335820895522383,致远量化多头运作8号私募证券投资基金B
2023-04-24,1.101,1.101,1.0270522388059695,致远量化多头运作8号私募证券投资基金B
2023-04-25,1.079,1.079,1.0065298507462679,致远量化多头运作8号私募证券投资基金B
2023-04-26,1.072,1.072,0.9999999999999993,致远量化多头运作8号私募证券投资基金B
2023-04-27,1.057,1.057,0.9860074626865664,致远量化多头运作8号私募证券投资基金B
2023-04-28,1.06,1.06,0.9888059701492531,致远量化多头运作8号私募证券投资基金B
2023-05-04,1.064,1.064,0.9925373134328351,致远量化多头运作8号私募证券投资基金B
2023-05-05,1.078,1.078,1.0055970149253723,致远量化多头运作8号私募证券投资基金B
2023-05-08,1.076,1.076,1.0037313432835813,致远量化多头运作8号私募证券投资基金B
2023-05-09,1.068,1.068,0.9962686567164171,致远量化多头运作8号私募证券投资基金B
2023-05-10,1.073,1.073,1.0009328358208947,致远量化多头运作8号私募证券投资基金B
2023-05-11,1.059,1.059,0.9878731343283573,致远量化多头运作8号私募证券投资基金B
2023-05-12,1.061,1.061,0.9897388059701483,致远量化多头运作8号私募证券投资基金B
2023-05-15,1.064,1.064,0.9925373134328349,致远量化多头运作8号私募证券投资基金B
2023-05-16,1.055,1.055,0.9841417910447751,致远量化多头运作8号私募证券投资基金B
2023-05-17,1.064,1.064,0.9925373134328349,致远量化多头运作8号私募证券投资基金B
2023-05-18,1.054,1.054,0.9832089552238796,致远量化多头运作8号私募证券投资基金B
2023-05-19,1.061,1.061,0.9897388059701482,致远量化多头运作8号私募证券投资基金B
2023-05-22,1.067,1.067,0.9953358208955213,致远量化多头运作8号私募证券投资基金B
2023-05-23,1.07,1.07,0.9981343283582079,致远量化多头运作8号私募证券投资基金B
2023-05-24,1.075,1.075,1.0027985074626853,致远量化多头运作8号私募证券投资基金B
2023-05-25,1.065,1.065,0.9934701492537301,致远量化多头运作8号私募证券投资基金B
2023-05-26,1.061,1.061,0.989738805970148,致远量化多头运作8号私募证券投资基金B
2023-05-29,1.06,1.06,0.9888059701492525,致远量化多头运作8号私募证券投资基金B
2023-05-30,1.066,1.066,0.9944029850746258,致远量化多头运作8号私募证券投资基金B
2023-05-31,1.063,1.063,0.9916044776119392,致远量化多头运作8号私募证券投资基金B
2023-06-01,1.065,1.065,0.9934701492537301,致远量化多头运作8号私募证券投资基金B
2023-06-02,1.061,1.061,0.989738805970148,致远量化多头运作8号私募证券投资基金B
2023-06-05,1.064,1.064,0.9925373134328346,致远量化多头运作8号私募证券投资基金B
2023-06-06,1.075,1.075,1.0027985074626853,致远量化多头运作8号私募证券投资基金B
2023-06-07,1.076,1.076,1.003731343283581,致远量化多头运作8号私募证券投资基金B
2023-06-08,1.055,1.055,0.984141791044775,致远量化多头运作8号私募证券投资基金B
2023-06-09,1.057,1.057,0.986007462686566,致远量化多头运作8号私募证券投资基金B
2023-06-12,1.054,1.054,0.9832089552238795,致远量化多头运作8号私募证券投资基金B
2023-06-13,1.059,1.059,0.987873134328357,致远量化多头运作8号私募证券投资基金B
2023-06-14,1.066,1.066,0.9944029850746258,致远量化多头运作8号私募证券投资基金B
2023-06-15,1.07,1.07,0.9981343283582079,致远量化多头运作8号私募证券投资基金B
2023-06-16,1.072,1.072,0.999999999999999,致远量化多头运作8号私募证券投资基金B
2023-06-19,1.078,1.078,1.0055970149253721,致远量化多头运作8号私募证券投资基金B
2023-06-20,1.085,1.085,1.0121268656716407,致远量化多头运作8号私募证券投资基金B
2023-06-21,1.082,1.082,1.009328358208954,致远量化多头运作8号私募证券投资基金B
2023-06-26,1.078,1.078,1.005597014925372,致远量化多头运作8号私募证券投资基金B
2023-06-27,1.065,1.065,0.99347014925373,致远量化多头运作8号私募证券投资基金B
2023-06-28,1.047,1.047,0.9766791044776106,致远量化多头运作8号私募证券投资基金B
2023-06-29,1.066,1.066,0.9944029850746257,致远量化多头运作8号私募证券投资基金B
2023-06-30,1.064,1.064,0.9925373134328346,致远量化多头运作8号私募证券投资基金B
2023-07-03,1.072,1.072,0.9999999999999988,致远量化多头运作8号私募证券投资基金B
2023-07-04,1.084,1.084,1.011194029850745,致远量化多头运作8号私募证券投资基金B
2023-07-05,1.088,1.088,1.0149253731343268,致远量化多头运作8号私募证券投资基金B
2023-07-06,1.093,1.093,1.0195895522388043,致远量化多头运作8号私募证券投资基金B
2023-07-07,1.087,1.087,1.0139925373134313,致远量化多头运作8号私募证券投资基金B
2023-07-10,1.084,1.084,1.011194029850745,致远量化多头运作8号私募证券投资基金B
2023-07-11,1.081,1.081,1.0083955223880583,致远量化多头运作8号私募证券投资基金B
2023-07-12,1.082,1.082,1.009328358208954,致远量化多头运作8号私募证券投资基金B
2023-07-13,1.09,1.09,1.0167910447761184,致远量化多头运作8号私募证券投资基金B
2023-07-14,1.078,1.078,1.0055970149253721,致远量化多头运作8号私募证券投资基金B
2023-07-17,1.089,1.089,1.0158582089552228,致远量化多头运作8号私募证券投资基金B
2023-07-18,1.092,1.092,1.0186567164179094,致远量化多头运作8号私募证券投资基金B
2023-07-19,1.09,1.09,1.0167910447761184,致远量化多头运作8号私募证券投资基金B
2023-07-20,1.091,1.091,1.017723880597014,致远量化多头运作8号私募证券投资基金B
2023-07-21,1.09,1.09,1.0167910447761184,致远量化多头运作8号私募证券投资基金B
2023-07-24,1.081,1.081,1.0083955223880585,致远量化多头运作8号私募证券投资基金B
2023-07-25,1.081,1.081,1.0083955223880585,致远量化多头运作8号私募证券投资基金B
2023-07-26,1.082,1.082,1.0093283582089543,致远量化多头运作8号私募证券投资基金B
2023-07-27,1.096,1.096,1.0223880597014916,致远量化多头运作8号私募证券投资基金B
2023-07-28,1.091,1.091,1.017723880597014,致远量化多头运作8号私募证券投资基金B
2023-08-01,1.086,1.086,1.0130597014925364,致远量化多头运作8号私募证券投资基金B
2023-08-02,1.095,1.095,1.0214552238805958,致远量化多头运作8号私募证券投资基金B
2023-08-03,1.101,1.101,1.0270522388059689,致远量化多头运作8号私募证券投资基金B
2023-08-04,1.1,1.1,1.0261194029850735,致远量化多头运作8号私募证券投资基金B
2023-08-07,1.099,1.099,1.025186567164178,致远量化多头运作8号私募证券投资基金B
2023-08-08,1.099,1.099,1.025186567164178,致远量化多头运作8号私募证券投资基金B
