基金代码,基金名称,日期,单位净值,累计净值
TW548B,细水居20号私募证券投资基金B,2022-08-18,1.0,1.0
TW548B,细水居20号私募证券投资基金B,2022-08-22,1.0,1.0
TW548B,细水居20号私募证券投资基金B,2022-08-23,1.0,1.0
TW548B,细水居20号私募证券投资基金B,2022-08-24,1.0,1.0
TW548B,细水居20号私募证券投资基金B,2022-08-25,1.0,1.0
TW548B,细水居20号私募证券投资基金B,2022-08-26,1.0,1.0
TW548B,细水居20号私募证券投资基金B,2022-09-01,1.0001,1.0001
TW548B,细水居20号私募证券投资基金B,2022-09-08,0.9998,0.9998
TW548B,细水居20号私募证券投资基金B,2022-09-16,1.0006,1.0006
TW548B,细水居20号私募证券投资基金B,2022-09-22,0.9728,0.9728
TW548B,细水居20号私募证券投资基金B,2022-09-29,0.9808,0.9808
TW548B,细水居20号私募证券投资基金B,2022-10-11,0.9577,0.9577
TW548B,细水居20号私募证券投资基金B,2022-10-14,0.9826,0.9826
TW548B,细水居20号私募证券投资基金B,2022-10-20,0.9743,0.9743
TW548B,细水居20号私募证券投资基金B,2022-10-27,0.9864,0.9864
TW548B,细水居20号私募证券投资基金B,2022-11-03,1.0369,1.0369
TW548B,细水居20号私募证券投资基金B,2022-11-10,1.0487,1.0487
TW548B,细水居20号私募证券投资基金B,2022-11-17,1.0493,1.0493
TW548B,细水居20号私募证券投资基金B,2022-11-24,1.0608,1.0608
TW548B,细水居20号私募证券投资基金B,2022-12-01,1.0823,1.0823
TW548B,细水居20号私募证券投资基金B,2022-12-08,1.0196,1.0196
TW548B,细水居20号私募证券投资基金B,2022-12-15,1.0108,1.0108
TW548B,细水居20号私募证券投资基金B,2022-12-16,1.0103,1.0103
TW548B,细水居20号私募证券投资基金B,2022-12-22,0.9975,0.9975
TW548B,细水居20号私募证券投资基金B,2022-12-29,1.0586,1.0586
TW548B,细水居20号私募证券投资基金B,2023-01-06,1.0324,1.0324
TW548B,细水居20号私募证券投资基金B,2023-01-10,1.025,1.025
TW548B,细水居20号私募证券投资基金B,2023-01-16,1.0284,1.0284
TW548B,细水居20号私募证券投资基金B,2023-01-18,1.0545,1.0545
TW548B,细水居20号私募证券投资基金B,2023-01-31,1.0928,1.0928
TW548B,细水居20号私募证券投资基金B,2023-02-06,1.1083,1.1083
TW548B,细水居20号私募证券投资基金B,2023-02-09,1.1164,1.1164
TW548B,细水居20号私募证券投资基金B,2023-02-16,1.0977,1.0977
TW548B,细水居20号私募证券投资基金B,2023-02-22,1.0,1.0
TW548B,细水居20号私募证券投资基金B,2023-02-23,1.0607,1.0607
TW548B,细水居20号私募证券投资基金B,2023-03-02,1.037,1.037
TW548B,细水居20号私募证券投资基金B,2023-03-09,1.0334,1.0334
TW548B,细水居20号私募证券投资基金B,2023-03-16,1.0033,1.0033
TW548B,细水居20号私募证券投资基金B,2023-03-23,0.953,0.953
TW548B,细水居20号私募证券投资基金B,2023-03-30,0.9651,0.9651
TW548B,细水居20号私募证券投资基金B,2023-04-07,0.9569,0.9569
TW548B,细水居20号私募证券投资基金B,2023-04-10,0.9751,0.9751
TW548B,细水居20号私募证券投资基金B,2023-04-13,0.9929,0.9929
TW548B,细水居20号私募证券投资基金B,2023-04-20,0.9867,0.9867
TW548B,细水居20号私募证券投资基金B,2023-04-27,1.0256,1.0256
TW548B,细水居20号私募证券投资基金B,2023-05-05,1.0765,1.0765
TW548B,细水居20号私募证券投资基金B,2023-05-11,1.0766,1.0766
TW548B,细水居20号私募证券投资基金B,2023-05-18,1.0581,1.0581
TW548B,细水居20号私募证券投资基金B,2023-05-25,1.0604,1.0604
TW548B,细水居20号私募证券投资基金B,2023-06-01,1.0404,1.0404
TW548B,细水居20号私募证券投资基金B,2023-06-08,1.0412,1.0412
TW548B,细水居20号私募证券投资基金B,2023-06-15,1.052,1.052
TW548B,细水居20号私募证券投资基金B,2023-06-26,1.1001,1.1001
TW548B,细水居20号私募证券投资基金B,2023-06-27,1.0897,1.0897
TW548B,细水居20号私募证券投资基金B,2023-06-30,1.1195,1.1195
TW548B,细水居20号私募证券投资基金B,2023-07-06,1.0835,1.0835
TW548B,细水居20号私募证券投资基金B,2023-07-13,1.0521,1.0521
TW548B,细水居20号私募证券投资基金B,2023-07-20,1.0652,1.0652
TW548B,细水居20号私募证券投资基金B,2023-07-27,1.0384,1.0384
TW548B,细水居20号私募证券投资基金B,2023-08-03,1.0676,1.0676
TW548B,细水居20号私募证券投资基金B,2023-08-10,1.0684,1.0684
TW548B,细水居20号私募证券投资基金B,2023-08-15,1.1036,1.1036
TW548B,细水居20号私募证券投资基金B,2023-08-16,1.1036,1.1036
TW548B,细水居20号私募证券投资基金B,2023-08-17,1.1036,1.1036
TW548B,细水居20号私募证券投资基金B,2023-08-22,1.152,1.152
TW548B,细水居20号私募证券投资基金B,2023-08-29,1.2128,1.2128
TW548B,细水居20号私募证券投资基金B,2023-09-05,1.1822,1.1822
TW548B,细水居20号私募证券投资基金B,2023-09-12,1.1652,1.1652
TW548B,细水居20号私募证券投资基金B,2023-09-19,1.1441,1.1441
TW548B,细水居20号私募证券投资基金B,2023-09-26,1.1755,1.1755
TW548B,细水居20号私募证券投资基金B,2023-10-10,1.1576,1.1576
TW548B,细水居20号私募证券投资基金B,2023-10-11,1.154,1.154
TW548B,细水居20号私募证券投资基金B,2023-10-17,1.1566,1.1566
TW548B,细水居20号私募证券投资基金B,2023-10-24,1.2015,1.2015
TW548B,细水居20号私募证券投资基金B,2023-10-31,1.1692,1.1692
TW548B,细水居20号私募证券投资基金B,2023-11-07,1.1864,1.1864
TW548B,细水居20号私募证券投资基金B,2023-11-14,1.197,1.197
TW548B,细水居20号私募证券投资基金B,2023-11-21,1.1829,1.1829
TW548B,细水居20号私募证券投资基金B,2023-11-28,1.2103,1.2103
TW548B,细水居20号私募证券投资基金B,2023-12-05,1.2099,1.2099
TW548B,细水居20号私募证券投资基金B,2023-12-12,1.2459,1.2459
TW548B,细水居20号私募证券投资基金B,2023-12-19,1.2523,1.2523
TW548B,细水居20号私募证券投资基金B,2023-12-26,1.3058,1.3058
TW548B,细水居20号私募证券投资基金B,2024-01-03,1.3101,1.3101
TW548B,细水居20号私募证券投资基金B,2024-01-09,1.3212,1.3212
TW548B,细水居20号私募证券投资基金B,2024-01-16,1.3526,1.3526
TW548B,细水居20号私募证券投资基金B,2024-01-23,1.3821,1.3821
TW548B,细水居20号私募证券投资基金B,2024-01-30,1.4021,1.4021
TW548B,细水居20号私募证券投资基金B,2024-02-06,1.4759,1.4759
TW548B,细水居20号私募证券投资基金B,2024-02-20,1.6134,1.6134
TW548B,细水居20号私募证券投资基金B,2024-02-21,1.6034,1.6034
TW548B,细水居20号私募证券投资基金B,2024-02-27,1.6201,1.6201
TW548B,细水居20号私募证券投资基金B,2024-02-29,1.1,1.6227
TW548B,细水居20号私募证券投资基金B,2024-03-05,1.0963,1.619
TW548B,细水居20号私募证券投资基金B,2024-03-07,1.1078,1.6305
TW548B,细水居20号私募证券投资基金B,2024-03-12,1.0996,1.6223
TW548B,细水居20号私募证券投资基金B,2024-03-19,1.0907,1.6134
TW548B,细水居20号私募证券投资基金B,2024-03-26,1.1041,1.6268
TW548B,细水居20号私募证券投资基金B,2024-04-02,1.0922,1.6149
TW548B,细水居20号私募证券投资基金B,2024-04-09,1.0845,1.6072
TW548B,细水居20号私募证券投资基金B,2024-04-11,1.0981,1.6208
TW548B,细水居20号私募证券投资基金B,2024-04-16,1.0723,1.595
TW548B,细水居20号私募证券投资基金B,2024-04-23,1.07,1.5927
TW548B,细水居20号私募证券投资基金B,2024-04-30,1.0876,1.6103
TW548B,细水居20号私募证券投资基金B,2024-05-07,1.1101,1.6328
TW548B,细水居20号私募证券投资基金B,2024-05-08,1.1012,1.6239
TW548B,细水居20号私募证券投资基金B,2024-05-14,1.0795,1.6022
TW548B,细水居20号私募证券投资基金B,2024-05-21,1.086,1.6087
TW548B,细水居20号私募证券投资基金B,2024-05-28,1.1173,1.64
TW548B,细水居20号私募证券投资基金B,2024-06-04,1.0966,1.6193
TW548B,细水居20号私募证券投资基金B,2024-06-12,1.0996,1.6223
TW548B,细水居20号私募证券投资基金B,2024-06-18,1.0623,1.585
TW548B,细水居20号私募证券投资基金B,2024-06-25,1.0951,1.6178
TW548B,细水居20号私募证券投资基金B,2024-07-02,1.0956,1.6183
TW548B,细水居20号私募证券投资基金B,2024-07-09,1.0947,1.6174
TW548B,细水居20号私募证券投资基金B,2024-07-16,1.0776,1.6003
TW548B,细水居20号私募证券投资基金B,2024-07-23,1.1033,1.626
TW548B,细水居20号私募证券投资基金B,2024-07-30,1.1448,1.6675
TW548B,细水居20号私募证券投资基金B,2024-07-31,1.1338,1.6565
TW548B,细水居20号私募证券投资基金B,2024-08-06,1.1295,1.6522
TW548B,细水居20号私募证券投资基金B,2024-08-13,1.1347,1.6574
TW548B,细水居20号私募证券投资基金B,2024-08-20,1.1241,1.6468
TW548B,细水居20号私募证券投资基金B,2024-08-27,1.1299,1.6526
TW548B,细水居20号私募证券投资基金B,2024-09-03,1.1645,1.6872
TW548B,细水居20号私募证券投资基金B,2024-09-10,1.238,1.7607
TW548B,细水居20号私募证券投资基金B,2024-09-19,1.2287,1.7514
TW548B,细水居20号私募证券投资基金B,2024-09-24,1.2463,1.769
TW548B,细水居20号私募证券投资基金B,2024-10-08,1.2992,1.8219
TW548B,细水居20号私募证券投资基金B,2024-10-09,1.3961,1.9188
TW548B,细水居20号私募证券投资基金B,2024-10-10,1.4855,2.0082
TW548B,细水居20号私募证券投资基金B,2024-10-15,1.482,2.0047
TW548B,细水居20号私募证券投资基金B,2024-10-22,1.4341,1.9568
TW548B,细水居20号私募证券投资基金B,2024-10-29,1.4219,1.9446
TW548B,细水居20号私募证券投资基金B,2024-11-05,1.3473,1.87
TW548B,细水居20号私募证券投资基金B,2024-11-12,1.3402,1.8629
TW548B,细水居20号私募证券投资基金B,2024-11-19,1.3401,1.8628
TW548B,细水居20号私募证券投资基金B,2024-11-26,1.3283,1.851
TW548B,细水居20号私募证券投资基金B,2024-12-03,1.2903,1.813
TW548B,细水居20号私募证券投资基金B,2024-12-10,1.2986,1.8213
TW548B,细水居20号私募证券投资基金B,2024-12-17,1.2501,1.7728
TW548B,细水居20号私募证券投资基金B,2024-12-24,1.3225,1.8452
TW548B,细水居20号私募证券投资基金B,2024-12-31,1.3076,1.8303
TW548B,细水居20号私募证券投资基金B,2025-01-07,1.4071,1.9298
TW548B,细水居20号私募证券投资基金B,2025-01-14,1.4177,1.9404
TW548B,细水居20号私募证券投资基金B,2025-01-21,1.4112,1.9339
TW548B,细水居20号私募证券投资基金B,2025-02-05,1.3771,1.8998
TW548B,细水居20号私募证券投资基金B,2025-02-06,1.3718,1.8945
TW548B,细水居20号私募证券投资基金B,2025-02-07,1.3643,1.887
TW548B,细水居20号私募证券投资基金B,2025-02-11,1.3857,1.9084
TW548B,细水居20号私募证券投资基金B,2025-02-18,1.3823,1.905
TW548B,细水居20号私募证券投资基金B,2025-02-25,1.3878,1.9105
