日期,单位净值,累计净值,累计单位净值,基金id
2023-02-02,1.0,1.0,1.0,君证汇得利6008号私募证券投资基金A
2023-02-06,1.0,1.0,1.0,君证汇得利6008号私募证券投资基金A
2023-02-07,1.0,1.0,1.0,君证汇得利6008号私募证券投资基金A
2023-02-08,1.0,1.0,1.0,君证汇得利6008号私募证券投资基金A
2023-02-09,1.0,1.0,1.0,君证汇得利6008号私募证券投资基金A
2023-02-10,1.0,1.0,1.0,君证汇得利6008号私募证券投资基金A
2023-02-13,1.0,1.0,1.0,君证汇得利6008号私募证券投资基金A
2023-02-14,1.0,1.0,1.0,君证汇得利6008号私募证券投资基金A
2023-02-15,1.0,1.0,1.0,君证汇得利6008号私募证券投资基金A
2023-02-16,1.0,1.0,1.0,君证汇得利6008号私募证券投资基金A
2023-02-17,1.0,1.0,1.0,君证汇得利6008号私募证券投资基金A
2023-02-20,1.0,1.0,1.0,君证汇得利6008号私募证券投资基金A
2023-02-21,1.0,1.0,1.0,君证汇得利6008号私募证券投资基金A
2023-02-22,1.0,1.0,1.0,君证汇得利6008号私募证券投资基金A
2023-02-23,1.0,1.0,1.0,君证汇得利6008号私募证券投资基金A
2023-02-24,1.0,1.0,1.0,君证汇得利6008号私募证券投资基金A
2023-03-01,1.0,1.0,1.0,君证汇得利6008号私募证券投资基金A
2023-03-06,1.0,1.0,1.0,君证汇得利6008号私募证券投资基金A
2023-03-09,1.001,1.001,1.001,君证汇得利6008号私募证券投资基金A
2023-03-10,1.001,1.001,1.001,君证汇得利6008号私募证券投资基金A
2023-03-16,0.996,0.996,0.996,君证汇得利6008号私募证券投资基金A
2023-03-17,0.993,0.993,0.993,君证汇得利6008号私募证券投资基金A
2023-03-23,0.991,0.991,0.991,君证汇得利6008号私募证券投资基金A
2023-03-24,1.0,1.0,1.0,君证汇得利6008号私募证券投资基金A
2023-03-30,1.002,1.002,1.002,君证汇得利6008号私募证券投资基金A
2023-03-31,0.999,0.999,0.999,君证汇得利6008号私募证券投资基金A
2023-04-07,1.003,1.003,1.003,君证汇得利6008号私募证券投资基金A
2023-04-10,1.006,1.006,1.006,君证汇得利6008号私募证券投资基金A
2023-04-13,1.009,1.009,1.009,君证汇得利6008号私募证券投资基金A
2023-04-14,1.008,1.008,1.008,君证汇得利6008号私募证券投资基金A
2023-04-20,1.008,1.008,1.008,君证汇得利6008号私募证券投资基金A
2023-04-21,1.007,1.007,1.007,君证汇得利6008号私募证券投资基金A
2023-04-27,0.993,0.993,0.993,君证汇得利6008号私募证券投资基金A
2023-04-28,0.988,0.988,0.988,君证汇得利6008号私募证券投资基金A
2023-05-05,0.995,0.995,0.9949999999999999,君证汇得利6008号私募证券投资基金A
2023-05-11,0.983,0.983,0.9829999999999999,君证汇得利6008号私募证券投资基金A
2023-05-12,0.978,0.978,0.9779999999999999,君证汇得利6008号私募证券投资基金A
2023-05-18,0.969,0.969,0.9689999999999999,君证汇得利6008号私募证券投资基金A
2023-05-19,0.982,0.982,0.982,君证汇得利6008号私募证券投资基金A
2023-05-25,0.986,0.986,0.9860000000000001,君证汇得利6008号私募证券投资基金A
2023-05-26,0.984,0.984,0.9840000000000001,君证汇得利6008号私募证券投资基金A
2023-06-01,0.988,0.988,0.9880000000000002,君证汇得利6008号私募证券投资基金A
2023-06-02,0.986,0.986,0.9860000000000002,君证汇得利6008号私募证券投资基金A
2023-06-08,0.997,0.997,0.9970000000000001,君证汇得利6008号私募证券投资基金A
2023-06-09,0.988,0.988,0.9880000000000001,君证汇得利6008号私募证券投资基金A
2023-06-15,0.991,0.991,0.9910000000000001,君证汇得利6008号私募证券投资基金A
2023-06-16,0.996,0.996,0.9960000000000001,君证汇得利6008号私募证券投资基金A
2023-06-26,0.997,0.997,0.9970000000000001,君证汇得利6008号私募证券投资基金A
2023-06-29,0.985,0.985,0.9850000000000001,君证汇得利6008号私募证券投资基金A
2023-06-30,0.984,0.984,0.9840000000000001,君证汇得利6008号私募证券投资基金A
2023-07-06,0.988,0.988,0.9880000000000002,君证汇得利6008号私募证券投资基金A
2023-07-07,0.994,0.994,0.9940000000000002,君证汇得利6008号私募证券投资基金A
2023-07-13,0.991,0.991,0.9910000000000002,君证汇得利6008号私募证券投资基金A
2023-07-14,0.99,0.99,0.9900000000000002,君证汇得利6008号私募证券投资基金A
2023-07-20,0.994,0.994,0.9940000000000002,君证汇得利6008号私募证券投资基金A
2023-07-21,0.994,0.994,0.9940000000000002,君证汇得利6008号私募证券投资基金A
2023-07-27,0.992,0.992,0.9920000000000002,君证汇得利6008号私募证券投资基金A
2023-07-28,0.996,0.996,0.9960000000000003,君证汇得利6008号私募证券投资基金A
2023-08-03,0.998,0.998,0.9980000000000003,君证汇得利6008号私募证券投资基金A
2023-08-04,0.998,0.998,0.9980000000000003,君证汇得利6008号私募证券投资基金A
2023-08-10,1.001,1.001,1.0010000000000003,君证汇得利6008号私募证券投资基金A
2023-08-11,0.995,0.995,0.9950000000000004,君证汇得利6008号私募证券投资基金A
2023-08-15,0.991,0.991,0.9910000000000004,君证汇得利6008号私募证券投资基金A
2023-08-17,0.991,0.991,0.9910000000000004,君证汇得利6008号私募证券投资基金A
2023-08-18,0.982,0.982,0.9820000000000004,君证汇得利6008号私募证券投资基金A
2023-08-22,0.985,0.985,0.9850000000000005,君证汇得利6008号私募证券投资基金A
2023-08-25,0.973,0.973,0.9730000000000005,君证汇得利6008号私募证券投资基金A
2023-08-29,0.971,0.971,0.9710000000000005,君证汇得利6008号私募证券投资基金A
2023-09-05,0.989,0.989,0.9890000000000007,君证汇得利6008号私募证券投资基金A
2023-09-08,0.993,0.993,0.9930000000000008,君证汇得利6008号私募证券投资基金A
2023-09-12,0.972,0.972,0.9720000000000008,君证汇得利6008号私募证券投资基金A
2023-09-15,0.969,0.969,0.9690000000000007,君证汇得利6008号私募证券投资基金A
2023-09-19,0.967,0.967,0.9670000000000007,君证汇得利6008号私募证券投资基金A
2023-09-22,0.963,0.963,0.9630000000000007,君证汇得利6008号私募证券投资基金A
2023-09-26,0.97,0.97,0.9700000000000008,君证汇得利6008号私募证券投资基金A
2023-10-09,0.972,0.972,0.9720000000000008,君证汇得利6008号私募证券投资基金A
2023-10-10,0.976,0.976,0.9760000000000009,君证汇得利6008号私募证券投资基金A
2023-10-13,0.971,0.971,0.9710000000000009,君证汇得利6008号私募证券投资基金A
