日期,单位净值,累计净值,累计单位净值,基金id
2022-10-25,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-10-27,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-10-28,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-10-31,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-01,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-02,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-03,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-04,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-07,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-08,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-09,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-10,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-11,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-14,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-15,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-16,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-17,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-18,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-21,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-22,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-23,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-24,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-25,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-11-28,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-12-01,1.0,1.0,1.0,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-12-02,1.0001,1.0001,1.0001,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-12-06,1.1042,1.1042,1.1041999999999998,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-12-07,1.1043,1.1043,1.1042999999999998,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-12-09,1.1044,1.1044,1.1043999999999998,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-12-13,1.012,1.012,1.0119999999999998,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-12-14,1.0121,1.0121,1.0120999999999998,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-12-16,1.0121,1.0121,1.0120999999999998,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-12-19,1.0122,1.0122,1.0121999999999998,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-12-20,1.0121,1.0121,1.0120999999999998,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-12-21,1.0041,1.0041,1.0040999999999998,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-12-23,1.0048,1.0048,1.0047999999999997,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-12-27,1.0032,1.0032,1.0031999999999999,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-12-28,1.0048,1.0048,1.0047999999999997,赫富乐想1000指数增强运作1号私募证券投资基金B
2022-12-30,1.0054,1.0054,1.0053999999999998,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-01-04,1.004,1.004,1.0039999999999998,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-01-06,1.0314,1.0314,1.0313999999999999,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-01-09,1.0275,1.0275,1.0274999999999999,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-01-10,1.0502,1.0502,1.0501999999999998,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-01-11,1.0573,1.0573,1.0572999999999997,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-01-16,1.0546,1.0546,1.0545999999999998,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-01-17,1.0574,1.0574,1.0573999999999997,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-01-19,1.0702,1.0702,1.0701999999999998,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-01-30,1.0754,1.0754,1.0753999999999997,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-01-31,1.0895,1.0895,1.0894999999999997,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-02-02,1.1015,1.1015,1.1014999999999997,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-02-03,1.1234,1.1234,1.1233999999999997,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-02-07,1.1223,1.1223,1.1222999999999999,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-02-08,1.1188,1.1188,1.1187999999999998,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-02-10,1.1145,1.1145,1.1144999999999998,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-02-14,1.1248,1.1248,1.1247999999999998,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-02-15,1.1354,1.1354,1.1353999999999997,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-02-17,1.137,1.137,1.1369999999999998,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-02-21,1.1061,1.1061,1.1060999999999999,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-02-22,1.1233,1.1233,1.1232999999999997,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-02-24,1.1316,1.1316,1.1315999999999997,赫富乐想1000指数增强运作1号私募证券投资基金B
2023-02-28,1.1263,1.1263,1.1262999999999999,赫富乐想1000指数增强运作1号私募证券投资基金B
