日期,单位净值,累计净值,累计单位净值,基金id
2022-06-17,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-06-20,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-06-21,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-06-22,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-06-23,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-06-24,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-06-27,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-06-28,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-06-29,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-06-30,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-07-01,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-07-04,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-07-05,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-07-06,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-07-07,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-07-08,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-07-13,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-07-15,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-07-20,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-07-22,0.994,0.994,0.994,国源不绝3号私募证券投资基金C
2022-07-27,0.992,0.992,0.992,国源不绝3号私募证券投资基金C
2022-07-29,0.985,0.985,0.985,国源不绝3号私募证券投资基金C
2022-08-03,0.973,0.973,0.973,国源不绝3号私募证券投资基金C
2022-08-05,0.984,0.984,0.984,国源不绝3号私募证券投资基金C
2022-08-10,0.99,0.99,0.99,国源不绝3号私募证券投资基金C
2022-08-12,0.999,0.999,0.9989999999999999,国源不绝3号私募证券投资基金C
2022-08-17,1.0,1.0,1.0,国源不绝3号私募证券投资基金C
2022-08-19,1.003,1.003,1.003,国源不绝3号私募证券投资基金C
2022-08-24,1.01,1.01,1.01,国源不绝3号私募证券投资基金C
2022-08-26,1.024,1.024,1.024,国源不绝3号私募证券投资基金C
2022-08-31,1.023,1.023,1.023,国源不绝3号私募证券投资基金C
2022-09-02,1.024,1.024,1.0239999999999998,国源不绝3号私募证券投资基金C
2022-09-07,1.025,1.025,1.0249999999999997,国源不绝3号私募证券投资基金C
2022-09-09,1.034,1.034,1.0339999999999996,国源不绝3号私募证券投资基金C
2022-09-14,1.03,1.03,1.0299999999999996,国源不绝3号私募证券投资基金C
2022-09-16,1.024,1.024,1.0239999999999996,国源不绝3号私募证券投资基金C
2022-09-21,1.025,1.025,1.0249999999999995,国源不绝3号私募证券投资基金C
2022-09-23,1.028,1.028,1.0279999999999994,国源不绝3号私募证券投资基金C
2022-09-28,1.014,1.014,1.0139999999999993,国源不绝3号私募证券投资基金C
2022-09-30,1.01,1.01,1.0099999999999993,国源不绝3号私募证券投资基金C
2022-10-10,1.01,1.01,1.0099999999999993,国源不绝3号私募证券投资基金C
2022-10-12,1.018,1.018,1.0179999999999993,国源不绝3号私募证券投资基金C
2022-10-14,1.023,1.023,1.0229999999999992,国源不绝3号私募证券投资基金C
2022-10-19,1.029,1.029,1.0289999999999992,国源不绝3号私募证券投资基金C
2022-10-21,1.024,1.024,1.0239999999999994,国源不绝3号私募证券投资基金C
2022-10-26,0.997,0.997,0.9969999999999993,国源不绝3号私募证券投资基金C
2022-10-28,0.984,0.984,0.9839999999999993,国源不绝3号私募证券投资基金C
2022-11-02,1.0,1.0,0.9999999999999994,国源不绝3号私募证券投资基金C
2022-11-04,1.01,1.01,1.0099999999999993,国源不绝3号私募证券投资基金C
2022-11-09,1.015,1.015,1.0149999999999992,国源不绝3号私募证券投资基金C
2022-11-11,1.032,1.032,1.0319999999999994,国源不绝3号私募证券投资基金C
2022-11-16,1.034,1.034,1.0339999999999994,国源不绝3号私募证券投资基金C
2022-11-18,1.039,1.039,1.0389999999999993,国源不绝3号私募证券投资基金C
2022-11-23,1.046,1.046,1.0459999999999994,国源不绝3号私募证券投资基金C
2022-11-25,1.064,1.064,1.0639999999999994,国源不绝3号私募证券投资基金C
