日期,单位净值,累计净值,累计单位净值,基金id
2022-06-13,1.0,1.0,1.0,仲阳金石尧光私募证券投资基金C
2022-06-14,1.0,1.0,1.0,仲阳金石尧光私募证券投资基金C
2022-06-15,0.989,0.989,0.989,仲阳金石尧光私募证券投资基金C
2022-06-17,0.989,0.989,0.989,仲阳金石尧光私募证券投资基金C
2022-06-20,0.989,0.989,0.989,仲阳金石尧光私募证券投资基金C
2022-06-21,0.989,0.989,0.989,仲阳金石尧光私募证券投资基金C
2022-06-22,0.989,0.989,0.989,仲阳金石尧光私募证券投资基金C
2022-06-23,0.989,0.989,0.989,仲阳金石尧光私募证券投资基金C
2022-06-24,0.989,0.989,0.989,仲阳金石尧光私募证券投资基金C
2022-06-27,0.989,0.989,0.989,仲阳金石尧光私募证券投资基金C
2022-06-28,0.989,0.989,0.989,仲阳金石尧光私募证券投资基金C
2022-06-29,0.989,0.989,0.989,仲阳金石尧光私募证券投资基金C
2022-06-30,0.99,0.99,0.99,仲阳金石尧光私募证券投资基金C
2022-07-01,0.99,0.99,0.99,仲阳金石尧光私募证券投资基金C
2022-07-04,0.989,0.989,0.989,仲阳金石尧光私募证券投资基金C
2022-07-05,0.991,0.991,0.9909999999999999,仲阳金石尧光私募证券投资基金C
2022-07-06,0.992,0.992,0.9919999999999999,仲阳金石尧光私募证券投资基金C
2022-07-07,0.993,0.993,0.9929999999999999,仲阳金石尧光私募证券投资基金C
2022-07-08,0.994,0.994,0.9939999999999999,仲阳金石尧光私募证券投资基金C
2022-07-11,0.995,0.995,0.995,仲阳金石尧光私募证券投资基金C
2022-07-12,0.996,0.996,0.996,仲阳金石尧光私募证券投资基金C
2022-07-13,0.993,0.993,0.993,仲阳金石尧光私募证券投资基金C
2022-07-14,0.993,0.993,0.993,仲阳金石尧光私募证券投资基金C
2022-07-15,0.991,0.991,0.991,仲阳金石尧光私募证券投资基金C
2022-07-18,0.994,0.994,0.9940000000000001,仲阳金石尧光私募证券投资基金C
2022-07-19,0.995,0.995,0.9950000000000002,仲阳金石尧光私募证券投资基金C
2022-07-20,0.996,0.996,0.9960000000000002,仲阳金石尧光私募证券投资基金C
2022-07-21,0.993,0.993,0.9930000000000002,仲阳金石尧光私募证券投资基金C
2022-07-22,0.992,0.992,0.9920000000000002,仲阳金石尧光私募证券投资基金C
2022-07-25,0.989,0.989,0.9890000000000002,仲阳金石尧光私募证券投资基金C
2022-07-26,0.986,0.986,0.9860000000000002,仲阳金石尧光私募证券投资基金C
2022-07-27,0.997,0.997,0.9970000000000001,仲阳金石尧光私募证券投资基金C
2022-07-28,0.997,0.997,0.9970000000000001,仲阳金石尧光私募证券投资基金C
2022-07-29,0.998,0.998,0.998,仲阳金石尧光私募证券投资基金C
2022-08-01,0.999,0.999,0.999,仲阳金石尧光私募证券投资基金C
2022-08-02,0.998,0.998,0.998,仲阳金石尧光私募证券投资基金C
2022-08-03,0.996,0.996,0.996,仲阳金石尧光私募证券投资基金C
2022-08-04,1.001,1.001,1.001,仲阳金石尧光私募证券投资基金C
2022-08-05,0.995,0.995,0.995,仲阳金石尧光私募证券投资基金C
2022-08-08,0.994,0.994,0.994,仲阳金石尧光私募证券投资基金C
2022-08-09,1.004,1.004,1.004,仲阳金石尧光私募证券投资基金C
2022-08-10,0.997,0.997,0.997,仲阳金石尧光私募证券投资基金C
2022-08-11,0.998,0.998,0.9979999999999999,仲阳金石尧光私募证券投资基金C
2022-08-12,1.0,1.0,0.9999999999999998,仲阳金石尧光私募证券投资基金C
2022-08-15,0.999,0.999,0.9989999999999998,仲阳金石尧光私募证券投资基金C
2022-08-16,0.994,0.994,0.9939999999999998,仲阳金石尧光私募证券投资基金C
2022-08-17,0.992,0.992,0.9919999999999998,仲阳金石尧光私募证券投资基金C
2022-08-18,0.995,0.995,0.9949999999999997,仲阳金石尧光私募证券投资基金C
2022-08-19,0.998,0.998,0.9979999999999998,仲阳金石尧光私募证券投资基金C
2022-08-22,0.995,0.995,0.9949999999999999,仲阳金石尧光私募证券投资基金C
2022-08-23,0.998,0.998,0.998,仲阳金石尧光私募证券投资基金C
2022-08-24,0.994,0.994,0.994,仲阳金石尧光私募证券投资基金C
2022-08-25,0.992,0.992,0.992,仲阳金石尧光私募证券投资基金C
2022-08-26,0.996,0.996,0.9960000000000001,仲阳金石尧光私募证券投资基金C
2022-08-29,0.994,0.994,0.9940000000000001,仲阳金石尧光私募证券投资基金C
2022-08-30,0.99,0.99,0.9900000000000001,仲阳金石尧光私募证券投资基金C
2022-08-31,0.984,0.984,0.9840000000000001,仲阳金石尧光私募证券投资基金C
2022-09-01,0.987,0.987,0.987,仲阳金石尧光私募证券投资基金C
2022-09-02,0.982,0.982,0.982,仲阳金石尧光私募证券投资基金C
2022-09-05,0.972,0.972,0.972,仲阳金石尧光私募证券投资基金C
2022-09-06,0.971,0.971,0.971,仲阳金石尧光私募证券投资基金C
2022-09-07,0.975,0.975,0.975,仲阳金石尧光私募证券投资基金C
2022-09-08,0.978,0.978,0.9779999999999999,仲阳金石尧光私募证券投资基金C
2022-09-09,0.981,0.981,0.9809999999999999,仲阳金石尧光私募证券投资基金C
2022-09-13,0.986,0.986,0.9859999999999999,仲阳金石尧光私募证券投资基金C
2022-09-14,0.979,0.979,0.9789999999999999,仲阳金石尧光私募证券投资基金C
2022-09-15,0.976,0.976,0.9759999999999999,仲阳金石尧光私募证券投资基金C
2022-09-16,0.974,0.974,0.9739999999999999,仲阳金石尧光私募证券投资基金C
2022-09-19,0.971,0.971,0.9709999999999999,仲阳金石尧光私募证券投资基金C
2022-09-20,0.965,0.965,0.9649999999999999,仲阳金石尧光私募证券投资基金C
2022-09-21,0.966,0.966,0.9659999999999999,仲阳金石尧光私募证券投资基金C
2022-09-22,0.97,0.97,0.97,仲阳金石尧光私募证券投资基金C
2022-09-23,0.974,0.974,0.974,仲阳金石尧光私募证券投资基金C
2022-09-26,0.969,0.969,0.969,仲阳金石尧光私募证券投资基金C
2022-09-27,0.971,0.971,0.9710000000000001,仲阳金石尧光私募证券投资基金C
2022-09-28,0.967,0.967,0.9670000000000001,仲阳金石尧光私募证券投资基金C
2022-09-29,0.971,0.971,0.9710000000000001,仲阳金石尧光私募证券投资基金C
2022-09-30,0.972,0.972,0.972,仲阳金石尧光私募证券投资基金C
2022-10-10,0.964,0.964,0.964,仲阳金石尧光私募证券投资基金C
2022-10-11,0.965,0.965,0.965,仲阳金石尧光私募证券投资基金C
2022-10-12,0.96,0.96,0.96,仲阳金石尧光私募证券投资基金C
2022-10-13,0.952,0.952,0.952,仲阳金石尧光私募证券投资基金C
2022-10-14,0.949,0.949,0.949,仲阳金石尧光私募证券投资基金C
2022-10-17,0.953,0.953,0.953,仲阳金石尧光私募证券投资基金C
2022-10-18,0.95,0.95,0.95,仲阳金石尧光私募证券投资基金C
2022-10-19,0.948,0.948,0.948,仲阳金石尧光私募证券投资基金C
2022-10-20,0.947,0.947,0.947,仲阳金石尧光私募证券投资基金C
2022-10-21,0.948,0.948,0.9479999999999998,仲阳金石尧光私募证券投资基金C
2022-10-24,0.946,0.946,0.9459999999999998,仲阳金石尧光私募证券投资基金C
2022-10-25,0.948,0.948,0.9479999999999998,仲阳金石尧光私募证券投资基金C
2022-10-26,0.945,0.945,0.9449999999999998,仲阳金石尧光私募证券投资基金C
2022-10-27,0.942,0.942,0.9419999999999998,仲阳金石尧光私募证券投资基金C
2022-10-28,0.943,0.943,0.943,仲阳金石尧光私募证券投资基金C
2022-10-31,0.945,0.945,0.9449999999999998,仲阳金石尧光私募证券投资基金C
2022-11-01,0.937,0.937,0.9369999999999999,仲阳金石尧光私募证券投资基金C
2022-11-02,0.936,0.936,0.9359999999999999,仲阳金石尧光私募证券投资基金C
2022-11-03,0.934,0.934,0.9339999999999999,仲阳金石尧光私募证券投资基金C
2022-11-04,0.939,0.939,0.9389999999999997,仲阳金石尧光私募证券投资基金C
2022-11-07,0.944,0.944,0.9439999999999997,仲阳金石尧光私募证券投资基金C
2022-11-08,0.948,0.948,0.9479999999999997,仲阳金石尧光私募证券投资基金C
2022-11-09,0.949,0.949,0.9489999999999996,仲阳金石尧光私募证券投资基金C
2022-11-10,0.951,0.951,0.9509999999999996,仲阳金石尧光私募证券投资基金C
2022-11-11,0.948,0.948,0.9479999999999996,仲阳金石尧光私募证券投资基金C
2022-11-14,0.945,0.945,0.9449999999999996,仲阳金石尧光私募证券投资基金C
2022-11-15,0.939,0.939,0.9389999999999996,仲阳金石尧光私募证券投资基金C
2022-11-16,0.939,0.939,0.9389999999999996,仲阳金石尧光私募证券投资基金C
2022-11-17,0.938,0.938,0.9379999999999996,仲阳金石尧光私募证券投资基金C
2022-11-18,0.943,0.943,0.9429999999999996,仲阳金石尧光私募证券投资基金C
2022-11-21,0.94,0.94,0.9399999999999996,仲阳金石尧光私募证券投资基金C
2022-11-22,0.939,0.939,0.9389999999999996,仲阳金石尧光私募证券投资基金C
