日期,单位净值,累计净值,累计单位净值,基金id
2022-07-14,1.0,1.0,1.0,勤辰创赢成长6号私募证券投资基金C
2022-07-18,1.0,1.0,1.0,勤辰创赢成长6号私募证券投资基金C
2022-07-19,1.0,1.0,1.0,勤辰创赢成长6号私募证券投资基金C
2022-07-21,1.0,1.0,1.0,勤辰创赢成长6号私募证券投资基金C
2022-07-22,1.0,1.0,1.0,勤辰创赢成长6号私募证券投资基金C
2022-07-25,1.0,1.0,1.0,勤辰创赢成长6号私募证券投资基金C
2022-07-26,1.0,1.0,1.0,勤辰创赢成长6号私募证券投资基金C
2022-07-28,1.0,1.0,1.0,勤辰创赢成长6号私募证券投资基金C
2022-07-29,1.0,1.0,1.0,勤辰创赢成长6号私募证券投资基金C
2022-08-01,1.0,1.0,1.0,勤辰创赢成长6号私募证券投资基金C
2022-08-02,1.0,1.0,1.0,勤辰创赢成长6号私募证券投资基金C
2022-08-03,0.9999,0.9999,0.9999,勤辰创赢成长6号私募证券投资基金C
2022-08-04,0.9999,0.9999,0.9999,勤辰创赢成长6号私募证券投资基金C
2022-08-05,0.9999,0.9999,0.9999,勤辰创赢成长6号私募证券投资基金C
2022-08-08,0.9999,0.9999,0.9999,勤辰创赢成长6号私募证券投资基金C
2022-08-09,1.0,1.0,0.9999999999999999,勤辰创赢成长6号私募证券投资基金C
2022-08-10,1.0,1.0,0.9999999999999999,勤辰创赢成长6号私募证券投资基金C
2022-08-11,1.0,1.0,0.9999999999999999,勤辰创赢成长6号私募证券投资基金C
2022-08-12,1.0,1.0,0.9999999999999999,勤辰创赢成长6号私募证券投资基金C
2022-08-15,1.0,1.0,0.9999999999999999,勤辰创赢成长6号私募证券投资基金C
2022-08-16,1.0,1.0,0.9999999999999999,勤辰创赢成长6号私募证券投资基金C
2022-08-17,1.0,1.0,0.9999999999999999,勤辰创赢成长6号私募证券投资基金C
2022-08-18,1.0002,1.0002,1.0001999999999998,勤辰创赢成长6号私募证券投资基金C
2022-08-19,1.0002,1.0002,1.0001999999999998,勤辰创赢成长6号私募证券投资基金C
2022-08-22,1.0002,1.0002,1.0001999999999998,勤辰创赢成长6号私募证券投资基金C
2022-08-23,1.0002,1.0002,1.0001999999999998,勤辰创赢成长6号私募证券投资基金C
2022-08-24,0.9998,0.9998,0.9997999999999998,勤辰创赢成长6号私募证券投资基金C
2022-08-25,1.0003,1.0003,1.0002999999999997,勤辰创赢成长6号私募证券投资基金C
2022-08-26,1.0009,1.0009,1.0008999999999997,勤辰创赢成长6号私募证券投资基金C
2022-08-29,0.9991,0.9991,0.9990999999999998,勤辰创赢成长6号私募证券投资基金C
2022-08-30,0.9993,0.9993,0.9992999999999996,勤辰创赢成长6号私募证券投资基金C
2022-08-31,0.9993,0.9993,0.9992999999999996,勤辰创赢成长6号私募证券投资基金C
2022-09-01,0.9999,0.9999,0.9998999999999997,勤辰创赢成长6号私募证券投资基金C
2022-09-02,0.9992,0.9992,0.9991999999999996,勤辰创赢成长6号私募证券投资基金C
2022-09-05,0.9965,0.9965,0.9964999999999997,勤辰创赢成长6号私募证券投资基金C
2022-09-06,0.9971,0.9971,0.9970999999999997,勤辰创赢成长6号私募证券投资基金C
2022-09-07,0.9994,0.9994,0.9993999999999996,勤辰创赢成长6号私募证券投资基金C
2022-09-08,0.9998,0.9998,0.9997999999999997,勤辰创赢成长6号私募证券投资基金C
2022-09-09,0.9997,0.9997,0.9996999999999997,勤辰创赢成长6号私募证券投资基金C
2022-09-13,1.0017,1.0017,1.0016999999999998,勤辰创赢成长6号私募证券投资基金C
2022-09-14,0.9997,0.9997,0.9996999999999998,勤辰创赢成长6号私募证券投资基金C
2022-09-15,0.9987,0.9987,0.9986999999999998,勤辰创赢成长6号私募证券投资基金C
2022-09-16,0.9985,0.9985,0.9984999999999998,勤辰创赢成长6号私募证券投资基金C
2022-09-19,0.9963,0.9963,0.9962999999999997,勤辰创赢成长6号私募证券投资基金C
2022-09-20,0.9881,0.9881,0.9880999999999998,勤辰创赢成长6号私募证券投资基金C
