日期,单位净值,累计净值,累计单位净值,基金id
2022-09-01,1.0,1.0,1.0,衍复新晟500增强一号私募证券投资基金B
2022-09-02,1.0,1.0,1.0,衍复新晟500增强一号私募证券投资基金B
2022-09-05,1.0,1.0,1.0,衍复新晟500增强一号私募证券投资基金B
2022-09-06,1.0,1.0,1.0,衍复新晟500增强一号私募证券投资基金B
2022-09-07,1.0,1.0,1.0,衍复新晟500增强一号私募证券投资基金B
2022-09-09,1.0,1.0,1.0,衍复新晟500增强一号私募证券投资基金B
2022-09-14,1.0,1.0,1.0,衍复新晟500增强一号私募证券投资基金B
2022-09-16,1.0,1.0,1.0,衍复新晟500增强一号私募证券投资基金B
2022-09-23,0.9993,0.9993,0.9993,衍复新晟500增强一号私募证券投资基金B
2022-09-26,0.9867,0.9867,0.9867,衍复新晟500增强一号私募证券投资基金B
2022-09-28,0.9766,0.9766,0.9766,衍复新晟500增强一号私募证券投资基金B
2022-09-30,0.966,0.966,0.966,衍复新晟500增强一号私募证券投资基金B
2022-10-10,0.9495,0.9495,0.9495,衍复新晟500增强一号私募证券投资基金B
2022-10-12,0.9782,0.9782,0.9782000000000001,衍复新晟500增强一号私募证券投资基金B
2022-10-14,0.9982,0.9982,0.9982000000000002,衍复新晟500增强一号私募证券投资基金B
2022-10-19,0.998,0.998,0.9980000000000002,衍复新晟500增强一号私募证券投资基金B
2022-10-21,0.9947,0.9947,0.9947000000000003,衍复新晟500增强一号私募证券投资基金B
2022-10-25,0.9784,0.9784,0.9784000000000003,衍复新晟500增强一号私募证券投资基金B
2022-10-26,0.9899,0.9899,0.9899000000000001,衍复新晟500增强一号私募证券投资基金B
2022-10-28,0.9536,0.9536,0.9536000000000001,衍复新晟500增强一号私募证券投资基金B
2022-11-02,0.9924,0.9924,0.9924000000000001,衍复新晟500增强一号私募证券投资基金B
2022-11-04,1.0202,1.0202,1.0202000000000002,衍复新晟500增强一号私募证券投资基金B
2022-11-09,1.0192,1.0192,1.0192000000000003,衍复新晟500增强一号私募证券投资基金B
2022-11-11,1.0207,1.0207,1.0207000000000002,衍复新晟500增强一号私募证券投资基金B
2022-11-16,1.0278,1.0278,1.0278000000000003,衍复新晟500增强一号私募证券投资基金B
2022-11-18,1.0201,1.0201,1.0201000000000002,衍复新晟500增强一号私募证券投资基金B
2022-11-23,1.0129,1.0129,1.0129000000000001,衍复新晟500增强一号私募证券投资基金B
2022-11-25,1.0104,1.0104,1.0104000000000002,衍复新晟500增强一号私募证券投资基金B
2022-11-30,1.0223,1.0223,1.0223000000000002,衍复新晟500增强一号私募证券投资基金B
