基金代码,基金名称,日期,单位净值,累计净值
VZ606B,宽德中证1000指数增强7号B,2022-08-22,1.0,1.0
VZ606B,宽德中证1000指数增强7号B,2022-08-23,1.0,1.0
VZ606B,宽德中证1000指数增强7号B,2022-08-24,1.0,1.0
VZ606B,宽德中证1000指数增强7号B,2022-08-25,1.0,1.0
VZ606B,宽德中证1000指数增强7号B,2022-08-26,1.0,1.0
VZ606B,宽德中证1000指数增强7号B,2022-08-29,1.0,1.0
VZ606B,宽德中证1000指数增强7号B,2022-08-30,1.0,1.0
VZ606B,宽德中证1000指数增强7号B,2022-08-31,1.0,1.0
VZ606B,宽德中证1000指数增强7号B,2022-09-01,1.0,1.0
VZ606B,宽德中证1000指数增强7号B,2022-09-02,1.0,1.0
VZ606B,宽德中证1000指数增强7号B,2022-09-05,1.0,1.0
VZ606B,宽德中证1000指数增强7号B,2022-09-09,1.0,1.0
VZ606B,宽德中证1000指数增强7号B,2022-09-16,1.0,1.0
VZ606B,宽德中证1000指数增强7号B,2022-09-23,1.0,1.0
VZ606B,宽德中证1000指数增强7号B,2022-09-26,1.0,1.0
VZ606B,宽德中证1000指数增强7号B,2022-09-30,1.0,1.0
VZ606B,宽德中证1000指数增强7号B,2022-10-14,1.006,1.006
VZ606B,宽德中证1000指数增强7号B,2022-10-21,1.006,1.006
VZ606B,宽德中证1000指数增强7号B,2022-10-25,0.995,0.995
VZ606B,宽德中证1000指数增强7号B,2022-10-28,0.978,0.978
VZ606B,宽德中证1000指数增强7号B,2022-11-04,1.067,1.067
VZ606B,宽德中证1000指数增强7号B,2022-11-11,1.056,1.056
VZ606B,宽德中证1000指数增强7号B,2022-11-18,1.06,1.06
VZ606B,宽德中证1000指数增强7号B,2022-11-25,1.041,1.041
VZ606B,宽德中证1000指数增强7号B,2022-12-02,1.069,1.069
VZ606B,宽德中证1000指数增强7号B,2022-12-09,1.077,1.077
VZ606B,宽德中证1000指数增强7号B,2022-12-16,1.055,1.055
VZ606B,宽德中证1000指数增强7号B,2022-12-23,0.996,0.996
VZ606B,宽德中证1000指数增强7号B,2022-12-26,1.022,1.022
VZ606B,宽德中证1000指数增强7号B,2022-12-30,1.017,1.017
VZ606B,宽德中证1000指数增强7号B,2023-01-06,1.051,1.051
VZ606B,宽德中证1000指数增强7号B,2023-01-13,1.051,1.051
VZ606B,宽德中证1000指数增强7号B,2023-01-20,1.081,1.081
VZ606B,宽德中证1000指数增强7号B,2023-01-30,1.092,1.092
VZ606B,宽德中证1000指数增强7号B,2023-02-03,1.113,1.113
VZ606B,宽德中证1000指数增强7号B,2023-02-10,1.114,1.114
VZ606B,宽德中证1000指数增强7号B,2023-02-17,1.095,1.095
VZ606B,宽德中证1000指数增强7号B,2023-02-24,1.11,1.11
VZ606B,宽德中证1000指数增强7号B,2023-02-27,1.101,1.101
VZ606B,宽德中证1000指数增强7号B,2023-03-03,1.118,1.118
VZ606B,宽德中证1000指数增强7号B,2023-03-10,1.093,1.093
VZ606B,宽德中证1000指数增强7号B,2023-03-17,1.096,1.096
VZ606B,宽德中证1000指数增强7号B,2023-03-24,1.14,1.14
VZ606B,宽德中证1000指数增强7号B,2023-03-27,1.146,1.146
VZ606B,宽德中证1000指数增强7号B,2023-03-31,1.148,1.148
VZ606B,宽德中证1000指数增强7号B,2023-04-07,1.187,1.187
VZ606B,宽德中证1000指数增强7号B,2023-04-14,1.193,1.193
VZ606B,宽德中证1000指数增强7号B,2023-04-21,1.182,1.182
VZ606B,宽德中证1000指数增强7号B,2023-04-25,1.159,1.159
VZ606B,宽德中证1000指数增强7号B,2023-04-28,1.183,1.183
VZ606B,宽德中证1000指数增强7号B,2023-05-05,1.173,1.173
VZ606B,宽德中证1000指数增强7号B,2023-05-12,1.163,1.163
VZ606B,宽德中证1000指数增强7号B,2023-05-16,1.163,1.163
VZ606B,宽德中证1000指数增强7号B,2023-05-19,1.182,1.182
VZ606B,宽德中证1000指数增强7号B,2023-05-25,1.166,1.166
VZ606B,宽德中证1000指数增强7号B,2023-05-26,1.177,1.177
VZ606B,宽德中证1000指数增强7号B,2023-06-02,1.205,1.205
VZ606B,宽德中证1000指数增强7号B,2023-06-09,1.206,1.206
VZ606B,宽德中证1000指数增强7号B,2023-06-16,1.248,1.248
VZ606B,宽德中证1000指数增强7号B,2023-06-21,1.221,1.221
VZ606B,宽德中证1000指数增强7号B,2023-06-26,1.194,1.194
VZ606B,宽德中证1000指数增强7号B,2023-06-30,1.23,1.23
VZ606B,宽德中证1000指数增强7号B,2023-07-07,1.219,1.219
VZ606B,宽德中证1000指数增强7号B,2023-07-14,1.231,1.231
VZ606B,宽德中证1000指数增强7号B,2023-07-21,1.198,1.198
VZ606B,宽德中证1000指数增强7号B,2023-07-24,1.065,1.199
VZ606B,宽德中证1000指数增强7号B,2023-07-25,1.082,1.216
VZ606B,宽德中证1000指数增强7号B,2023-07-28,1.074,1.208
VZ606B,宽德中证1000指数增强7号B,2023-08-04,1.094,1.228
VZ606B,宽德中证1000指数增强7号B,2023-08-11,1.054,1.188
VZ606B,宽德中证1000指数增强7号B,2023-08-16,1.054,1.188
VZ606B,宽德中证1000指数增强7号B,2023-08-17,1.054,1.188
VZ606B,宽德中证1000指数增强7号B,2023-08-18,1.03,1.164
VZ606B,宽德中证1000指数增强7号B,2023-08-25,0.997,1.131
VZ606B,宽德中证1000指数增强7号B,2023-09-01,1.043,1.177
VZ606B,宽德中证1000指数增强7号B,2023-09-08,1.037,1.171
VZ606B,宽德中证1000指数增强7号B,2023-09-15,1.028,1.162
VZ606B,宽德中证1000指数增强7号B,2023-09-22,1.035,1.169
VZ606B,宽德中证1000指数增强7号B,2023-09-25,1.03,1.164
VZ606B,宽德中证1000指数增强7号B,2023-09-28,1.042,1.176
VZ606B,宽德中证1000指数增强7号B,2023-10-13,1.038,1.172
VZ606B,宽德中证1000指数增强7号B,2023-10-20,0.988,1.122
VZ606B,宽德中证1000指数增强7号B,2023-10-25,0.993,1.127
VZ606B,宽德中证1000指数增强7号B,2023-10-27,1.014,1.148
VZ606B,宽德中证1000指数增强7号B,2023-11-03,1.022,1.156
VZ606B,宽德中证1000指数增强7号B,2023-11-10,1.053,1.187
VZ606B,宽德中证1000指数增强7号B,2023-11-17,1.076,1.21
