日期,单位净值,累计净值,累计单位净值,基金id
2022-08-22,1.0,1.0,1.0,宽德中证1000指数增强7号B
2022-08-23,1.0,1.0,1.0,宽德中证1000指数增强7号B
2022-08-24,1.0,1.0,1.0,宽德中证1000指数增强7号B
2022-08-25,1.0,1.0,1.0,宽德中证1000指数增强7号B
2022-08-26,1.0,1.0,1.0,宽德中证1000指数增强7号B
2022-08-29,1.0,1.0,1.0,宽德中证1000指数增强7号B
2022-08-30,1.0,1.0,1.0,宽德中证1000指数增强7号B
2022-08-31,1.0,1.0,1.0,宽德中证1000指数增强7号B
2022-09-01,1.0,1.0,1.0,宽德中证1000指数增强7号B
2022-09-02,1.0,1.0,1.0,宽德中证1000指数增强7号B
2022-09-05,1.0,1.0,1.0,宽德中证1000指数增强7号B
2022-09-09,1.0,1.0,1.0,宽德中证1000指数增强7号B
2022-09-16,1.0,1.0,1.0,宽德中证1000指数增强7号B
2022-09-23,1.0,1.0,1.0,宽德中证1000指数增强7号B
2022-09-26,1.0,1.0,1.0,宽德中证1000指数增强7号B
2022-09-30,1.0,1.0,1.0,宽德中证1000指数增强7号B
2022-10-14,1.006,1.006,1.006,宽德中证1000指数增强7号B
2022-10-21,1.006,1.006,1.006,宽德中证1000指数增强7号B
2022-10-25,0.995,0.995,0.995,宽德中证1000指数增强7号B
2022-10-28,0.978,0.978,0.978,宽德中证1000指数增强7号B
2022-11-04,1.067,1.067,1.067,宽德中证1000指数增强7号B
2022-11-11,1.056,1.056,1.056,宽德中证1000指数增强7号B
2022-11-18,1.06,1.06,1.06,宽德中证1000指数增强7号B
2022-11-25,1.041,1.041,1.041,宽德中证1000指数增强7号B
2022-12-02,1.069,1.069,1.069,宽德中证1000指数增强7号B
2022-12-09,1.077,1.077,1.0770000000000002,宽德中证1000指数增强7号B
2022-12-16,1.055,1.055,1.0550000000000002,宽德中证1000指数增强7号B
2022-12-23,0.996,0.996,0.9960000000000002,宽德中证1000指数增强7号B
2022-12-26,1.022,1.022,1.0220000000000002,宽德中证1000指数增强7号B
2022-12-30,1.017,1.017,1.0170000000000001,宽德中证1000指数增强7号B
2023-01-06,1.051,1.051,1.0510000000000002,宽德中证1000指数增强7号B
2023-01-13,1.051,1.051,1.0510000000000002,宽德中证1000指数增强7号B
2023-01-20,1.081,1.081,1.0810000000000002,宽德中证1000指数增强7号B
2023-01-30,1.092,1.092,1.0920000000000003,宽德中证1000指数增强7号B
2023-02-03,1.113,1.113,1.1130000000000002,宽德中证1000指数增强7号B
2023-02-10,1.114,1.114,1.1140000000000003,宽德中证1000指数增强7号B
2023-02-17,1.095,1.095,1.0950000000000002,宽德中证1000指数增强7号B
2023-02-24,1.11,1.11,1.1100000000000003,宽德中证1000指数增强7号B
2023-02-27,1.101,1.101,1.1010000000000002,宽德中证1000指数增强7号B
2023-03-03,1.118,1.118,1.1180000000000003,宽德中证1000指数增强7号B
2023-03-10,1.093,1.093,1.0930000000000002,宽德中证1000指数增强7号B
2023-03-17,1.096,1.096,1.0960000000000005,宽德中证1000指数增强7号B
2023-03-24,1.14,1.14,1.1400000000000003,宽德中证1000指数增强7号B
2023-03-27,1.146,1.146,1.1460000000000004,宽德中证1000指数增强7号B
2023-03-31,1.148,1.148,1.1480000000000004,宽德中证1000指数增强7号B
2023-04-07,1.187,1.187,1.1870000000000007,宽德中证1000指数增强7号B
2023-04-14,1.193,1.193,1.1930000000000007,宽德中证1000指数增强7号B
2023-04-21,1.182,1.182,1.1820000000000006,宽德中证1000指数增强7号B
2023-04-25,1.159,1.159,1.1590000000000007,宽德中证1000指数增强7号B
2023-04-28,1.183,1.183,1.1830000000000007,宽德中证1000指数增强7号B
2023-05-05,1.173,1.173,1.1730000000000007,宽德中证1000指数增强7号B
2023-05-12,1.163,1.163,1.1630000000000007,宽德中证1000指数增强7号B
2023-05-16,1.163,1.163,1.1630000000000007,宽德中证1000指数增强7号B
2023-05-19,1.182,1.182,1.1820000000000006,宽德中证1000指数增强7号B
2023-05-25,1.166,1.166,1.1660000000000006,宽德中证1000指数增强7号B
2023-05-26,1.177,1.177,1.1770000000000007,宽德中证1000指数增强7号B
2023-06-02,1.205,1.205,1.2050000000000007,宽德中证1000指数增强7号B
2023-06-09,1.206,1.206,1.2060000000000006,宽德中证1000指数增强7号B
2023-06-16,1.248,1.248,1.2480000000000007,宽德中证1000指数增强7号B
2023-06-21,1.221,1.221,1.2210000000000008,宽德中证1000指数增强7号B
2023-06-26,1.194,1.194,1.1940000000000006,宽德中证1000指数增强7号B
2023-06-30,1.23,1.23,1.2300000000000009,宽德中证1000指数增强7号B
2023-07-07,1.219,1.219,1.219000000000001,宽德中证1000指数增强7号B
2023-07-14,1.231,1.231,1.2310000000000008,宽德中证1000指数增强7号B
2023-07-21,1.198,1.198,1.1980000000000006,宽德中证1000指数增强7号B
2023-07-24,1.065,1.199,1.1990000000000005,宽德中证1000指数增强7号B
2023-07-25,1.082,1.216,1.2181389671361504,宽德中证1000指数增强7号B
2023-07-28,1.074,1.208,1.2091323943661973,宽德中证1000指数增强7号B
2023-08-04,1.094,1.228,1.23164882629108,宽德中证1000指数增强7号B
2023-08-11,1.054,1.188,1.1866159624413148,宽德中证1000指数增强7号B
2023-08-16,1.054,1.188,1.1866159624413148,宽德中证1000指数增强7号B
2023-08-17,1.054,1.188,1.1866159624413148,宽德中证1000指数增强7号B
2023-08-18,1.03,1.164,1.1595962441314556,宽德中证1000指数增强7号B
2023-08-25,0.997,1.131,1.1224441314553995,宽德中证1000指数增强7号B
2023-09-01,1.043,1.177,1.1742319248826296,宽德中证1000指数增强7号B
2023-09-08,1.037,1.171,1.167476995305165,宽德中证1000指数增强7号B
2023-09-15,1.028,1.162,1.1573446009389676,宽德中证1000指数增强7号B
2023-09-22,1.035,1.169,1.1652253521126767,宽德中证1000指数增强7号B
2023-09-25,1.03,1.164,1.159596244131456,宽德中证1000指数增强7号B
2023-09-28,1.042,1.176,1.1731061032863856,宽德中证1000指数增强7号B
