日期,单位净值,累计净值,累计单位净值,基金id
2023-01-04,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-01-09,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-01-10,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-01-11,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-01-12,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-01-13,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-01-16,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-01-17,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-01-18,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-01-19,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-01-20,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-01-30,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-01-31,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-02-01,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-02-02,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-02-03,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-02-06,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-02-07,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-02-08,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-02-09,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-02-10,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-02-14,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-02-15,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-02-17,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-02-21,1.0,1.0,1.0,靖奇渝元一号私募证券投资基金B
2023-02-22,1.001,1.001,1.001,靖奇渝元一号私募证券投资基金B
2023-02-24,1.001,1.001,1.001,靖奇渝元一号私募证券投资基金B
2023-02-28,1.001,1.001,1.001,靖奇渝元一号私募证券投资基金B
2023-03-01,1.001,1.001,1.001,靖奇渝元一号私募证券投资基金B
2023-03-03,1.003,1.003,1.003,靖奇渝元一号私募证券投资基金B
2023-03-07,1.003,1.003,1.003,靖奇渝元一号私募证券投资基金B
2023-03-08,1.004,1.004,1.004,靖奇渝元一号私募证券投资基金B
2023-03-10,0.993,0.993,0.993,靖奇渝元一号私募证券投资基金B
2023-03-14,0.981,0.981,0.981,靖奇渝元一号私募证券投资基金B
2023-03-15,0.98,0.98,0.98,靖奇渝元一号私募证券投资基金B
2023-03-17,0.982,0.982,0.982,靖奇渝元一号私募证券投资基金B
2023-03-21,0.971,0.971,0.971,靖奇渝元一号私募证券投资基金B
2023-03-22,0.97,0.97,0.97,靖奇渝元一号私募证券投资基金B
2023-03-24,0.989,0.989,0.9889999999999999,靖奇渝元一号私募证券投资基金B
2023-03-28,0.985,0.985,0.9849999999999999,靖奇渝元一号私募证券投资基金B
2023-03-29,0.985,0.985,0.9849999999999999,靖奇渝元一号私募证券投资基金B
2023-03-31,0.973,0.973,0.9729999999999999,靖奇渝元一号私募证券投资基金B
2023-04-04,0.98,0.98,0.9799999999999999,靖奇渝元一号私募证券投资基金B
2023-04-06,0.983,0.983,0.9829999999999998,靖奇渝元一号私募证券投资基金B
2023-04-10,0.969,0.969,0.9689999999999998,靖奇渝元一号私募证券投资基金B
2023-04-11,0.981,0.981,0.9809999999999997,靖奇渝元一号私募证券投资基金B
2023-04-12,0.975,0.975,0.9749999999999996,靖奇渝元一号私募证券投资基金B
2023-04-14,0.979,0.979,0.9789999999999995,靖奇渝元一号私募证券投资基金B
2023-04-18,0.979,0.979,0.9789999999999995,靖奇渝元一号私募证券投资基金B
2023-04-19,0.974,0.974,0.9739999999999995,靖奇渝元一号私募证券投资基金B
2023-04-21,0.969,0.969,0.9689999999999995,靖奇渝元一号私募证券投资基金B
2023-04-25,0.956,0.956,0.9559999999999995,靖奇渝元一号私募证券投资基金B
2023-04-26,0.956,0.956,0.9559999999999995,靖奇渝元一号私募证券投资基金B
2023-04-28,0.953,0.953,0.9529999999999995,靖奇渝元一号私募证券投资基金B
2023-05-05,0.961,0.961,0.9609999999999994,靖奇渝元一号私募证券投资基金B
2023-05-08,0.971,0.971,0.9709999999999994,靖奇渝元一号私募证券投资基金B
2023-05-09,0.97,0.97,0.9699999999999994,靖奇渝元一号私募证券投资基金B
2023-05-10,0.977,0.977,0.9769999999999994,靖奇渝元一号私募证券投资基金B
2023-05-12,0.965,0.965,0.9649999999999994,靖奇渝元一号私募证券投资基金B
2023-05-16,0.952,0.952,0.9519999999999995,靖奇渝元一号私募证券投资基金B
2023-05-17,0.957,0.957,0.9569999999999995,靖奇渝元一号私募证券投资基金B
2023-05-19,0.954,0.954,0.9539999999999995,靖奇渝元一号私募证券投资基金B
2023-05-23,0.954,0.954,0.9539999999999995,靖奇渝元一号私募证券投资基金B
2023-05-24,0.952,0.952,0.9519999999999995,靖奇渝元一号私募证券投资基金B
2023-05-26,0.948,0.948,0.9479999999999995,靖奇渝元一号私募证券投资基金B
2023-05-30,0.949,0.949,0.9489999999999994,靖奇渝元一号私募证券投资基金B
2023-05-31,0.948,0.948,0.9479999999999994,靖奇渝元一号私募证券投资基金B
2023-06-02,0.954,0.954,0.9539999999999994,靖奇渝元一号私募证券投资基金B
2023-06-06,0.96,0.96,0.9599999999999994,靖奇渝元一号私募证券投资基金B
2023-06-07,0.96,0.96,0.9599999999999994,靖奇渝元一号私募证券投资基金B
2023-06-09,0.95,0.95,0.9499999999999994,靖奇渝元一号私募证券投资基金B
2023-06-13,0.948,0.948,0.9479999999999994,靖奇渝元一号私募证券投资基金B
2023-06-14,0.953,0.953,0.9529999999999995,靖奇渝元一号私募证券投资基金B
2023-06-16,0.959,0.959,0.9589999999999996,靖奇渝元一号私募证券投资基金B
2023-06-20,0.967,0.967,0.9669999999999996,靖奇渝元一号私募证券投资基金B
2023-06-21,0.973,0.973,0.9729999999999996,靖奇渝元一号私募证券投资基金B
2023-06-27,0.96,0.96,0.9599999999999996,靖奇渝元一号私募证券投资基金B
2023-06-28,0.945,0.945,0.9449999999999996,靖奇渝元一号私募证券投资基金B
2023-06-30,0.951,0.951,0.9509999999999996,靖奇渝元一号私募证券投资基金B
2023-07-04,0.965,0.965,0.9649999999999995,靖奇渝元一号私募证券投资基金B
2023-07-05,0.963,0.963,0.9629999999999995,靖奇渝元一号私募证券投资基金B
2023-07-07,0.961,0.961,0.9609999999999995,靖奇渝元一号私募证券投资基金B
2023-07-11,0.957,0.957,0.9569999999999995,靖奇渝元一号私募证券投资基金B
2023-07-12,0.953,0.953,0.9529999999999995,靖奇渝元一号私募证券投资基金B
2023-07-14,0.955,0.955,0.9549999999999995,靖奇渝元一号私募证券投资基金B
2023-07-18,0.957,0.957,0.9569999999999994,靖奇渝元一号私募证券投资基金B
2023-07-19,0.954,0.954,0.9539999999999994,靖奇渝元一号私募证券投资基金B
2023-07-21,0.951,0.951,0.9509999999999994,靖奇渝元一号私募证券投资基金B
2023-07-25,0.94,0.94,0.9399999999999994,靖奇渝元一号私募证券投资基金B
2023-07-26,0.94,0.94,0.9399999999999994,靖奇渝元一号私募证券投资基金B
2023-07-28,0.95,0.95,0.9499999999999994,靖奇渝元一号私募证券投资基金B
2023-08-01,0.946,0.946,0.9459999999999994,靖奇渝元一号私募证券投资基金B
2023-08-02,0.95,0.95,0.9499999999999994,靖奇渝元一号私募证券投资基金B
2023-08-04,0.946,0.946,0.9459999999999994,靖奇渝元一号私募证券投资基金B
2023-08-08,0.95,0.95,0.9499999999999994,靖奇渝元一号私募证券投资基金B
2023-08-09,0.95,0.95,0.9499999999999994,靖奇渝元一号私募证券投资基金B
2023-08-11,0.946,0.946,0.9459999999999994,靖奇渝元一号私募证券投资基金B
2023-08-15,0.939,0.939,0.9389999999999994,靖奇渝元一号私募证券投资基金B
2023-08-16,0.941,0.941,0.9409999999999995,靖奇渝元一号私募证券投资基金B
2023-08-17,0.941,0.941,0.9409999999999995,靖奇渝元一号私募证券投资基金B
