基金代码,基金名称,日期,单位净值,累计净值
XH489B,格雷长期价值16号B,2023-03-20,1.0,1.0
XH489B,格雷长期价值16号B,2023-03-21,1.0003,1.0003
XH489B,格雷长期价值16号B,2023-03-24,1.0003,1.0003
XH489B,格雷长期价值16号B,2023-03-30,1.0048,1.0048
XH489B,格雷长期价值16号B,2023-04-07,1.0011,1.0011
XH489B,格雷长期价值16号B,2023-04-13,0.9805,0.9805
XH489B,格雷长期价值16号B,2023-04-20,0.9803,0.9803
XH489B,格雷长期价值16号B,2023-04-24,0.976,0.976
XH489B,格雷长期价值16号B,2023-04-27,0.9661,0.9661
XH489B,格雷长期价值16号B,2023-05-05,0.9589,0.9589
XH489B,格雷长期价值16号B,2023-05-11,0.954,0.954
XH489B,格雷长期价值16号B,2023-05-18,0.9384,0.9384
XH489B,格雷长期价值16号B,2023-05-23,0.9409,0.9409
XH489B,格雷长期价值16号B,2023-05-26,0.9493,0.9493
XH489B,格雷长期价值16号B,2023-06-01,0.9336,0.9336
XH489B,格雷长期价值16号B,2023-06-08,0.9363,0.9363
XH489B,格雷长期价值16号B,2023-06-15,0.9341,0.9341
XH489B,格雷长期价值16号B,2023-06-20,0.9689,0.9689
XH489B,格雷长期价值16号B,2023-06-26,0.9539,0.9539
XH489B,格雷长期价值16号B,2023-06-29,0.9398,0.9398
XH489B,格雷长期价值16号B,2023-07-06,0.9272,0.9272
XH489B,格雷长期价值16号B,2023-07-13,0.9174,0.9174
XH489B,格雷长期价值16号B,2023-07-20,0.9431,0.9431
XH489B,格雷长期价值16号B,2023-07-24,0.9277,0.9277
XH489B,格雷长期价值16号B,2023-07-27,0.9318,0.9318
XH489B,格雷长期价值16号B,2023-08-03,0.967,0.967
XH489B,格雷长期价值16号B,2023-08-10,0.9619,0.9619
XH489B,格雷长期价值16号B,2023-08-15,0.942,0.942
XH489B,格雷长期价值16号B,2023-08-16,0.942,0.942
XH489B,格雷长期价值16号B,2023-08-17,0.942,0.942
XH489B,格雷长期价值16号B,2023-08-22,0.9209,0.9209
XH489B,格雷长期价值16号B,2023-08-23,0.9147,0.9147
XH489B,格雷长期价值16号B,2023-08-29,0.9162,0.9162
XH489B,格雷长期价值16号B,2023-09-05,0.9221,0.9221
XH489B,格雷长期价值16号B,2023-09-12,0.9143,0.9143
XH489B,格雷长期价值16号B,2023-09-19,0.9176,0.9176
XH489B,格雷长期价值16号B,2023-09-22,0.9106,0.9106
XH489B,格雷长期价值16号B,2023-09-26,0.9136,0.9136
XH489B,格雷长期价值16号B,2023-10-10,0.9027,0.9027
XH489B,格雷长期价值16号B,2023-10-17,0.9076,0.9076
XH489B,格雷长期价值16号B,2023-10-24,0.8852,0.8852
XH489B,格雷长期价值16号B,2023-10-31,0.9011,0.9011
XH489B,格雷长期价值16号B,2023-11-07,0.9139,0.9139
XH489B,格雷长期价值16号B,2023-11-14,0.912,0.912
XH489B,格雷长期价值16号B,2023-11-21,0.9165,0.9165
XH489B,格雷长期价值16号B,2023-11-22,0.9278,0.9278
