日期,单位净值,累计净值,累计单位净值,基金id
2022-12-08,1.0,1.0,1.0,衍复新擎300增强一号B
2022-12-12,1.0,1.0,1.0,衍复新擎300增强一号B
2022-12-13,1.0,1.0,1.0,衍复新擎300增强一号B
2022-12-14,1.0,1.0,1.0,衍复新擎300增强一号B
2022-12-15,1.0,1.0,1.0,衍复新擎300增强一号B
2022-12-16,1.0,1.0,1.0,衍复新擎300增强一号B
2022-12-19,1.0,1.0,1.0,衍复新擎300增强一号B
2022-12-20,1.0,1.0,1.0,衍复新擎300增强一号B
2022-12-21,1.0,1.0,1.0,衍复新擎300增强一号B
2022-12-26,1.0,1.0,1.0,衍复新擎300增强一号B
2022-12-27,1.0,1.0,1.0,衍复新擎300增强一号B
2022-12-30,1.0001,1.0001,1.0001,衍复新擎300增强一号B
2023-01-09,0.9999,0.9999,0.9999,衍复新擎300增强一号B
2023-01-11,0.9998,0.9998,0.9998,衍复新擎300增强一号B
2023-01-12,0.9995,0.9995,0.9995,衍复新擎300增强一号B
2023-01-18,1.0108,1.0108,1.0108,衍复新擎300增强一号B
2023-01-31,1.0286,1.0286,1.0286,衍复新擎300增强一号B
2023-02-06,1.0314,1.0314,1.0314,衍复新擎300增强一号B
2023-02-09,1.0278,1.0278,1.0278,衍复新擎300增强一号B
2023-02-16,1.0252,1.0252,1.0252,衍复新擎300增强一号B
2023-02-23,1.0138,1.0138,1.0138,衍复新擎300增强一号B
2023-02-28,1.0221,1.0221,1.0221,衍复新擎300增强一号B
2023-03-03,1.0178,1.0178,1.0178,衍复新擎300增强一号B
2023-03-09,1.0347,1.0347,1.0347,衍复新擎300增强一号B
2023-03-16,1.0003,1.0003,1.0003,衍复新擎300增强一号B
2023-03-23,1.0018,1.0018,1.0018,衍复新擎300增强一号B
2023-03-28,1.0313,1.0313,1.0313,衍复新擎300增强一号B
2023-03-31,1.0266,1.0266,1.0266,衍复新擎300增强一号B
2023-04-07,1.0377,1.0377,1.0377,衍复新擎300增强一号B
2023-04-11,1.0607,1.0607,1.0607,衍复新擎300增强一号B
2023-04-14,1.0496,1.0496,1.0496,衍复新擎300增强一号B
2023-04-20,1.0556,1.0556,1.0556,衍复新擎300增强一号B
2023-04-25,1.0515,1.0515,1.0515,衍复新擎300增强一号B
2023-05-04,1.0414,1.0414,1.0414,衍复新擎300增强一号B
2023-05-05,1.0561,1.0561,1.0561,衍复新擎300增强一号B
2023-05-11,1.0621,1.0621,1.0621,衍复新擎300增强一号B
2023-05-12,1.0566,1.0566,1.0566,衍复新擎300增强一号B
2023-05-18,1.0446,1.0446,1.0446,衍复新擎300增强一号B
2023-05-25,1.047,1.047,1.047,衍复新擎300增强一号B
2023-05-29,1.0259,1.0259,1.0259,衍复新擎300增强一号B
2023-06-01,1.0292,1.0292,1.0292,衍复新擎300增强一号B
2023-06-08,1.0414,1.0414,1.0414,衍复新擎300增强一号B
2023-06-13,1.0453,1.0453,1.0453,衍复新擎300增强一号B
2023-06-16,1.0483,1.0483,1.0483000000000002,衍复新擎300增强一号B
2023-06-26,1.0764,1.0764,1.0764000000000002,衍复新擎300增强一号B
2023-06-27,1.0552,1.0552,1.0552000000000001,衍复新擎300增强一号B
2023-06-30,1.0419,1.0419,1.0419000000000003,衍复新擎300增强一号B
2023-07-06,1.0574,1.0574,1.0574000000000001,衍复新擎300增强一号B
2023-07-11,1.055,1.055,1.0550000000000002,衍复新擎300增强一号B
2023-07-14,1.0597,1.0597,1.0597000000000003,衍复新擎300增强一号B
2023-07-20,1.0791,1.0791,1.0791000000000002,衍复新擎300增强一号B
2023-07-25,1.066,1.066,1.0660000000000003,衍复新擎300增强一号B
2023-07-31,1.0888,1.0888,1.0888000000000002,衍复新擎300增强一号B
2023-08-03,1.1039,1.1039,1.1039000000000003,衍复新擎300增强一号B
2023-08-10,1.1098,1.1098,1.1098000000000001,衍复新擎300增强一号B
2023-08-14,1.0988,1.0988,1.0988000000000002,衍复新擎300增强一号B
2023-08-15,1.0799,1.0799,1.0799000000000003,衍复新擎300增强一号B
2023-08-16,1.0799,1.0799,1.0799000000000003,衍复新擎300增强一号B
2023-08-17,1.0799,1.0799,1.0799000000000003,衍复新擎300增强一号B
2023-08-22,1.0602,1.0602,1.0602000000000003,衍复新擎300增强一号B
2023-08-29,1.0426,1.0426,1.0426000000000002,衍复新擎300增强一号B
2023-09-05,1.0624,1.0624,1.0624000000000002,衍复新擎300增强一号B
2023-09-12,1.0515,1.0515,1.0515000000000003,衍复新擎300增强一号B
2023-09-13,1.0602,1.0602,1.0602000000000003,衍复新擎300增强一号B
2023-09-19,1.0465,1.0465,1.0465000000000002,衍复新擎300增强一号B
2023-09-26,1.056,1.056,1.0560000000000003,衍复新擎300增强一号B
2023-09-27,1.0495,1.0495,1.0495000000000003,衍复新擎300增强一号B
2023-10-10,1.0472,1.0472,1.0472000000000001,衍复新擎300增强一号B
2023-10-11,1.0442,1.0442,1.0442000000000002,衍复新擎300增强一号B
2023-10-12,1.0374,1.0374,1.0374000000000003,衍复新擎300增强一号B
2023-10-17,1.041,1.041,1.0410000000000001,衍复新擎300增强一号B
