日期,单位净值,累计净值,累计单位净值,基金id
2023-05-18,1.0,1.0,1.0,玄信麒麟市场中性一号私募证券投资基金B
2023-05-22,1.0,1.0,1.0,玄信麒麟市场中性一号私募证券投资基金B
2023-05-23,1.0,1.0,1.0,玄信麒麟市场中性一号私募证券投资基金B
2023-05-24,1.0,1.0,1.0,玄信麒麟市场中性一号私募证券投资基金B
2023-05-25,1.0,1.0,1.0,玄信麒麟市场中性一号私募证券投资基金B
2023-05-26,1.0,1.0,1.0,玄信麒麟市场中性一号私募证券投资基金B
2023-05-29,1.0,1.0,1.0,玄信麒麟市场中性一号私募证券投资基金B
2023-05-30,1.0,1.0,1.0,玄信麒麟市场中性一号私募证券投资基金B
2023-05-31,1.0,1.0,1.0,玄信麒麟市场中性一号私募证券投资基金B
2023-06-05,1.0,1.0,1.0,玄信麒麟市场中性一号私募证券投资基金B
2023-06-08,1.0,1.0,1.0,玄信麒麟市场中性一号私募证券投资基金B
2023-06-15,1.0,1.0,1.0,玄信麒麟市场中性一号私募证券投资基金B
2023-06-26,1.0,1.0,1.0,玄信麒麟市场中性一号私募证券投资基金B
2023-06-27,1.0,1.0,1.0,玄信麒麟市场中性一号私募证券投资基金B
2023-06-30,1.0,1.0,1.0,玄信麒麟市场中性一号私募证券投资基金B
2023-07-06,0.998,0.998,0.998,玄信麒麟市场中性一号私募证券投资基金B
2023-07-13,1.003,1.003,1.003,玄信麒麟市场中性一号私募证券投资基金B
2023-07-20,0.998,0.998,0.998,玄信麒麟市场中性一号私募证券投资基金B
2023-07-25,1.004,1.004,1.004,玄信麒麟市场中性一号私募证券投资基金B
2023-07-31,1.007,1.007,1.007,玄信麒麟市场中性一号私募证券投资基金B
2023-08-03,1.008,1.008,1.008,玄信麒麟市场中性一号私募证券投资基金B
2023-08-10,1.005,1.005,1.005,玄信麒麟市场中性一号私募证券投资基金B
2023-08-15,1.005,1.005,1.005,玄信麒麟市场中性一号私募证券投资基金B
2023-08-16,1.005,1.005,1.005,玄信麒麟市场中性一号私募证券投资基金B
2023-08-17,1.005,1.005,1.005,玄信麒麟市场中性一号私募证券投资基金B
2023-08-22,1.012,1.012,1.012,玄信麒麟市场中性一号私募证券投资基金B
2023-08-29,1.019,1.019,1.019,玄信麒麟市场中性一号私募证券投资基金B
2023-09-05,1.022,1.022,1.022,玄信麒麟市场中性一号私募证券投资基金B
2023-09-12,1.021,1.021,1.021,玄信麒麟市场中性一号私募证券投资基金B
2023-09-19,1.022,1.022,1.022,玄信麒麟市场中性一号私募证券投资基金B
2023-09-26,1.021,1.021,1.021,玄信麒麟市场中性一号私募证券投资基金B
2023-09-27,1.021,1.021,1.021,玄信麒麟市场中性一号私募证券投资基金B
2023-10-10,1.027,1.027,1.027,玄信麒麟市场中性一号私募证券投资基金B
2023-10-17,1.025,1.025,1.025,玄信麒麟市场中性一号私募证券投资基金B
2023-10-24,1.026,1.026,1.0259999999999998,玄信麒麟市场中性一号私募证券投资基金B
2023-10-27,1.037,1.037,1.0369999999999997,玄信麒麟市场中性一号私募证券投资基金B
2023-10-31,1.032,1.032,1.0319999999999998,玄信麒麟市场中性一号私募证券投资基金B
2023-11-07,1.028,1.028,1.0279999999999998,玄信麒麟市场中性一号私募证券投资基金B
2023-11-14,1.023,1.023,1.0229999999999997,玄信麒麟市场中性一号私募证券投资基金B
2023-11-21,1.028,1.028,1.0279999999999998,玄信麒麟市场中性一号私募证券投资基金B
2023-11-28,1.034,1.034,1.0339999999999998,玄信麒麟市场中性一号私募证券投资基金B
2023-11-29,1.035,1.035,1.0349999999999997,玄信麒麟市场中性一号私募证券投资基金B
2023-12-05,1.032,1.032,1.0319999999999998,玄信麒麟市场中性一号私募证券投资基金B
2023-12-12,1.023,1.023,1.0229999999999997,玄信麒麟市场中性一号私募证券投资基金B
2023-12-19,1.03,1.03,1.0299999999999998,玄信麒麟市场中性一号私募证券投资基金B
2023-12-26,1.028,1.028,1.0279999999999998,玄信麒麟市场中性一号私募证券投资基金B
2023-12-27,1.028,1.028,1.0279999999999998,玄信麒麟市场中性一号私募证券投资基金B
2024-01-03,1.028,1.028,1.0279999999999998,玄信麒麟市场中性一号私募证券投资基金B
2024-01-09,1.047,1.047,1.0469999999999997,玄信麒麟市场中性一号私募证券投资基金B
2024-01-16,1.051,1.051,1.0509999999999997,玄信麒麟市场中性一号私募证券投资基金B
2024-01-23,1.059,1.059,1.0589999999999997,玄信麒麟市场中性一号私募证券投资基金B
2024-01-29,1.058,1.058,1.0579999999999998,玄信麒麟市场中性一号私募证券投资基金B
2024-01-30,1.065,1.065,1.0649999999999997,玄信麒麟市场中性一号私募证券投资基金B
2024-02-06,1.07,1.07,1.0699999999999998,玄信麒麟市场中性一号私募证券投资基金B
2024-02-20,1.013,1.013,1.0129999999999997,玄信麒麟市场中性一号私募证券投资基金B
2024-02-27,1.024,1.024,1.0239999999999998,玄信麒麟市场中性一号私募证券投资基金B
