日期,单位净值,累计净值,累计单位净值,基金id
2023-05-15,1.0,1.0,1.0,宽德量化精选1号私募证券投资基金B
2023-05-16,1.0,1.0,1.0,宽德量化精选1号私募证券投资基金B
2023-05-17,1.0,1.0,1.0,宽德量化精选1号私募证券投资基金B
2023-05-18,1.0,1.0,1.0,宽德量化精选1号私募证券投资基金B
2023-05-19,1.0,1.0,1.0,宽德量化精选1号私募证券投资基金B
2023-05-22,1.0,1.0,1.0,宽德量化精选1号私募证券投资基金B
2023-05-23,1.0,1.0,1.0,宽德量化精选1号私募证券投资基金B
2023-05-24,1.0,1.0,1.0,宽德量化精选1号私募证券投资基金B
2023-05-25,1.0,1.0,1.0,宽德量化精选1号私募证券投资基金B
2023-05-26,1.0,1.0,1.0,宽德量化精选1号私募证券投资基金B
2023-05-29,1.0,1.0,1.0,宽德量化精选1号私募证券投资基金B
2023-05-30,1.0,1.0,1.0,宽德量化精选1号私募证券投资基金B
2023-06-02,1.0,1.0,1.0,宽德量化精选1号私募证券投资基金B
2023-06-05,1.0,1.0,1.0,宽德量化精选1号私募证券投资基金B
2023-06-09,1.0,1.0,1.0,宽德量化精选1号私募证券投资基金B
2023-06-12,1.0,1.0,1.0,宽德量化精选1号私募证券投资基金B
2023-06-16,1.0,1.0,1.0,宽德量化精选1号私募证券投资基金B
2023-06-19,1.0,1.0,1.0,宽德量化精选1号私募证券投资基金B
2023-06-21,1.001,1.001,1.001,宽德量化精选1号私募证券投资基金B
2023-06-26,1.001,1.001,1.001,宽德量化精选1号私募证券投资基金B
2023-06-30,1.007,1.007,1.007,宽德量化精选1号私募证券投资基金B
2023-07-03,1.011,1.011,1.011,宽德量化精选1号私募证券投资基金B
2023-07-07,0.997,0.997,0.9969999999999999,宽德量化精选1号私募证券投资基金B
2023-07-10,0.999,0.999,0.999,宽德量化精选1号私募证券投资基金B
2023-07-14,1.01,1.01,1.01,宽德量化精选1号私募证券投资基金B
2023-07-17,1.005,1.005,1.005,宽德量化精选1号私募证券投资基金B
2023-07-18,1.003,1.003,1.003,宽德量化精选1号私募证券投资基金B
2023-07-21,0.982,0.982,0.982,宽德量化精选1号私募证券投资基金B
2023-07-24,0.984,0.984,0.9839999999999999,宽德量化精选1号私募证券投资基金B
2023-07-28,0.996,0.996,0.9959999999999999,宽德量化精选1号私募证券投资基金B
2023-07-31,1.005,1.005,1.0049999999999997,宽德量化精选1号私募证券投资基金B
2023-08-04,1.015,1.015,1.0149999999999997,宽德量化精选1号私募证券投资基金B
2023-08-07,1.011,1.011,1.0109999999999997,宽德量化精选1号私募证券投资基金B
2023-08-11,0.979,0.979,0.9789999999999998,宽德量化精选1号私募证券投资基金B
2023-08-14,0.982,0.982,0.9819999999999998,宽德量化精选1号私募证券投资基金B
2023-08-16,0.982,0.982,0.9819999999999998,宽德量化精选1号私募证券投资基金B
2023-08-17,0.982,0.982,0.9819999999999998,宽德量化精选1号私募证券投资基金B
2023-08-18,0.963,0.963,0.9629999999999997,宽德量化精选1号私募证券投资基金B
2023-08-21,0.955,0.955,0.9549999999999997,宽德量化精选1号私募证券投资基金B
2023-08-25,0.936,0.936,0.9359999999999998,宽德量化精选1号私募证券投资基金B
2023-08-28,0.948,0.948,0.9479999999999998,宽德量化精选1号私募证券投资基金B
