基金代码,基金名称,日期,单位净值,累计净值
ZZ676C,宽德量化精选2号C,2023-05-16,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-05-18,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-05-19,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-05-22,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-05-23,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-05-24,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-05-25,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-05-26,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-05-29,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-05-30,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-05-31,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-06-01,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-06-02,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-06-05,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-06-09,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-06-13,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-06-16,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-06-20,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-06-21,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-06-27,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-06-30,1.0,1.0
ZZ676C,宽德量化精选2号C,2023-07-04,1.003,1.003
ZZ676C,宽德量化精选2号C,2023-07-07,1.006,1.006
ZZ676C,宽德量化精选2号C,2023-07-11,0.994,0.994
ZZ676C,宽德量化精选2号C,2023-07-14,0.995,0.995
ZZ676C,宽德量化精选2号C,2023-07-18,1.004,1.004
ZZ676C,宽德量化精选2号C,2023-07-19,0.999,0.999
ZZ676C,宽德量化精选2号C,2023-07-24,0.997,0.997
ZZ676C,宽德量化精选2号C,2023-07-25,0.976,0.976
ZZ676C,宽德量化精选2号C,2023-07-28,0.977,0.977
ZZ676C,宽德量化精选2号C,2023-08-01,0.989,0.989
ZZ676C,宽德量化精选2号C,2023-08-04,0.998,0.998
ZZ676C,宽德量化精选2号C,2023-08-08,1.008,1.008
ZZ676C,宽德量化精选2号C,2023-08-11,1.004,1.004
ZZ676C,宽德量化精选2号C,2023-08-15,0.971,0.971
ZZ676C,宽德量化精选2号C,2023-08-16,1.948,1.948
ZZ676C,宽德量化精选2号C,2023-08-17,0.974,0.974
ZZ676C,宽德量化精选2号C,2023-08-22,0.956,0.956
ZZ676C,宽德量化精选2号C,2023-08-23,0.948,0.948
ZZ676C,宽德量化精选2号C,2023-08-29,0.928,0.928
ZZ676C,宽德量化精选2号C,2023-08-30,0.94,0.94
ZZ676C,宽德量化精选2号C,2023-09-05,0.971,0.971
ZZ676C,宽德量化精选2号C,2023-09-06,0.984,0.984
ZZ676C,宽德量化精选2号C,2023-09-12,0.966,0.966
ZZ676C,宽德量化精选2号C,2023-09-13,0.976,0.976
ZZ676C,宽德量化精选2号C,2023-09-19,0.959,0.959
ZZ676C,宽德量化精选2号C,2023-09-20,0.965,0.965
ZZ676C,宽德量化精选2号C,2023-09-26,0.965,0.965
ZZ676C,宽德量化精选2号C,2023-09-27,0.961,0.961
ZZ676C,宽德量化精选2号C,2023-10-10,0.97,0.97
ZZ676C,宽德量化精选2号C,2023-10-11,0.965,0.965
