日期,单位净值,累计净值,累计单位净值,基金id
2023-05-16,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-05-17,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-05-18,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-05-19,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-05-22,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-05-23,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-05-24,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-05-25,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-05-26,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-05-29,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-05-30,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-05-31,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-06-01,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-06-02,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-06-05,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-06-09,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-06-12,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-06-16,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-06-19,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-06-21,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-06-26,1.0,1.0,1.0,宽德量化精选2号私募证券投资基金C
2023-06-30,1.003,1.003,1.003,宽德量化精选2号私募证券投资基金C
2023-07-03,1.006,1.006,1.006,宽德量化精选2号私募证券投资基金C
2023-07-07,0.994,0.994,0.994,宽德量化精选2号私募证券投资基金C
2023-07-10,0.995,0.995,0.9950000000000001,宽德量化精选2号私募证券投资基金C
2023-07-14,1.004,1.004,1.0040000000000002,宽德量化精选2号私募证券投资基金C
2023-07-17,0.999,0.999,0.9990000000000002,宽德量化精选2号私募证券投资基金C
2023-07-18,0.997,0.997,0.9970000000000002,宽德量化精选2号私募证券投资基金C
2023-07-21,0.976,0.976,0.9760000000000002,宽德量化精选2号私募证券投资基金C
2023-07-24,0.977,0.977,0.9770000000000003,宽德量化精选2号私募证券投资基金C
2023-07-28,0.989,0.989,0.9890000000000003,宽德量化精选2号私募证券投资基金C
2023-07-31,0.998,0.998,0.9980000000000004,宽德量化精选2号私募证券投资基金C
2023-08-04,1.008,1.008,1.0080000000000005,宽德量化精选2号私募证券投资基金C
2023-08-07,1.004,1.004,1.0040000000000004,宽德量化精选2号私募证券投资基金C
2023-08-11,0.971,0.971,0.9710000000000004,宽德量化精选2号私募证券投资基金C
2023-08-14,0.974,0.974,0.9740000000000003,宽德量化精选2号私募证券投资基金C
2023-08-16,0.974,0.974,0.9740000000000003,宽德量化精选2号私募证券投资基金C
2023-08-17,0.974,0.974,0.9740000000000003,宽德量化精选2号私募证券投资基金C
2023-08-18,0.956,0.956,0.9560000000000003,宽德量化精选2号私募证券投资基金C
2023-08-21,0.948,0.948,0.9480000000000003,宽德量化精选2号私募证券投资基金C
2023-08-25,0.928,0.928,0.9280000000000004,宽德量化精选2号私募证券投资基金C
2023-08-28,0.94,0.94,0.9400000000000003,宽德量化精选2号私募证券投资基金C
2023-09-01,0.971,0.971,0.9710000000000003,宽德量化精选2号私募证券投资基金C
2023-09-04,0.984,0.984,0.9840000000000003,宽德量化精选2号私募证券投资基金C
2023-09-08,0.966,0.966,0.9660000000000003,宽德量化精选2号私募证券投资基金C
2023-09-11,0.976,0.976,0.9760000000000003,宽德量化精选2号私募证券投资基金C
2023-09-15,0.959,0.959,0.9590000000000003,宽德量化精选2号私募证券投资基金C
2023-09-18,0.965,0.965,0.9650000000000003,宽德量化精选2号私募证券投资基金C
2023-09-22,0.965,0.965,0.9650000000000003,宽德量化精选2号私募证券投资基金C
2023-09-25,0.961,0.961,0.9610000000000003,宽德量化精选2号私募证券投资基金C
2023-09-28,0.97,0.97,0.9700000000000004,宽德量化精选2号私募证券投资基金C
2023-10-09,0.965,0.965,0.9650000000000004,宽德量化精选2号私募证券投资基金C
2023-10-13,0.966,0.966,0.9660000000000004,宽德量化精选2号私募证券投资基金C
2023-10-16,0.961,0.961,0.9610000000000004,宽德量化精选2号私募证券投资基金C
2023-10-18,0.945,0.945,0.9450000000000004,宽德量化精选2号私募证券投资基金C
2023-10-20,0.922,0.922,0.9220000000000005,宽德量化精选2号私募证券投资基金C
2023-10-23,0.902,0.902,0.9020000000000005,宽德量化精选2号私募证券投资基金C
2023-10-27,0.943,0.943,0.9430000000000005,宽德量化精选2号私募证券投资基金C
2023-10-30,0.957,0.957,0.9570000000000004,宽德量化精选2号私募证券投资基金C
2023-11-03,0.948,0.948,0.9480000000000004,宽德量化精选2号私募证券投资基金C
2023-11-06,0.969,0.969,0.9690000000000005,宽德量化精选2号私募证券投资基金C
2023-11-10,0.977,0.977,0.9770000000000005,宽德量化精选2号私募证券投资基金C
2023-11-13,0.989,0.989,0.9890000000000005,宽德量化精选2号私募证券投资基金C
2023-11-16,0.993,0.993,0.9930000000000007,宽德量化精选2号私募证券投资基金C
2023-11-17,1.001,1.001,1.0010000000000006,宽德量化精选2号私募证券投资基金C
2023-11-20,1.012,1.012,1.0120000000000007,宽德量化精选2号私募证券投资基金C
2023-11-24,0.993,0.993,0.9930000000000007,宽德量化精选2号私募证券投资基金C
2023-11-27,0.995,0.995,0.9950000000000008,宽德量化精选2号私募证券投资基金C
2023-12-01,1.0,1.0,1.0000000000000007,宽德量化精选2号私募证券投资基金C
2023-12-04,1.001,1.001,1.0010000000000006,宽德量化精选2号私募证券投资基金C
2023-12-08,0.983,0.983,0.9830000000000007,宽德量化精选2号私募证券投资基金C
2023-12-11,0.993,0.993,0.9930000000000008,宽德量化精选2号私募证券投资基金C
2023-12-15,0.977,0.977,0.9770000000000008,宽德量化精选2号私募证券投资基金C
2023-12-18,0.966,0.966,0.9660000000000007,宽德量化精选2号私募证券投资基金C
2023-12-22,0.95,0.95,0.9500000000000007,宽德量化精选2号私募证券投资基金C
2023-12-25,0.953,0.953,0.9530000000000006,宽德量化精选2号私募证券投资基金C
2023-12-29,0.974,0.974,0.9740000000000008,宽德量化精选2号私募证券投资基金C
2024-01-02,0.973,0.973,0.9730000000000008,宽德量化精选2号私募证券投资基金C
2024-01-05,0.949,0.949,0.9490000000000007,宽德量化精选2号私募证券投资基金C
2024-01-08,0.933,0.933,0.9330000000000008,宽德量化精选2号私募证券投资基金C
2024-01-12,0.938,0.938,0.9380000000000007,宽德量化精选2号私募证券投资基金C
2024-01-15,0.939,0.939,0.9390000000000008,宽德量化精选2号私募证券投资基金C
2024-01-18,0.916,0.916,0.9160000000000008,宽德量化精选2号私募证券投资基金C
2024-01-19,0.905,0.905,0.9050000000000008,宽德量化精选2号私募证券投资基金C
2024-01-22,0.862,0.862,0.8620000000000008,宽德量化精选2号私募证券投资基金C
2024-01-26,0.91,0.91,0.9100000000000009,宽德量化精选2号私募证券投资基金C
2024-01-29,0.888,0.888,0.8880000000000009,宽德量化精选2号私募证券投资基金C
2024-02-02,0.797,0.797,0.7970000000000008,宽德量化精选2号私募证券投资基金C
2024-02-05,0.744,0.744,0.7440000000000008,宽德量化精选2号私募证券投资基金C
2024-02-08,0.813,0.813,0.8130000000000008,宽德量化精选2号私募证券投资基金C
2024-02-19,0.841,0.841,0.8410000000000009,宽德量化精选2号私募证券投资基金C
2024-02-23,0.929,0.929,0.9290000000000009,宽德量化精选2号私募证券投资基金C
2024-02-26,0.938,0.938,0.9380000000000008,宽德量化精选2号私募证券投资基金C
2024-03-01,0.958,0.958,0.958000000000001,宽德量化精选2号私募证券投资基金C
2024-03-04,0.962,0.962,0.962000000000001,宽德量化精选2号私募证券投资基金C
2024-03-08,0.958,0.958,0.958000000000001,宽德量化精选2号私募证券投资基金C
2024-03-11,0.978,0.978,0.978000000000001,宽德量化精选2号私募证券投资基金C
2024-03-15,0.995,0.995,0.995000000000001,宽德量化精选2号私募证券投资基金C
2024-03-18,1.011,1.011,1.011000000000001,宽德量化精选2号私募证券投资基金C
2024-03-22,1.007,1.007,1.007000000000001,宽德量化精选2号私募证券投资基金C
2024-03-25,0.988,0.988,0.9880000000000011,宽德量化精选2号私募证券投资基金C
2024-03-29,0.989,0.989,0.989000000000001,宽德量化精选2号私募证券投资基金C
2024-04-01,1.012,1.012,1.0120000000000011,宽德量化精选2号私募证券投资基金C
2024-04-03,1.001,1.001,1.001000000000001,宽德量化精选2号私募证券投资基金C
2024-04-08,0.982,0.982,0.9820000000000011,宽德量化精选2号私募证券投资基金C
2024-04-12,0.968,0.968,0.9680000000000011,宽德量化精选2号私募证券投资基金C
2024-04-15,0.952,0.952,0.952000000000001,宽德量化精选2号私募证券投资基金C
2024-04-18,0.949,0.949,0.949000000000001,宽德量化精选2号私募证券投资基金C
2024-04-19,0.938,0.938,0.9380000000000009,宽德量化精选2号私募证券投资基金C
2024-04-22,0.928,0.928,0.928000000000001,宽德量化精选2号私募证券投资基金C
2024-04-26,0.977,0.977,0.9770000000000011,宽德量化精选2号私募证券投资基金C
2024-04-29,1.002,1.002,1.0020000000000011,宽德量化精选2号私募证券投资基金C
2024-04-30,0.993,0.993,0.9930000000000011,宽德量化精选2号私募证券投资基金C
2024-05-06,1.011,1.011,1.011000000000001,宽德量化精选2号私募证券投资基金C
2024-05-10,1.008,1.008,1.0080000000000011,宽德量化精选2号私募证券投资基金C
2024-05-13,0.993,0.993,0.993000000000001,宽德量化精选2号私募证券投资基金C
2024-05-17,1.014,1.014,1.014000000000001,宽德量化精选2号私募证券投资基金C
2024-05-20,1.02,1.02,1.020000000000001,宽德量化精选2号私募证券投资基金C
2024-05-24,0.989,0.989,0.9890000000000009,宽德量化精选2号私募证券投资基金C
2024-05-27,0.997,0.997,0.9970000000000008,宽德量化精选2号私募证券投资基金C
2024-05-31,0.988,0.988,0.9880000000000008,宽德量化精选2号私募证券投资基金C
2024-06-03,0.975,0.975,0.9750000000000008,宽德量化精选2号私募证券投资基金C
2024-06-07,0.951,0.951,0.9510000000000007,宽德量化精选2号私募证券投资基金C
2024-06-11,0.95,0.95,0.9500000000000007,宽德量化精选2号私募证券投资基金C
2024-06-14,0.957,0.957,0.9570000000000008,宽德量化精选2号私募证券投资基金C
2024-06-17,0.949,0.949,0.9490000000000008,宽德量化精选2号私募证券投资基金C
2024-06-18,0.962,0.962,0.9620000000000009,宽德量化精选2号私募证券投资基金C
2024-06-21,0.938,0.938,0.9380000000000008,宽德量化精选2号私募证券投资基金C
2024-06-24,0.912,0.912,0.9120000000000009,宽德量化精选2号私募证券投资基金C
2024-06-28,0.927,0.927,0.9270000000000009,宽德量化精选2号私募证券投资基金C
2024-07-01,0.937,0.937,0.9370000000000009,宽德量化精选2号私募证券投资基金C
2024-07-05,0.924,0.924,0.9240000000000009,宽德量化精选2号私募证券投资基金C
2024-07-08,0.907,0.907,0.9070000000000009,宽德量化精选2号私募证券投资基金C
2024-07-12,0.937,0.937,0.9370000000000009,宽德量化精选2号私募证券投资基金C
2024-07-15,0.93,0.93,0.9300000000000009,宽德量化精选2号私募证券投资基金C
2024-07-18,0.926,0.926,0.9260000000000009,宽德量化精选2号私募证券投资基金C
2024-07-19,0.93,0.93,0.9300000000000009,宽德量化精选2号私募证券投资基金C
2024-07-22,0.933,0.933,0.9330000000000009,宽德量化精选2号私募证券投资基金C
2024-07-26,0.919,0.919,0.9190000000000009,宽德量化精选2号私募证券投资基金C
2024-07-29,0.926,0.926,0.9260000000000009,宽德量化精选2号私募证券投资基金C
2024-08-02,0.946,0.946,0.9460000000000008,宽德量化精选2号私募证券投资基金C
2024-08-05,0.926,0.926,0.9260000000000009,宽德量化精选2号私募证券投资基金C
2024-08-09,0.934,0.934,0.9340000000000009,宽德量化精选2号私募证券投资基金C
2024-08-12,0.928,0.928,0.9280000000000009,宽德量化精选2号私募证券投资基金C
2024-08-16,0.939,0.939,0.9390000000000007,宽德量化精选2号私募证券投资基金C
2024-08-19,0.94,0.94,0.9400000000000007,宽德量化精选2号私募证券投资基金C
2024-08-23,0.915,0.915,0.9150000000000007,宽德量化精选2号私募证券投资基金C
2024-08-26,0.924,0.924,0.9240000000000008,宽德量化精选2号私募证券投资基金C
2024-08-30,0.932,0.932,0.9320000000000007,宽德量化精选2号私募证券投资基金C
2024-09-02,0.917,0.917,0.9170000000000007,宽德量化精选2号私募证券投资基金C
2024-09-06,0.915,0.915,0.9150000000000007,宽德量化精选2号私募证券投资基金C
2024-09-09,0.911,0.911,0.9110000000000007,宽德量化精选2号私募证券投资基金C
2024-09-13,0.898,0.898,0.8980000000000007,宽德量化精选2号私募证券投资基金C
2024-09-18,0.896,0.896,0.8960000000000007,宽德量化精选2号私募证券投资基金C
2024-09-20,0.913,0.913,0.9130000000000008,宽德量化精选2号私募证券投资基金C
2024-09-23,0.92,0.92,0.9200000000000008,宽德量化精选2号私募证券投资基金C
2024-09-27,1.034,1.034,1.034000000000001,宽德量化精选2号私募证券投资基金C
2024-09-30,1.125,1.125,1.125000000000001,宽德量化精选2号私募证券投资基金C
2024-10-08,1.188,1.188,1.1880000000000013,宽德量化精选2号私募证券投资基金C
2024-10-11,1.072,1.072,1.0720000000000012,宽德量化精选2号私募证券投资基金C
2024-10-14,1.111,1.111,1.111000000000001,宽德量化精选2号私募证券投资基金C
2024-10-18,1.131,1.131,1.1310000000000011,宽德量化精选2号私募证券投资基金C
2024-10-21,1.15,1.15,1.150000000000001,宽德量化精选2号私募证券投资基金C
2024-10-25,1.191,1.191,1.1910000000000012,宽德量化精选2号私募证券投资基金C
2024-10-28,1.217,1.217,1.2170000000000014,宽德量化精选2号私募证券投资基金C
2024-11-01,1.208,1.208,1.2080000000000013,宽德量化精选2号私募证券投资基金C
2024-11-04,1.227,1.227,1.2270000000000012,宽德量化精选2号私募证券投资基金C
2024-11-08,1.292,1.292,1.2920000000000011,宽德量化精选2号私募证券投资基金C
2024-11-11,1.303,1.303,1.303000000000001,宽德量化精选2号私募证券投资基金C
2024-11-15,1.253,1.253,1.253000000000001,宽德量化精选2号私募证券投资基金C
2024-11-18,1.237,1.237,1.2370000000000012,宽德量化精选2号私募证券投资基金C
2024-11-22,1.256,1.256,1.2560000000000011,宽德量化精选2号私募证券投资基金C
2024-11-25,1.271,1.271,1.271000000000001,宽德量化精选2号私募证券投资基金C
2024-11-29,1.302,1.302,1.3020000000000012,宽德量化精选2号私募证券投资基金C
2024-12-02,1.325,1.325,1.3250000000000013,宽德量化精选2号私募证券投资基金C
2024-12-06,1.352,1.352,1.3520000000000016,宽德量化精选2号私募证券投资基金C
2024-12-09,1.354,1.354,1.3540000000000016,宽德量化精选2号私募证券投资基金C
2024-12-13,1.368,1.368,1.3680000000000017,宽德量化精选2号私募证券投资基金C
2024-12-16,1.371,1.371,1.3710000000000016,宽德量化精选2号私募证券投资基金C
