date,nav_unit,nav_accumulated,nav_adjusted
2024-03-15,1.0,1.0,1.0
2024-03-22,1.0,1.0,1.0
2024-03-29,1.0,1.0,1.0
2024-04-03,1.0,1.0,1.0
2024-04-12,1.0,1.0,1.0
2024-04-19,1.0,1.0,1.0
2024-04-26,1.0,1.0,1.0
2024-04-30,1.0,1.0,1.0
2024-05-10,1.0,1.0,1.0
2024-05-17,1.006,1.006,1.006
2024-05-24,0.991,0.991,0.991
2024-05-31,0.987,0.987,0.987
2024-06-07,0.984,0.984,0.984
2024-06-14,0.979,0.979,0.979
2024-06-21,0.973,0.973,0.973
2024-06-28,0.97,0.97,0.97
2024-07-05,0.966,0.966,0.966
2024-07-12,0.982,0.982,0.982
2024-07-19,0.999,0.999,0.999
2024-07-26,0.969,0.969,0.969
2024-08-02,0.971,0.971,0.971
2024-08-09,0.959,0.959,0.959
2024-08-16,0.966,0.966,0.966
2024-08-23,0.962,0.962,0.962
2024-08-30,0.958,0.958,0.958
2024-09-06,0.939,0.939,0.939
2024-09-13,0.917,0.917,0.917
2024-09-20,0.926,0.926,0.926
2024-09-27,1.05,1.05,1.05
2024-09-30,1.129,1.129,1.129
2024-10-11,1.089,1.089,1.089
2024-10-18,1.115,1.115,1.115
2024-10-25,1.138,1.138,1.138
2024-11-01,1.139,1.139,1.139
2024-11-08,1.192,1.192,1.192
2024-11-15,1.153,1.153,1.153
2024-11-22,1.133,1.133,1.133
2024-11-29,1.151,1.151,1.151
2024-12-06,1.177,1.177,1.177
2024-12-13,1.172,1.172,1.172
2024-12-20,1.166,1.166,1.166
2024-12-27,1.176,1.176,1.176
2025-01-03,1.119,1.119,1.119
2025-01-10,1.109,1.109,1.109
2025-01-17,1.137,1.137,1.137
2025-01-24,1.142,1.142,1.142
2025-01-27,1.139,1.139,1.139
2025-02-07,1.159,1.159,1.159
2025-02-14,1.176,1.176,1.176
2025-02-21,1.19,1.19,1.19
2025-02-28,1.173,1.173,1.173
2025-03-07,1.197,1.197,1.197
2025-03-14,1.222,1.222,1.222
2025-03-21,1.2,1.2,1.2
2025-03-28,1.195,1.195,1.195
2025-04-03,1.182,1.182,1.182
2025-04-11,1.146,1.146,1.146
2025-04-18,1.158,1.158,1.158
2025-04-25,1.17,1.17,1.17
2025-04-30,1.166,1.166,1.166
2025-05-09,1.195,1.195,1.195
2025-05-16,1.215,1.215,1.215
2025-05-23,1.213,1.213,1.213
2025-05-30,1.204,1.204,1.204
2025-06-06,1.217,1.217,1.217
2025-06-13,1.217,1.217,1.217
2025-06-20,1.216,1.216,1.216
