date,nav_unit,nav_accumulated,nav_adjusted
2025-01-03,1.0,1.0,1.0
2025-01-10,0.9999,0.9999,0.9999
2025-01-17,1.0031,1.0031,1.0031
2025-01-24,0.9942,0.9942,0.9942
2025-01-27,0.998,0.998,0.998
2025-02-07,1.0062,1.0062,1.0062
2025-02-14,1.0407,1.0407,1.0407
2025-02-21,1.0529,1.0529,1.0529
2025-02-28,1.0516,1.0516,1.0516
2025-03-07,1.0997,1.0997,1.0997
2025-03-14,1.1146,1.1146,1.1146
2025-03-21,1.1026,1.1026,1.1026
2025-03-28,1.0873,1.0873,1.0873
2025-04-03,1.0928,1.0928,1.0928
2025-04-11,1.0456,1.0456,1.0456
2025-04-18,1.0584,1.0584,1.0584
