date,nav_unit,nav_accumulated,nav_adjusted
2025-03-07,1.0001,1.0001,1.0001
2025-03-14,1.0002,1.0002,1.0002
2025-03-21,1.0003,1.0003,1.0003
2025-03-28,0.9949,0.9949,0.9949
2025-04-03,0.9765,0.9765,0.9765
2025-04-11,0.9399,0.9399,0.9399
2025-04-18,0.9337,0.9337,0.9337
2025-04-25,0.9261,0.9261,0.9261
2025-04-30,0.9208,0.9208,0.9208
2025-05-09,0.9496,0.9496,0.9496
2025-05-16,0.9476,0.9476,0.9476
2025-05-23,0.9592,0.9592,0.9592
2025-05-30,0.9173,0.9173,0.9173
2025-06-06,0.9301,0.9301,0.9301
2025-06-13,0.9238,0.9238,0.9238
