date,nav_unit,nav_accumulated,nav_adjusted
2025-01-17,1.0,1.0,1.0
2025-01-24,0.9999,0.9999,0.9999
2025-01-27,1.0001,1.0001,1.0001
2025-02-07,1.0018,1.0018,1.0018
2025-02-14,1.0208,1.0208,1.0208
2025-02-21,1.0468,1.0468,1.0468
2025-02-28,1.0189,1.0189,1.0189
2025-03-07,1.0489,1.0489,1.0489
2025-03-14,1.0643,1.0643,1.0643
2025-03-21,1.0468,1.0468,1.0468
2025-03-28,1.0356,1.0356,1.0356
2025-04-03,1.0244,1.0244,1.0244
2025-04-11,0.9821,0.9821,0.9821
2025-04-18,0.9913,0.9913,0.9913
2025-04-25,1.0074,1.0074,1.0074
2025-04-30,1.0105,1.0105,1.0105
2025-05-09,1.0343,1.0343,1.0343
2025-05-16,1.0424,1.0424,1.0424
2025-05-23,1.0373,1.0373,1.0373
2025-05-30,1.0371,1.0371,1.0371
2025-06-06,1.0548,1.0548,1.0548
