date,nav_unit,nav_accumulated,nav_adjusted
2025-01-17,1.0,1.0,1.0
2025-01-24,0.9998,0.9998,0.9998
2025-01-27,1.0003,1.0003,1.0003
2025-02-07,0.9997,0.9997,0.9997
2025-02-14,1.0001,1.0001,1.0001
2025-02-21,1.0049,1.0049,1.0049
2025-02-28,0.9895,0.9895,0.9895
2025-03-07,1.0198,1.0198,1.0198
2025-03-14,1.0415,1.0415,1.0415
2025-03-21,1.0244,1.0244,1.0244
2025-03-28,1.0125,1.0125,1.0125
2025-04-03,0.9981,0.9981,0.9981
2025-04-11,0.9594,0.9594,0.9594
2025-04-18,0.9686,0.9686,0.9686
2025-04-25,0.9848,0.9848,0.9848
2025-04-30,0.9857,0.9857,0.9857
2025-05-09,1.0126,1.0126,1.0126
2025-05-16,1.0318,1.0318,1.0318
2025-05-23,1.0274,1.0274,1.0274
2025-05-30,1.0208,1.0208,1.0208
2025-06-06,1.0363,1.0363,1.0363
2025-06-13,1.0356,1.0356,1.0356
<<<<<<<< HEAD:nav_dfs/ASQ78A_宽德中证A500指数增强28号六期A_2025-01-14_2025-06-20.csv
2025-06-20,1.031,1.031,1.031
========
>>>>>>>> f2448e32922449c4c62126a629bea034d3cb6ba8:nav_dfs/ASQ78A_宽德中证A500指数增强28号六期A_2025-01-14_2025-06-13.csv
