基金代码,基金名称,日期,单位净值,累计净值
B0537A,盛天国华1号A,2023-12-07,1.0,1.0
B0537A,盛天国华1号A,2023-12-08,1.0001,1.0001
B0537A,盛天国华1号A,2023-12-11,1.0001,1.0001
B0537A,盛天国华1号A,2023-12-12,1.0001,1.0001
B0537A,盛天国华1号A,2023-12-13,1.0001,1.0001
B0537A,盛天国华1号A,2023-12-14,1.0001,1.0001
B0537A,盛天国华1号A,2023-12-15,1.0,1.0
B0537A,盛天国华1号A,2023-12-18,1.0,1.0
B0537A,盛天国华1号A,2023-12-19,1.0,1.0
B0537A,盛天国华1号A,2023-12-20,0.9996,0.9996
B0537A,盛天国华1号A,2023-12-21,1.0008,1.0008
B0537A,盛天国华1号A,2023-12-22,0.9994,0.9994
B0537A,盛天国华1号A,2023-12-25,0.9998,0.9998
B0537A,盛天国华1号A,2023-12-26,0.9978,0.9978
B0537A,盛天国华1号A,2023-12-27,1.0001,1.0001
B0537A,盛天国华1号A,2023-12-28,1.003,1.003
B0537A,盛天国华1号A,2023-12-29,1.0029,1.0029
B0537A,盛天国华1号A,2024-01-02,1.0044,1.0044
B0537A,盛天国华1号A,2024-01-03,1.0042,1.0042
B0537A,盛天国华1号A,2024-01-04,1.0015,1.0015
B0537A,盛天国华1号A,2024-01-05,0.9967,0.9967
B0537A,盛天国华1号A,2024-01-08,0.9895,0.9895
B0537A,盛天国华1号A,2024-01-09,0.993,0.993
B0537A,盛天国华1号A,2024-01-10,0.9923,0.9923
B0537A,盛天国华1号A,2024-01-11,0.995,0.995
B0537A,盛天国华1号A,2024-01-12,0.993,0.993
B0537A,盛天国华1号A,2024-01-15,0.996,0.996
B0537A,盛天国华1号A,2024-01-16,0.9968,0.9968
B0537A,盛天国华1号A,2024-01-17,0.9899,0.9899
B0537A,盛天国华1号A,2024-01-18,0.9893,0.9893
B0537A,盛天国华1号A,2024-01-19,0.9874,0.9874
B0537A,盛天国华1号A,2024-01-22,0.9633,0.9633
B0537A,盛天国华1号A,2024-01-23,0.9672,0.9672
B0537A,盛天国华1号A,2024-01-24,0.9712,0.9712
B0537A,盛天国华1号A,2024-01-25,0.9922,0.9922
B0537A,盛天国华1号A,2024-01-26,0.9877,0.9877
B0537A,盛天国华1号A,2024-01-29,0.9832,0.9832
B0537A,盛天国华1号A,2024-01-30,0.9633,0.9633
B0537A,盛天国华1号A,2024-01-31,0.9423,0.9423
B0537A,盛天国华1号A,2024-02-01,0.9439,0.9439
B0537A,盛天国华1号A,2024-02-02,0.926,0.926
B0537A,盛天国华1号A,2024-02-05,0.9145,0.9145
B0537A,盛天国华1号A,2024-02-06,0.9643,0.9643
B0537A,盛天国华1号A,2024-02-07,0.9955,0.9955
B0537A,盛天国华1号A,2024-02-08,1.0089,1.0089
B0537A,盛天国华1号A,2024-02-19,1.0052,1.0052
B0537A,盛天国华1号A,2024-02-20,1.0081,1.0081
B0537A,盛天国华1号A,2024-02-21,1.0137,1.0137
B0537A,盛天国华1号A,2024-02-22,1.0171,1.0171
B0537A,盛天国华1号A,2024-02-23,1.0187,1.0187
B0537A,盛天国华1号A,2024-02-26,1.0206,1.0206
B0537A,盛天国华1号A,2024-02-27,1.0314,1.0314
B0537A,盛天国华1号A,2024-02-28,1.012,1.012
B0537A,盛天国华1号A,2024-02-29,1.0319,1.0319
B0537A,盛天国华1号A,2024-03-01,1.0329,1.0329
B0537A,盛天国华1号A,2024-03-04,1.0404,1.0404
B0537A,盛天国华1号A,2024-03-05,1.0323,1.0323
B0537A,盛天国华1号A,2024-03-06,1.0262,1.0262
B0537A,盛天国华1号A,2024-03-07,1.0108,1.0108
B0537A,盛天国华1号A,2024-03-08,1.0166,1.0166
B0537A,盛天国华1号A,2024-03-11,1.0351,1.0351
B0537A,盛天国华1号A,2024-03-12,1.046,1.046
B0537A,盛天国华1号A,2024-03-13,1.0416,1.0416
B0537A,盛天国华1号A,2024-03-14,1.0408,1.0408
B0537A,盛天国华1号A,2024-03-15,1.0452,1.0452
B0537A,盛天国华1号A,2024-03-18,1.0625,1.0625
B0537A,盛天国华1号A,2024-03-19,1.0538,1.0538
B0537A,盛天国华1号A,2024-03-20,1.0597,1.0597
B0537A,盛天国华1号A,2024-03-21,1.0563,1.0563
B0537A,盛天国华1号A,2024-03-22,1.0395,1.0395
B0537A,盛天国华1号A,2024-03-25,1.0254,1.0254
B0537A,盛天国华1号A,2024-03-26,1.031,1.031
B0537A,盛天国华1号A,2024-03-27,1.0209,1.0209
B0537A,盛天国华1号A,2024-03-28,1.0306,1.0306
B0537A,盛天国华1号A,2024-03-29,1.041,1.041
B0537A,盛天国华1号A,2024-04-01,1.0573,1.0573
B0537A,盛天国华1号A,2024-04-02,1.0418,1.0418
B0537A,盛天国华1号A,2024-04-03,1.0489,1.0489
B0537A,盛天国华1号A,2024-04-08,1.0321,1.0321
B0537A,盛天国华1号A,2024-04-09,1.0392,1.0392
B0537A,盛天国华1号A,2024-04-10,1.0256,1.0256
B0537A,盛天国华1号A,2024-04-11,1.0228,1.0228
B0537A,盛天国华1号A,2024-04-12,1.0196,1.0196
B0537A,盛天国华1号A,2024-04-15,1.0275,1.0275
B0537A,盛天国华1号A,2024-04-16,1.0041,1.0041
B0537A,盛天国华1号A,2024-04-17,1.0301,1.0301
B0537A,盛天国华1号A,2024-04-18,1.0341,1.0341
B0537A,盛天国华1号A,2024-04-19,1.0337,1.0337
B0537A,盛天国华1号A,2024-04-22,1.0469,1.0469
B0537A,盛天国华1号A,2024-04-23,1.037,1.037
B0537A,盛天国华1号A,2024-04-24,1.0423,1.0423
B0537A,盛天国华1号A,2024-04-25,1.0488,1.0488
B0537A,盛天国华1号A,2024-04-26,1.0574,1.0574
B0537A,盛天国华1号A,2024-04-29,1.0737,1.0737
B0537A,盛天国华1号A,2024-04-30,1.0768,1.0768
B0537A,盛天国华1号A,2024-05-06,1.1041,1.1041
B0537A,盛天国华1号A,2024-05-07,1.1094,1.1094
B0537A,盛天国华1号A,2024-05-08,1.1074,1.1074
B0537A,盛天国华1号A,2024-05-09,1.1221,1.1221
B0537A,盛天国华1号A,2024-05-10,1.1194,1.1194
B0537A,盛天国华1号A,2024-05-13,1.1161,1.1161
B0537A,盛天国华1号A,2024-05-14,1.1193,1.1193
B0537A,盛天国华1号A,2024-05-15,1.1111,1.1111
B0537A,盛天国华1号A,2024-05-16,1.1051,1.1051
B0537A,盛天国华1号A,2024-05-17,1.1068,1.1068
B0537A,盛天国华1号A,2024-05-20,1.1111,1.1111
B0537A,盛天国华1号A,2024-05-21,1.1087,1.1087
B0537A,盛天国华1号A,2024-05-22,1.1027,1.1027
B0537A,盛天国华1号A,2024-05-23,1.0813,1.0813
B0537A,盛天国华1号A,2024-05-24,1.0741,1.0741
B0537A,盛天国华1号A,2024-05-27,1.0797,1.0797
B0537A,盛天国华1号A,2024-05-28,1.067,1.067
B0537A,盛天国华1号A,2024-05-29,1.0665,1.0665
B0537A,盛天国华1号A,2024-05-30,1.06,1.06
B0537A,盛天国华1号A,2024-05-31,1.0604,1.0604
B0537A,盛天国华1号A,2024-06-03,1.0474,1.0474
B0537A,盛天国华1号A,2024-06-04,1.0537,1.0537
B0537A,盛天国华1号A,2024-06-05,1.0408,1.0408
B0537A,盛天国华1号A,2024-06-06,1.0253,1.0253
B0537A,盛天国华1号A,2024-06-07,1.0303,1.0303
B0537A,盛天国华1号A,2024-06-11,1.0376,1.0376
B0537A,盛天国华1号A,2024-06-12,1.0397,1.0397
B0537A,盛天国华1号A,2024-06-13,1.032,1.032
B0537A,盛天国华1号A,2024-06-14,1.0328,1.0328
B0537A,盛天国华1号A,2024-06-17,1.0268,1.0268
B0537A,盛天国华1号A,2024-06-18,1.0256,1.0256
B0537A,盛天国华1号A,2024-06-19,1.02,1.02
B0537A,盛天国华1号A,2024-06-20,1.0169,1.0169
B0537A,盛天国华1号A,2024-06-21,1.0161,1.0161
B0537A,盛天国华1号A,2024-06-24,0.9813,0.9813
B0537A,盛天国华1号A,2024-06-25,0.9768,0.9768
B0537A,盛天国华1号A,2024-06-26,0.9886,0.9886
B0537A,盛天国华1号A,2024-06-27,0.9736,0.9736
B0537A,盛天国华1号A,2024-06-28,0.9698,0.9698
B0537A,盛天国华1号A,2024-07-01,0.9761,0.9761
B0537A,盛天国华1号A,2024-07-02,0.9727,0.9727
B0537A,盛天国华1号A,2024-07-03,0.9641,0.9641
B0537A,盛天国华1号A,2024-07-04,0.9498,0.9498
B0537A,盛天国华1号A,2024-07-05,0.9651,0.9651
B0537A,盛天国华1号A,2024-07-08,0.9446,0.9446
B0537A,盛天国华1号A,2024-07-09,0.9496,0.9496
B0537A,盛天国华1号A,2024-07-10,0.9436,0.9436
B0537A,盛天国华1号A,2024-07-11,0.9646,0.9646
B0537A,盛天国华1号A,2024-07-12,0.9636,0.9636
