date,nav_unit,nav_accumulated,nav_adjusted
2023-10-13,1.0,1.0,1.0
2023-10-20,1.0,1.0,1.0
2023-10-27,1.0,1.0,1.0
2023-11-03,1.0,1.0,1.0
2023-11-10,0.999,0.999,0.999
2023-11-17,1.0,1.0,1.0
2023-11-24,0.992,0.992,0.992
2023-12-01,1.001,1.001,1.001
2023-12-08,0.984,0.984,0.984
2023-12-15,0.981,0.981,0.981
2023-12-22,0.95,0.95,0.95
2023-12-29,0.977,0.977,0.977
2024-01-05,0.947,0.947,0.947
2024-01-12,0.936,0.936,0.936
2024-01-19,0.896,0.896,0.896
2024-01-26,0.888,0.888,0.888
2024-02-02,0.759,0.759,0.759
2024-02-08,0.762,0.762,0.762
2024-02-23,0.864,0.864,0.864
2024-03-01,0.896,0.896,0.896
2024-03-08,0.892,0.892,0.892
2024-03-15,0.933,0.933,0.933
2024-03-22,0.952,0.952,0.952
2024-03-29,0.929,0.929,0.929
2024-04-03,0.937,0.937,0.937
2024-04-12,0.909,0.909,0.909
2024-04-19,0.879,0.879,0.879
2024-04-26,0.918,0.918,0.918
2024-04-30,0.933,0.933,0.933
2024-05-10,0.951,0.951,0.951
2024-05-17,0.952,0.952,0.952
2024-05-24,0.92,0.92,0.92
2024-05-31,0.924,0.924,0.924
2024-06-07,0.876,0.876,0.876
2024-06-14,0.886,0.886,0.886
2024-06-21,0.866,0.866,0.866
2024-06-28,0.846,0.846,0.846
2024-07-05,0.836,0.836,0.836
2024-07-12,0.847,0.847,0.847
2024-07-19,0.833,0.833,0.833
2024-07-26,0.822,0.822,0.822
2024-08-02,0.849,0.849,0.849
2024-08-09,0.836,0.836,0.836
2024-08-16,0.834,0.834,0.834
2024-08-23,0.801,0.801,0.801
2024-08-30,0.829,0.829,0.829
2024-09-06,0.813,0.813,0.813
2024-09-13,0.8,0.8,0.8
2024-09-20,0.811,0.811,0.811
2024-09-27,0.93,0.93,0.93
2024-09-30,1.025,1.025,1.025
2024-10-11,0.964,0.964,0.964
2024-10-18,1.026,1.026,1.026
2024-10-25,1.089,1.089,1.089
2024-11-01,1.097,1.097,1.097
2024-11-08,1.194,1.194,1.194
2024-11-15,1.157,1.157,1.157
2024-11-22,1.161,1.161,1.161
2024-11-29,1.208,1.208,1.208
2024-12-06,1.261,1.261,1.261
2024-12-13,1.277,1.277,1.277
2024-12-20,1.253,1.253,1.253
2024-12-27,1.216,1.216,1.216
2025-01-03,1.11,1.11,1.11
2025-01-10,1.111,1.111,1.111
2025-01-17,1.176,1.176,1.176
2025-01-24,1.189,1.189,1.189
2025-01-27,1.172,1.172,1.172
2025-02-07,1.24,1.24,1.24
2025-02-14,1.268,1.268,1.268
2025-02-21,1.319,1.319,1.319
2025-02-28,1.296,1.296,1.296
2025-03-07,1.358,1.358,1.358
2025-03-14,1.393,1.393,1.393
2025-03-21,1.377,1.377,1.377
2025-03-28,1.34,1.34,1.34
2025-04-03,1.33,1.33,1.33
2025-04-11,1.249,1.249,1.249
2025-04-18,1.259,1.259,1.259
2025-04-25,1.292,1.292,1.292
2025-04-30,1.309,1.309,1.309
2025-05-09,1.352,1.352,1.352
2025-05-16,1.37,1.37,1.37
2025-05-23,1.359,1.359,1.359
2025-05-30,1.37,1.37,1.37
2025-06-06,1.407,1.407,1.407
2025-06-13,1.401,1.401,1.401
2025-06-20,1.379,1.379,1.379
