date,nav_unit,nav_accumulated,nav_adjusted
2023-09-28,1.0,1.0,1.0
2023-10-13,1.0,1.0,1.0
2023-10-20,1.0,1.0,1.0
2023-10-27,1.013,1.013,1.013
2023-11-03,1.022,1.022,1.022
2023-11-10,1.046,1.046,1.046
2023-11-17,1.078,1.078,1.078
2023-11-24,1.078,1.078,1.078
2023-12-01,1.089,1.089,1.089
2023-12-08,1.068,1.068,1.068
2023-12-15,1.074,1.074,1.074
2023-12-22,1.046,1.046,1.046
2023-12-29,1.076,1.076,1.076
2024-01-05,1.056,1.056,1.056
2024-01-12,1.049,1.049,1.049
2024-01-19,1.007,1.007,1.007
2024-01-26,1.0,1.0,1.0
2024-02-02,0.839,0.839,0.839
2024-02-08,0.779,0.779,0.779
2024-02-23,0.922,0.922,0.922
2024-03-01,0.95,0.95,0.95
2024-03-08,0.952,0.952,0.952
2024-03-15,1.006,1.006,1.006
2024-03-22,1.043,1.043,1.043
2024-03-29,1.027,1.027,1.027
2024-04-03,1.043,1.043,1.043
2024-04-12,1.006,1.006,1.006
2024-04-19,0.932,0.932,0.932
2024-04-26,0.983,0.983,0.983
2024-04-30,1.008,1.008,1.008
2024-05-10,1.032,1.032,1.032
2024-05-17,1.041,1.041,1.041
2024-05-24,1.006,1.006,1.006
2024-05-31,1.006,1.006,1.006
2024-06-07,0.931,0.931,0.931
2024-06-14,0.947,0.947,0.947
2024-06-21,0.931,0.931,0.931
2024-06-28,0.916,0.916,0.916
2024-07-05,0.915,0.915,0.915
2024-07-12,0.926,0.926,0.926
2024-07-19,0.908,0.908,0.908
2024-07-26,0.909,0.909,0.909
2024-08-02,0.951,0.951,0.951
2024-08-09,0.945,0.945,0.945
2024-08-16,0.95,0.95,0.95
2024-08-23,0.91,0.91,0.91
2024-08-30,0.954,0.954,0.954
2024-09-06,0.939,0.939,0.939
2024-09-13,0.931,0.931,0.931
2024-09-20,0.944,0.944,0.944
2024-09-27,1.076,1.076,1.076
2024-09-30,1.185,1.185,1.185
2024-10-11,1.125,1.125,1.125
2024-10-18,1.196,1.196,1.196
2024-10-25,1.288,1.288,1.288
2024-11-01,1.309,1.309,1.309
2024-11-08,1.428,1.428,1.428
2024-11-15,1.382,1.382,1.382
2024-11-22,1.393,1.393,1.393
2024-11-29,1.474,1.474,1.474
2024-12-06,1.55,1.55,1.55
2024-12-13,1.596,1.596,1.596
2024-12-20,1.552,1.552,1.552
2024-12-27,1.482,1.482,1.482
2025-01-03,1.355,1.355,1.355
2025-01-10,1.353,1.353,1.353
2025-01-17,1.436,1.436,1.436
2025-01-24,1.451,1.451,1.451
2025-01-27,1.436,1.436,1.436
2025-02-07,1.507,1.507,1.507
2025-02-14,1.542,1.542,1.542
2025-02-21,1.601,1.601,1.601
2025-02-28,1.586,1.586,1.586
2025-03-07,1.654,1.654,1.654
2025-03-14,1.709,1.709,1.709
2025-03-21,1.704,1.704,1.704
2025-03-28,1.649,1.649,1.649
2025-04-03,1.655,1.655,1.655
2025-04-11,1.562,1.562,1.562
2025-04-18,1.595,1.595,1.595
