date,nav_unit,nav_accumulated,nav_adjusted
2023-11-14,1.0,1.0,1.0
2023-11-15,1.0,1.0,1.0
2023-11-16,1.0,1.0,1.0
2023-11-17,1.0,1.0,1.0
2023-11-20,1.0,1.0,1.0
2023-11-21,1.0,1.0,1.0
2023-11-22,1.0,1.0,1.0
2023-11-23,1.0,1.0,1.0
2023-11-24,1.0,1.0,1.0
2023-11-27,1.0,1.0,1.0
2023-11-28,1.0,1.0,1.0
2023-11-29,1.0,1.0,1.0
2023-11-30,1.0,1.0,1.0
2023-12-01,1.001,1.001,1.001
2023-12-04,1.0,1.0,1.0
2023-12-05,1.001,1.001,1.001
2023-12-06,1.001,1.001,1.001
2023-12-07,1.001,1.001,1.001
2023-12-08,1.001,1.001,1.001
2023-12-11,1.001,1.001,1.001
2023-12-12,1.001,1.001,1.001
2023-12-13,1.001,1.001,1.001
2023-12-14,1.001,1.001,1.001
2023-12-15,1.001,1.001,1.001
2023-12-18,1.001,1.001,1.001
2023-12-19,1.001,1.001,1.001
2023-12-20,1.001,1.001,1.001
2023-12-21,1.002,1.002,1.002
2023-12-22,0.995,0.995,0.995
2023-12-25,0.994,0.994,0.994
2023-12-26,0.983,0.983,0.983
2023-12-27,0.991,0.991,0.991
2023-12-28,1.005,1.005,1.005
2023-12-29,1.019,1.019,1.019
2024-01-02,1.023,1.023,1.023
2024-01-03,1.022,1.022,1.022
2024-01-04,1.019,1.019,1.019
2024-01-05,1.006,1.006,1.006
2024-01-08,0.989,0.989,0.989
2024-01-09,0.993,0.993,0.993
2024-01-10,0.986,0.986,0.986
2024-01-11,0.997,0.997,0.997
2024-01-12,0.992,0.992,0.992
2024-01-15,0.992,0.992,0.992
2024-01-16,0.99,0.99,0.99
2024-01-17,0.969,0.969,0.969
2024-01-18,0.962,0.962,0.962
2024-01-19,0.954,0.954,0.954
2024-01-22,0.905,0.905,0.905
2024-01-23,0.909,0.909,0.909
2024-01-24,0.922,0.922,0.922
2024-01-25,0.955,0.955,0.955
2024-01-26,0.954,0.954,0.954
2024-01-29,0.931,0.931,0.931
2024-01-30,0.907,0.907,0.907
2024-01-31,0.876,0.876,0.876
2024-02-01,0.866,0.866,0.866
2024-02-02,0.833,0.833,0.833
2024-02-05,0.794,0.794,0.794
2024-02-06,0.829,0.829,0.829
2024-02-07,0.841,0.841,0.841
2024-02-08,0.859,0.859,0.859
2024-02-19,0.871,0.871,0.871
2024-02-20,0.876,0.876,0.876
2024-02-21,0.883,0.883,0.883
2024-02-22,0.894,0.894,0.894
2024-02-23,0.904,0.904,0.904
2024-02-26,0.906,0.906,0.906
2024-02-27,0.924,0.924,0.924
2024-02-28,0.899,0.899,0.899
2024-02-29,0.926,0.926,0.926
2024-03-01,0.936,0.936,0.936
2024-03-04,0.938,0.938,0.938
2024-03-05,0.933,0.933,0.933
2024-03-06,0.933,0.933,0.933
2024-03-07,0.923,0.923,0.923
2024-03-08,0.934,0.934,0.934
2024-03-11,0.945,0.945,0.945
2024-03-12,0.948,0.948,0.948
2024-03-13,0.949,0.949,0.949
2024-03-14,0.944,0.944,0.944
2024-03-15,0.952,0.952,0.952
2024-03-18,0.966,0.966,0.966
2024-03-19,0.96,0.96,0.96
2024-03-20,0.966,0.966,0.966
2024-03-21,0.966,0.966,0.966
2024-03-22,0.954,0.954,0.954
2024-03-25,0.939,0.939,0.939
2024-03-26,0.937,0.937,0.937
2024-03-27,0.914,0.914,0.914
2024-03-28,0.928,0.928,0.928
2024-03-29,0.939,0.939,0.939
2024-04-01,0.958,0.958,0.958
2024-04-02,0.954,0.954,0.954
2024-04-03,0.952,0.952,0.952
2024-04-08,0.938,0.938,0.938
2024-04-09,0.944,0.944,0.944
2024-04-10,0.93,0.93,0.93
2024-04-11,0.936,0.936,0.936
2024-04-12,0.932,0.932,0.932
2024-04-15,0.934,0.934,0.934
2024-04-16,0.906,0.906,0.906
2024-04-17,0.937,0.937,0.937
2024-04-18,0.938,0.938,0.938
2024-04-19,0.933,0.933,0.933
2024-04-22,0.926,0.926,0.926
2024-04-23,0.921,0.921,0.921
2024-04-24,0.934,0.934,0.934
2024-04-25,0.937,0.937,0.937
2024-04-26,0.95,0.95,0.95
2024-04-29,0.97,0.97,0.97
2024-04-30,0.964,0.964,0.964
2024-05-06,0.981,0.981,0.981
2024-05-07,0.984,0.984,0.984
2024-05-08,0.974,0.974,0.974
2024-05-09,0.988,0.988,0.988
2024-05-10,0.983,0.983,0.983
2024-05-13,0.977,0.977,0.977
2024-05-14,0.98,0.98,0.98
2024-05-15,0.972,0.972,0.972
2024-05-16,0.971,0.971,0.971
2024-05-17,0.98,0.98,0.98
2024-05-20,0.984,0.984,0.984
2024-05-21,0.978,0.978,0.978
2024-05-22,0.978,0.978,0.978
2024-05-23,0.96,0.96,0.96
2024-05-24,0.9539,0.9539,0.9539
2024-05-27,0.965,0.965,0.965
2024-05-28,0.9569,0.9569,0.9569
2024-05-29,0.9583,0.9583,0.9583
2024-05-30,0.9564,0.9564,0.9564
2024-05-31,0.9589,0.9589,0.9589
2024-06-03,0.9516,0.9516,0.9516
2024-06-04,0.9579,0.9579,0.9579
2024-06-05,0.9471,0.9471,0.9471
2024-06-06,0.9388,0.9388,0.9388
2024-06-07,0.9422,0.9422,0.9422
2024-06-11,0.9407,0.9407,0.9407
2024-06-12,0.9474,0.9474,0.9474
2024-06-13,0.94,0.94,0.94
2024-06-14,0.943,0.943,0.943
2024-06-17,0.9392,0.9392,0.9392
2024-06-18,0.9472,0.9472,0.9472
2024-06-19,0.9408,0.9408,0.9408
2024-06-20,0.925,0.925,0.925
2024-06-21,0.9263,0.9263,0.9263
2024-06-24,0.9057,0.9057,0.9057
2024-06-25,0.9026,0.9026,0.9026
2024-06-26,0.9196,0.9196,0.9196
2024-06-27,0.9046,0.9046,0.9046
2024-06-28,0.9134,0.9134,0.9134
2024-07-01,0.9243,0.9243,0.9243
2024-07-02,0.9189,0.9189,0.9189
2024-07-03,0.9112,0.9112,0.9112
2024-07-04,0.8968,0.8968,0.8968
2024-07-05,0.9009,0.9009,0.9009
2024-07-08,0.887,0.887,0.887
2024-07-09,0.9018,0.9018,0.9018
2024-07-10,0.896,0.896,0.896
2024-07-11,0.9149,0.9149,0.9149
2024-07-12,0.9127,0.9127,0.9127
2024-07-15,0.9064,0.9064,0.9064
2024-07-16,0.9083,0.9083,0.9083
2024-07-17,0.9011,0.9011,0.9011
2024-07-18,0.9042,0.9042,0.9042
2024-07-19,0.9074,0.9074,0.9074
2024-07-22,0.9063,0.9063,0.9063
2024-07-23,0.8841,0.8841,0.8841
2024-07-24,0.8756,0.8756,0.8756
2024-07-25,0.8741,0.8741,0.8741
2024-07-26,0.8855,0.8855,0.8855
2024-07-29,0.8865,0.8865,0.8865
2024-07-30,0.8863,0.8863,0.8863
2024-07-31,0.9148,0.9148,0.9148
2024-08-01,0.9138,0.9138,0.9138
2024-08-02,0.9025,0.9025,0.9025
2024-08-05,0.8826,0.8826,0.8826
2024-08-06,0.8921,0.8921,0.8921
2024-08-07,0.8937,0.8937,0.8937
