date,nav_unit,nav_accumulated,nav_adjusted
2021-02-05,1.0,1.0,1.0
2021-02-10,1.0,1.0,1.0
2021-02-19,1.0,1.0,1.0
2021-02-26,0.995,0.995,0.995
2021-03-05,1.0,1.0,1.0
2021-03-12,1.009,1.009,1.009
2021-03-19,1.0,1.0,1.0
2021-03-26,0.985,0.985,0.985
2021-04-02,0.991,0.991,0.991
2021-04-09,0.987,0.987,0.987
2021-04-16,1.008,1.008,1.008
2021-04-23,1.038,1.038,1.038
2021-04-30,1.075,1.075,1.075
2021-05-07,1.065,1.065,1.065
2021-05-14,1.091,1.091,1.091
2021-05-21,1.084,1.084,1.084
2021-05-28,1.092,1.092,1.092
2021-06-04,1.092,1.092,1.092
2021-06-11,1.059,1.059,1.059
2021-06-18,1.088,1.088,1.088
2021-06-25,1.11,1.11,1.11
2021-07-02,1.111,1.111,1.111
2021-07-09,1.157,1.157,1.157
2021-07-16,1.217,1.217,1.217
2021-07-23,1.273,1.273,1.273
2021-07-30,1.345,1.345,1.345
2021-08-06,1.338,1.338,1.338
2021-08-13,1.334,1.334,1.334
2021-08-20,1.305,1.305,1.305
2021-08-27,1.421,1.421,1.421
2021-09-03,1.332,1.332,1.332
2021-09-10,1.343,1.343,1.343
2021-09-17,1.275,1.275,1.275
2021-09-24,1.336,1.336,1.336
2021-09-30,1.255,1.255,1.255
2021-10-08,1.231,1.231,1.231
2021-10-15,1.244,1.244,1.244
2021-10-22,1.286,1.286,1.286
2021-10-29,1.333,1.333,1.333
2021-11-05,1.321,1.321,1.321
2021-11-12,1.45,1.45,1.45
2021-11-19,1.424,1.424,1.424
2021-11-26,1.422,1.422,1.422
2021-12-03,1.384,1.384,1.384
2021-12-10,1.37,1.37,1.37
2021-12-17,1.33,1.33,1.33
2021-12-24,1.344,1.344,1.344
2021-12-31,1.374,1.374,1.374
2022-01-07,1.26,1.26,1.26
2022-01-14,1.254,1.254,1.254
2022-01-21,1.261,1.261,1.261
2022-01-28,1.181,1.181,1.181
2022-02-11,1.184,1.184,1.184
2022-02-18,1.197,1.197,1.197
2022-02-25,1.195,1.195,1.195
2022-03-04,1.163,1.163,1.163
2022-03-11,1.132,1.132,1.132
2022-03-18,1.118,1.118,1.118
2022-03-25,1.114,1.114,1.114
2022-04-01,1.105,1.105,1.105
2022-04-08,1.064,1.064,1.064
2022-04-15,0.994,0.994,0.994
2022-04-22,0.972,0.972,0.972
2022-04-29,0.948,0.948,0.948
2022-05-06,0.941,0.941,0.941
2022-05-13,0.981,0.981,0.981
2022-05-20,1.007,1.007,1.007
2022-05-27,0.986,0.986,0.986
2022-06-02,1.014,1.014,1.014
2022-06-10,1.019,1.019,1.019
2022-06-17,1.049,1.049,1.049
2022-06-24,1.049,1.049,1.049
2022-07-01,1.08,1.08,1.08
2022-07-08,1.08,1.08,1.08
2022-07-15,1.069,1.069,1.069
2022-07-22,1.083,1.083,1.083
2022-07-29,1.143,1.143,1.143
2022-08-05,1.104,1.104,1.104
2022-08-12,1.139,1.139,1.139
2022-08-19,1.203,1.203,1.203
2022-08-26,1.102,1.102,1.102
2022-09-02,1.069,1.069,1.069
2022-09-09,1.129,1.129,1.129
2022-09-16,1.033,1.033,1.033
2022-09-23,1.039,1.039,1.039
2022-09-30,0.989,0.989,0.989
2022-10-14,0.936,0.936,0.936
2022-10-21,0.912,0.912,0.912
2022-10-28,0.913,0.913,0.913
2022-11-04,0.991,0.991,0.991
2022-11-11,0.986,0.986,0.986
2022-11-18,0.987,0.987,0.987
2022-11-25,0.979,0.979,0.979
2022-12-02,1.003,1.003,1.003
2022-12-09,0.975,0.975,0.975
2022-12-16,0.927,0.927,0.927
2022-12-23,0.85,0.85,0.85
2022-12-30,0.864,0.864,0.864
2023-01-06,0.922,0.922,0.922
2023-01-13,0.904,0.904,0.904
2023-01-20,0.938,0.938,0.938
2023-02-03,0.974,0.974,0.974
2023-02-10,0.952,0.952,0.952
2023-02-17,0.91,0.91,0.91
2023-02-24,0.931,0.931,0.931
2023-03-03,0.964,0.964,0.964
2023-03-10,0.946,0.946,0.946
2023-03-17,0.999,0.999,0.999
2023-03-24,1.065,1.065,1.065
2023-03-31,1.032,1.032,1.032
2023-04-07,1.103,1.103,1.103
2023-04-14,1.071,1.071,1.071
2023-04-21,1.069,1.069,1.069
2023-04-28,1.048,1.048,1.048
2023-05-05,1.058,1.058,1.058
2023-05-12,1.016,1.016,1.016
2023-05-19,0.998,0.998,0.998
2023-05-26,0.909,0.909,0.909
2023-06-02,0.954,0.954,0.954
2023-06-09,0.951,0.951,0.951
2023-06-16,1.041,1.041,1.041
2023-06-21,1.07,1.07,1.07
2023-06-30,1.0,1.0,1.0
2023-07-07,0.965,0.965,0.965
2023-07-14,0.956,0.956,0.956
2023-07-21,0.908,0.908,0.908
2023-07-28,0.882,0.882,0.882
2023-08-04,0.903,0.903,0.903
2023-08-11,0.861,0.861,0.861
2023-08-18,0.832,0.832,0.832
2023-08-25,0.799,0.799,0.799
2023-09-01,0.847,0.847,0.847
2023-09-08,0.816,0.816,0.816
2023-09-15,0.792,0.792,0.792
2023-09-22,0.769,0.769,0.769
2023-09-28,0.774,0.774,0.774
2023-10-13,0.783,0.783,0.783
2023-10-20,0.756,0.756,0.756
2023-10-27,0.778,0.778,0.778
2023-11-03,0.793,0.793,0.793
2023-11-10,0.82,0.82,0.82
2023-11-17,0.843,0.843,0.843
2023-11-24,0.821,0.821,0.821
2023-12-01,0.853,0.853,0.853
2023-12-08,0.822,0.822,0.822
2023-12-15,0.807,0.807,0.807
2023-12-22,0.771,0.771,0.771
2023-12-29,0.778,0.778,0.778
2024-01-05,0.753,0.753,0.753
2024-01-12,0.742,0.742,0.742
2024-01-19,0.728,0.728,0.728
2024-01-26,0.727,0.727,0.727
2024-02-02,0.72,0.72,0.72
2024-02-08,0.72,0.72,0.72
2024-02-23,0.721,0.721,0.721
2024-03-01,0.735,0.735,0.735
2024-03-08,0.754,0.754,0.754
2024-03-15,0.743,0.743,0.743
2024-03-22,0.758,0.758,0.758
2024-03-29,0.765,0.765,0.765
2024-04-03,0.759,0.759,0.759
2024-04-12,0.754,0.754,0.754
2024-04-19,0.723,0.723,0.723
2024-04-26,0.746,0.746,0.746
2024-04-30,0.729,0.729,0.729
2024-05-10,0.73,0.73,0.73
2024-05-17,0.742,0.742,0.742
2024-05-24,0.749,0.749,0.749
2024-05-31,0.743,0.743,0.743
2024-06-07,0.752,0.752,0.752
2024-06-14,0.765,0.765,0.765
2024-06-21,0.762,0.762,0.762
2024-06-28,0.749,0.749,0.749
2024-07-05,0.763,0.763,0.763
2024-07-12,0.762,0.762,0.762
2024-07-19,0.822,0.822,0.822
2024-07-26,0.796,0.796,0.796
2024-08-02,0.765,0.765,0.765
2024-08-09,0.754,0.754,0.754
2024-08-16,0.762,0.762,0.762
2024-08-23,0.769,0.769,0.769
2024-08-30,0.76,0.76,0.76
2024-09-06,0.723,0.723,0.723
2024-09-13,0.72,0.72,0.72
2024-09-20,0.722,0.722,0.722
2024-09-27,0.793,0.793,0.793
2024-09-30,0.861,0.861,0.861
2024-10-11,0.814,0.814,0.814
2024-10-18,0.896,0.896,0.896
2024-10-25,0.888,0.888,0.888
2024-11-01,0.866,0.866,0.866
2024-11-08,0.902,0.902,0.902
2024-11-15,0.881,0.881,0.881
2024-11-22,0.891,0.891,0.891
2024-11-29,0.952,0.952,0.952
2024-12-06,0.987,0.987,0.987
2024-12-13,0.981,0.981,0.981
2024-12-20,1.045,1.045,1.045
2024-12-27,1.026,1.026,1.026
2025-01-03,0.987,0.987,0.987
2025-01-10,1.05,1.05,1.05
2025-01-17,0.983,0.983,0.983
2025-01-24,1.037,1.037,1.037
2025-01-27,0.99,0.99,0.99
2025-02-07,1.037,1.037,1.037
2025-02-14,1.067,1.067,1.067
2025-02-21,1.205,1.205,1.205
2025-02-28,1.147,1.147,1.147
2025-03-07,1.196,1.196,1.196
2025-03-14,1.213,1.213,1.213
2025-03-21,1.092,1.092,1.092
2025-03-28,1.008,1.008,1.008
2025-04-03,0.998,0.998,0.998
2025-04-11,0.956,0.956,0.956
2025-04-18,0.981,0.981,0.981
