基金代码,基金名称,日期,单位净值,累计净值
S25534,易同精选2号,2015-02-02,1.0,1.0
S25534,易同精选2号,2015-02-03,1.0,1.0
S25534,易同精选2号,2015-02-04,1.0,1.0
S25534,易同精选2号,2015-02-05,1.0,1.0
S25534,易同精选2号,2015-02-06,0.991,0.991
S25534,易同精选2号,2015-02-09,0.991,0.991
S25534,易同精选2号,2015-02-10,0.991,0.991
S25534,易同精选2号,2015-02-11,0.991,0.991
S25534,易同精选2号,2015-02-12,0.991,0.991
S25534,易同精选2号,2015-02-13,0.999,0.999
S25534,易同精选2号,2015-02-16,0.999,0.999
S25534,易同精选2号,2015-02-17,1.01,1.01
S25534,易同精选2号,2015-02-25,1.01,1.01
S25534,易同精选2号,2015-02-26,1.01,1.01
S25534,易同精选2号,2015-02-27,1.011,1.011
S25534,易同精选2号,2015-03-02,1.011,1.011
S25534,易同精选2号,2015-03-03,1.011,1.011
S25534,易同精选2号,2015-03-04,1.011,1.011
S25534,易同精选2号,2015-03-05,1.011,1.011
S25534,易同精选2号,2015-03-06,1.021,1.021
S25534,易同精选2号,2015-03-09,1.021,1.021
S25534,易同精选2号,2015-03-10,1.021,1.021
S25534,易同精选2号,2015-03-11,1.021,1.021
S25534,易同精选2号,2015-03-12,1.021,1.021
S25534,易同精选2号,2015-03-13,1.042,1.042
S25534,易同精选2号,2015-03-16,1.042,1.042
S25534,易同精选2号,2015-03-17,1.042,1.042
S25534,易同精选2号,2015-03-18,1.042,1.042
S25534,易同精选2号,2015-03-19,1.042,1.042
S25534,易同精选2号,2015-03-20,1.106,1.106
S25534,易同精选2号,2015-03-23,1.106,1.106
S25534,易同精选2号,2015-03-24,1.106,1.106
S25534,易同精选2号,2015-03-25,1.106,1.106
S25534,易同精选2号,2015-03-26,1.106,1.106
S25534,易同精选2号,2015-03-27,1.144,1.144
S25534,易同精选2号,2015-03-30,1.144,1.144
S25534,易同精选2号,2015-03-31,1.142,1.142
S25534,易同精选2号,2015-04-01,1.142,1.142
S25534,易同精选2号,2015-04-02,1.142,1.142
S25534,易同精选2号,2015-04-03,1.217,1.217
S25534,易同精选2号,2015-04-07,1.217,1.217
S25534,易同精选2号,2015-04-08,1.217,1.217
S25534,易同精选2号,2015-04-09,1.217,1.217
S25534,易同精选2号,2015-04-10,1.336,1.336
S25534,易同精选2号,2015-04-13,1.336,1.336
S25534,易同精选2号,2015-04-14,1.336,1.336
S25534,易同精选2号,2015-04-15,1.336,1.336
S25534,易同精选2号,2015-04-16,1.336,1.336
S25534,易同精选2号,2015-04-17,1.372,1.372
S25534,易同精选2号,2015-04-20,1.372,1.372
S25534,易同精选2号,2015-04-21,1.372,1.372
S25534,易同精选2号,2015-04-22,1.372,1.472
S25534,易同精选2号,2015-04-23,1.222,1.322
