date,nav_unit,nav_accumulated,nav_adjusted
2015-02-06,0.991,0.991,0.991
2015-02-13,0.999,0.999,0.999
2015-02-17,1.01,1.01,1.01
2015-02-27,1.011,1.011,1.011
2015-03-06,1.021,1.021,1.021
2015-03-13,1.042,1.042,1.042
2015-03-20,1.106,1.106,1.106
2015-03-27,1.144,1.144,1.144
2015-04-03,1.217,1.217,1.217
2015-04-10,1.336,1.336,1.336
2015-04-17,1.372,1.372,1.372
2015-04-24,1.216,1.316,1.3046
2015-04-30,1.219,1.319,1.3078
2015-05-08,1.207,1.307,1.295
2015-05-15,1.258,1.358,1.3497
2015-05-22,1.386,1.486,1.487
2015-05-29,1.352,1.452,1.4505
2015-06-05,1.474,1.574,1.5814
2015-06-12,1.492,1.592,1.6007
2015-06-19,1.366,1.466,1.4656
2015-06-26,1.257,1.357,1.3486
2015-07-03,1.096,1.196,1.1759
2015-07-10,1.093,1.193,1.1727
2015-07-17,1.112,1.212,1.193
2015-07-24,1.167,1.267,1.2521
2015-07-31,1.071,1.171,1.1491
2015-08-07,1.126,1.226,1.2081
2015-08-14,1.287,1.387,1.3808
2015-08-21,1.156,1.256,1.2403
2015-08-28,1.1,1.2,1.1802
2015-09-02,1.03,1.13,1.1051
2015-09-11,1.104,1.204,1.1845
2015-09-18,1.061,1.161,1.1383
2015-09-25,1.071,1.171,1.1491
2015-09-30,1.067,1.167,1.1448
2015-10-09,1.143,1.243,1.2263
2015-10-16,1.225,1.325,1.3143
2015-10-23,1.212,1.312,1.3003
2015-10-30,1.236,1.336,1.3261
2015-11-06,1.298,1.398,1.3926
2015-11-13,1.315,1.415,1.4108
2015-11-20,1.383,1.483,1.4838
2015-11-27,1.314,1.414,1.4098
2015-12-04,1.324,1.424,1.4205
2015-12-11,1.312,1.412,1.4076
2015-12-18,1.343,1.443,1.4409
2015-12-25,1.35,1.45,1.4484
2015-12-31,1.356,1.456,1.4548
2016-01-08,1.315,1.415,1.4108
2016-01-15,1.269,1.369,1.3615
2016-01-22,1.273,1.373,1.3658
2016-01-29,1.252,1.352,1.3433
2016-02-05,1.271,1.371,1.3636
2016-02-19,1.294,1.394,1.3883
2016-02-26,1.264,1.364,1.3561
2016-03-04,1.248,1.348,1.339
2016-03-11,1.244,1.344,1.3347
2016-03-18,1.294,1.394,1.3883
2016-03-25,1.285,1.385,1.3787
2016-04-01,1.299,1.399,1.3937
2016-04-08,1.289,1.389,1.383
2016-04-15,1.325,1.425,1.4216
2016-04-22,1.293,1.393,1.3872
2016-04-29,1.307,1.407,1.4023
2016-05-06,1.301,1.401,1.3958
2016-05-13,1.284,1.384,1.3776
2016-05-20,1.277,1.377,1.3701
2016-05-27,1.281,1.381,1.3744
2016-06-03,1.322,1.422,1.4184
2016-06-08,1.316,1.416,1.4119
2016-06-17,1.298,1.398,1.3926
2016-06-24,1.301,1.401,1.3958
2016-07-01,1.316,1.416,1.4119
2016-07-08,1.316,1.416,1.4119
2016-07-15,1.333,1.433,1.4302
2016-07-22,1.324,1.424,1.4205
2016-07-29,1.324,1.424,1.4205
2016-08-05,1.313,1.413,1.4087
2016-08-12,1.307,1.407,1.4023
2016-08-19,1.312,1.412,1.4076
2016-08-26,1.334,1.434,1.4312
2016-09-02,1.318,1.418,1.4141
2016-09-09,1.343,1.443,1.4409
2016-09-14,1.311,1.411,1.4066
2016-09-23,1.363,1.463,1.4623
2016-09-30,1.366,1.466,1.4656
2016-10-14,1.388,1.488,1.4892
2016-10-21,1.384,1.484,1.4849
2016-10-28,1.402,1.502,1.5042
2016-11-04,1.388,1.488,1.4892
2016-11-11,1.4,1.5,1.502
2016-11-18,1.399,1.499,1.501
2016-11-25,1.435,1.535,1.5396
2016-12-02,1.433,1.533,1.5374
2016-12-09,1.422,1.522,1.5256
2016-12-16,1.386,1.486,1.487
2016-12-23,1.387,1.487,1.4881
2016-12-30,1.39,1.49,1.4913
2017-01-06,1.368,1.468,1.4677
2017-01-13,1.352,1.452,1.4505
2017-01-20,1.36,1.46,1.4591
2017-01-26,1.37,1.47,1.4699
2017-02-03,1.372,1.472,1.472
2017-02-10,1.381,1.481,1.4817
2017-02-17,1.348,1.448,1.4463
2017-02-24,1.384,1.484,1.4849
2017-03-03,1.369,1.469,1.4688
2017-03-10,1.379,1.479,1.4795
2017-03-17,1.381,1.481,1.4817
2017-03-24,1.418,1.518,1.5214
2017-03-31,1.418,1.518,1.5214
2017-04-07,1.433,1.533,1.5374
2017-04-14,1.424,1.524,1.5278
2017-04-21,1.442,1.542,1.5471
2017-04-28,1.438,1.538,1.5428
2017-05-05,1.417,1.517,1.5203
2017-05-12,1.419,1.519,1.5224
2017-05-19,1.446,1.546,1.5514
2017-05-26,1.43,1.53,1.5342
2017-06-02,1.417,1.517,1.5203
2017-06-09,1.476,1.576,1.5836
2017-06-16,1.478,1.578,1.5857
2017-06-23,1.467,1.567,1.5739
2017-06-30,1.49,1.59,1.5986
2017-07-07,1.502,1.602,1.6115
2017-07-14,1.475,1.575,1.5825
2017-07-21,1.462,1.562,1.5686
2017-07-28,1.457,1.557,1.5632
2017-08-04,1.443,1.543,1.5482
2017-08-11,1.439,1.539,1.5439
2017-08-18,1.448,1.548,1.5535
2017-08-25,1.469,1.569,1.5761
2017-09-01,1.454,1.554,1.56
2017-09-08,1.463,1.563,1.5696
2017-09-15,1.487,1.587,1.5954
2017-09-22,1.489,1.589,1.5975
2017-09-29,1.52,1.62,1.6308
2017-10-13,1.56,1.66,1.6737
2017-10-20,1.574,1.674,1.6887
2017-10-27,1.598,1.698,1.7145
2017-11-03,1.609,1.709,1.7263
2017-11-10,1.609,1.709,1.7263
2017-11-17,1.609,1.709,1.7263
2017-11-24,1.558,1.658,1.6716
2017-12-01,1.544,1.644,1.6565
2017-12-08,1.515,1.615,1.6254
2017-12-15,1.522,1.622,1.6329
2017-12-22,1.57,1.67,1.6844
2017-12-29,1.603,1.703,1.7198
2018-01-05,1.643,1.743,1.7628
2018-01-12,1.643,1.743,1.7628
2018-01-19,1.643,1.743,1.7628
2018-01-26,1.652,1.752,1.7724
2018-02-02,1.613,1.713,1.7306
2018-02-09,1.467,1.567,1.5739
2018-02-14,1.467,1.567,1.5739
2018-02-23,1.53,1.63,1.6415
2018-03-02,1.516,1.616,1.6265
2018-03-09,1.549,1.649,1.6619
2018-03-16,1.533,1.633,1.6447
2018-03-23,1.537,1.637,1.649
2018-03-30,1.525,1.625,1.6362
2018-04-04,1.531,1.631,1.6426
2018-04-13,1.507,1.607,1.6168
2018-04-20,1.482,1.582,1.59
2018-04-27,1.491,1.591,1.5997
2018-05-04,1.515,1.615,1.6254
2018-05-11,1.523,1.623,1.634
2018-05-18,1.533,1.633,1.6447
2018-05-25,1.53,1.63,1.6415
2018-06-01,1.544,1.644,1.6565
2018-06-08,1.567,1.667,1.6812
2018-06-15,1.585,1.685,1.7005
2018-06-22,1.555,1.655,1.6683
2018-06-29,1.473,1.573,1.5804
2018-07-06,1.42,1.52,1.5235
2018-07-13,1.464,1.564,1.5707
2018-07-20,1.43,1.53,1.5342
2018-07-27,1.417,1.517,1.5203
2018-08-03,1.328,1.428,1.4248
2018-08-10,1.346,1.446,1.4441
2018-08-17,1.293,1.393,1.3872
2018-08-24,1.294,1.394,1.3883
2018-08-31,1.307,1.407,1.4023
2018-09-07,1.292,1.392,1.3862
2018-09-14,1.28,1.38,1.3733
2018-09-21,1.343,1.443,1.4409
2018-09-28,1.334,1.434,1.4312
2018-10-12,1.258,1.358,1.3497
2018-10-19,1.225,1.325,1.3143
2018-10-26,1.231,1.331,1.3207
2018-11-02,1.306,1.406,1.4012
2018-11-09,1.254,1.354,1.3454
2018-11-16,1.292,1.392,1.3862
2018-11-23,1.248,1.348,1.339
2018-11-30,1.26,1.36,1.3518
2018-12-07,1.265,1.365,1.3572
2018-12-14,1.271,1.371,1.3636
2018-12-21,1.224,1.324,1.3132
2018-12-28,1.231,1.331,1.3207
2019-01-04,1.204,1.304,1.2918
2019-01-11,1.215,1.315,1.3036
2019-01-18,1.225,1.325,1.3143
2019-01-25,1.244,1.344,1.3347
2019-02-01,1.264,1.364,1.3561
2019-02-15,1.261,1.361,1.3529
2019-02-22,1.306,1.406,1.4012
2019-03-01,1.355,1.455,1.4538
2019-03-08,1.317,1.417,1.413
2019-03-15,1.354,1.454,1.4527
2019-03-22,1.359,1.459,1.4581
2019-03-29,1.363,1.463,1.4623
2019-04-04,1.409,1.509,1.5117
2019-04-12,1.391,1.491,1.4924
2019-04-19,1.438,1.538,1.5428
2019-04-26,1.381,1.481,1.4817
2019-04-30,1.399,1.499,1.501
2019-05-10,1.349,1.449,1.4473
2019-05-17,1.321,1.421,1.4173
2019-05-24,1.302,1.402,1.3969
2019-05-31,1.322,1.422,1.4184
2019-06-06,1.296,1.396,1.3905
2019-06-14,1.315,1.415,1.4108
2019-06-21,1.38,1.48,1.4806
2019-06-28,1.389,1.489,1.4902
2019-07-05,1.425,1.525,1.5289
2019-07-12,1.408,1.508,1.5106
2019-07-19,1.411,1.511,1.5138
2019-07-26,1.439,1.539,1.5439
2019-08-02,1.407,1.507,1.5096
2019-08-09,1.357,1.457,1.4559
2019-08-16,1.37,1.47,1.4699
2019-08-23,1.39,1.49,1.4913
2019-08-30,1.399,1.499,1.501
2019-09-06,1.422,1.522,1.5256
2019-09-12,1.427,1.527,1.531
2019-09-20,1.422,1.522,1.5256
2019-09-27,1.371,1.471,1.4709
2019-09-30,1.373,1.473,1.4731
2019-10-11,1.375,1.475,1.4752
2019-10-18,1.373,1.473,1.4731
2019-10-25,1.382,1.482,1.4827
2019-11-01,1.394,1.494,1.4956
2019-11-08,1.405,1.505,1.5074
2019-11-15,1.382,1.482,1.4827
2019-11-22,1.403,1.503,1.5053
2019-11-29,1.388,1.488,1.4892
2019-12-06,1.447,1.547,1.5525
2019-12-13,1.489,1.589,1.5975
2019-12-20,1.547,1.647,1.6598
2019-12-27,1.59,1.69,1.7059
2020-01-03,1.619,1.719,1.737
2020-01-10,1.657,1.757,1.7778
2020-01-17,1.708,1.808,1.8325
2020-02-07,1.801,1.901,1.9323
2020-02-14,1.837,1.937,1.9709
2020-02-21,1.885,1.985,2.0224
2020-02-28,1.773,1.873,1.9022
2020-03-06,1.823,1.923,1.9559
2020-03-13,1.754,1.854,1.8818
2020-03-20,1.696,1.796,1.8196
2020-03-27,1.735,1.835,1.8615
2020-04-03,1.728,1.828,1.8539
2020-04-10,1.725,1.825,1.8507
2020-04-17,1.73,1.83,1.8561
2020-04-24,1.768,1.868,1.8969
2020-04-30,1.755,1.855,1.8829
2020-05-08,1.759,1.859,1.8872
2020-05-15,1.732,1.832,1.8582
2020-05-22,1.707,1.807,1.8314
2020-05-29,1.698,1.798,1.8218
2020-06-05,1.679,1.779,1.8014
2020-06-12,1.696,1.796,1.8196
2020-06-19,1.64,1.74,1.7595
2020-06-24,1.679,1.779,1.8014
2020-07-03,1.701,1.801,1.825
2020-07-10,1.915,2.015,2.0546
2020-07-17,1.803,1.903,1.9344
2020-07-24,1.828,1.928,1.9612
2020-07-31,1.872,1.972,2.0084
2020-08-07,1.849,1.949,1.9838
2020-08-14,1.754,1.854,1.8818
2020-08-21,1.75,1.85,1.8776
2020-08-31,1.815,1.915,1.9473
2020-09-04,1.831,1.931,1.9645
2020-09-11,1.781,1.881,1.9108
2020-09-18,1.805,1.905,1.9366
2020-09-25,1.684,1.784,1.8067
2020-09-30,1.701,1.801,1.825
2020-10-09,1.726,1.826,1.8518
2020-10-16,1.798,1.898,1.929
2020-10-23,1.738,1.838,1.8647
2020-10-30,1.71,1.81,1.8346
2020-11-06,1.795,1.895,1.9258
2020-11-13,1.783,1.883,1.913
2020-11-20,1.888,1.988,2.0256
2020-11-30,1.813,1.913,1.9451
2020-12-04,1.868,1.968,2.0042
2020-12-11,1.868,1.968,2.0042
2020-12-18,1.923,2.023,2.0632
2020-12-25,1.971,2.071,2.1147
2020-12-31,1.998,2.098,2.1436
2021-01-08,2.057,2.157,2.2069
2021-01-15,2.034,2.134,2.1823
2021-01-22,2.157,2.257,2.3142
2021-01-29,1.956,2.056,2.0986
2021-02-05,1.977,2.077,2.1211
2021-02-10,2.134,2.234,2.2895
2021-02-19,2.135,2.235,2.2906
2021-02-26,1.998,2.098,2.1436
2021-03-05,1.993,2.093,2.1383
2021-03-12,1.94,2.04,2.0814
2021-03-19,1.952,2.052,2.0943
2021-03-26,1.926,2.026,2.0664
2021-04-02,1.993,2.093,2.1383
2021-04-09,2.004,2.104,2.1501
2021-04-16,1.99,2.09,2.135
2021-04-23,2.078,2.178,2.2295
2021-04-30,2.035,2.135,2.1833
2021-05-07,2.017,2.117,2.164
2021-05-14,2.014,2.114,2.1608
2021-05-21,2.022,2.122,2.1694
2021-05-28,2.119,2.219,2.2734
2021-06-04,2.049,2.149,2.1983
2021-06-11,2.006,2.106,2.1522
2021-06-18,2.069,2.169,2.2198
2021-06-25,2.123,2.223,2.2777
2021-07-02,2.143,2.243,2.2992
2021-07-09,2.159,2.259,2.3164
2021-07-16,2.177,2.277,2.3357
2021-07-23,2.184,2.284,2.3432
2021-07-30,2.189,2.289,2.3485
2021-08-06,2.198,2.298,2.3582
2021-08-13,2.208,2.308,2.3689
2021-08-20,2.165,2.265,2.3228
2021-08-27,2.226,2.326,2.3882
2021-09-03,2.205,2.305,2.3657
2021-09-10,2.238,2.338,2.4011
2021-09-17,2.145,2.245,2.3013
2021-09-24,2.113,2.213,2.267
2021-09-30,2.065,2.165,2.2155
2021-10-08,2.035,2.135,2.1833
2021-10-15,2.061,2.161,2.2112
2021-10-22,2.057,2.157,2.2069
2021-10-29,2.07,2.17,2.2209
2021-11-05,2.101,2.201,2.2541
2021-11-12,2.128,2.228,2.2831
2021-11-19,2.181,2.281,2.34
2021-11-26,2.228,2.328,2.3904
2021-12-03,2.282,2.382,2.4483
2021-12-10,2.306,2.406,2.4741
2021-12-17,2.305,2.405,2.473
2021-12-24,2.361,2.461,2.5331
2021-12-31,2.332,2.432,2.502
2022-01-07,2.255,2.355,2.4194
2022-01-14,2.219,2.319,2.3807
2022-01-21,2.189,2.289,2.3485
2022-01-28,2.061,2.161,2.2112
2022-02-11,2.086,2.186,2.238
2022-02-18,2.047,2.147,2.1962
2022-02-25,1.982,2.082,2.1265
2022-03-04,1.978,2.078,2.1222
2022-03-11,1.925,2.025,2.0653
2022-03-18,1.874,1.974,2.0106
2022-03-25,1.908,2.008,2.0471
2022-04-01,1.947,2.047,2.0889
2022-04-08,1.951,2.051,2.0932
2022-04-15,1.935,2.035,2.076
2022-04-22,1.937,2.037,2.0782
2022-04-29,2.022,2.122,2.1694
2022-05-06,1.976,2.076,2.12
2022-05-13,1.963,2.063,2.1061
2022-05-20,1.988,2.088,2.1329
2022-05-27,1.991,2.091,2.1361
2022-06-02,2.012,2.112,2.1586
2022-06-10,2.068,2.168,2.2187
2022-06-17,2.033,2.133,2.1812
2022-06-24,2.035,2.135,2.1833
2022-07-01,2.098,2.198,2.2509
2022-07-08,2.105,2.205,2.2584
2022-07-15,2.028,2.128,2.1758
2022-07-22,2.019,2.119,2.1662
2022-07-29,1.993,2.093,2.1383
2022-08-05,1.988,2.088,2.1329
2022-08-12,2.033,2.133,2.1812
2022-08-19,2.051,2.151,2.2005
2022-08-26,2.065,2.165,2.2155
2022-09-02,2.027,2.127,2.1747
2022-09-09,2.07,2.17,2.2209
2022-09-16,1.971,2.071,2.1147
2022-09-23,1.928,2.028,2.0685
2022-09-30,1.913,2.013,2.0524
2022-10-14,1.979,2.079,2.1232
2022-10-21,1.98,2.08,2.1243
2022-10-28,1.861,1.961,1.9966
2022-11-04,1.935,2.035,2.076
2022-11-11,1.96,2.06,2.1029
2022-11-18,1.964,2.064,2.1071
2022-11-25,1.922,2.022,2.0621
2022-12-02,1.967,2.067,2.1104
2022-12-09,2.029,2.129,2.1769
2022-12-16,2.022,2.122,2.1694
2022-12-23,1.93,2.03,2.0707
2022-12-30,1.989,2.089,2.134
2023-01-06,2.08,2.18,2.2316
2023-01-13,2.12,2.22,2.2745
2023-01-20,2.151,2.251,2.3078
2023-02-03,2.197,2.297,2.3571
2023-02-10,2.172,2.272,2.3303
2023-02-17,2.14,2.24,2.296
2023-02-24,2.156,2.256,2.3131
2023-03-03,2.203,2.303,2.3636
2023-03-10,2.176,2.276,2.3346
2023-03-17,2.199,2.299,2.3593
2023-03-24,2.139,2.239,2.2949
2023-03-31,2.104,2.204,2.2574
2023-04-07,2.157,2.257,2.3142
2023-04-14,2.118,2.218,2.2724
2023-04-21,2.166,2.266,2.3239
2023-04-28,2.151,2.251,2.3078
2023-05-05,2.113,2.213,2.267
2023-05-12,2.06,2.16,2.2101
2023-05-19,2.096,2.196,2.2488
2023-05-26,2.066,2.166,2.2166
2023-06-02,2.094,2.194,2.2466
2023-06-09,2.137,2.237,2.2928
2023-06-16,2.157,2.257,2.3142
2023-06-21,2.148,2.248,2.3046
2023-06-30,2.165,2.265,2.3228
2023-07-07,2.097,2.197,2.2498
2023-07-14,2.116,2.216,2.2702
2023-07-21,2.061,2.161,2.2112
2023-07-28,2.107,2.207,2.2606
2023-08-04,2.131,2.231,2.2863
2023-08-11,2.067,2.167,2.2177
2023-08-18,2.021,2.121,2.1683
2023-08-25,2.003,2.103,2.149
2023-09-01,2.025,2.125,2.1726
2023-09-08,1.992,2.092,2.1372
2023-09-15,2.006,2.106,2.1522
2023-09-22,2.032,2.132,2.1801
2023-09-28,2.0,2.1,2.1458
2023-10-13,1.951,2.051,2.0932
2023-10-20,1.878,1.978,2.0149
