date,nav_unit,nav_accumulated,nav_adjusted
2024-06-28,1.0,1.0,1.0
2024-07-05,0.9999,0.9999,0.9999
2024-07-12,0.9998,0.9998,0.9998
2024-07-19,0.9997,0.9997,0.9997
2024-07-26,1.0004,1.0004,1.0004
2024-08-02,1.0059,1.0059,1.0059
2024-08-09,1.0059,1.0059,1.0059
2024-08-16,1.0189,1.0189,1.0189
2024-08-23,1.0076,1.0076,1.0076
2024-08-30,1.0143,1.0143,1.0143
2024-09-06,1.0195,1.0195,1.0195
2024-09-13,1.0086,1.0086,1.0086
2024-09-20,1.0159,1.0159,1.0159
2024-09-27,1.0065,1.0065,1.0065
2024-09-30,0.9969,0.9969,0.9969
2024-10-11,1.0204,1.0204,1.0204
2024-10-18,1.0097,1.0097,1.0097
2024-10-25,1.0264,1.0264,1.0264
2024-11-01,1.0263,1.0263,1.0263
2024-11-08,1.0313,1.0313,1.0313
2024-11-15,1.0337,1.0337,1.0337
2024-11-22,1.0345,1.0345,1.0345
2024-11-29,1.0276,1.0276,1.0276
2024-12-06,1.0327,1.0327,1.0327
2024-12-13,1.0261,1.0261,1.0261
2024-12-20,1.0218,1.0218,1.0218
2024-12-27,1.0273,1.0273,1.0273
2025-01-03,1.0226,1.0226,1.0226
2025-01-10,1.0017,1.0017,1.0017
2025-01-17,1.0201,1.0201,1.0201
2025-01-24,1.0155,1.0155,1.0155
2025-01-27,1.012,1.012,1.012
2025-02-07,1.0417,1.0417,1.0417
2025-02-14,1.0418,1.0418,1.0418
2025-02-21,1.0536,1.0536,1.0536
2025-02-28,1.0505,1.0505,1.0505
2025-03-07,1.0684,1.0684,1.0684
2025-03-14,1.0846,1.0846,1.0846
2025-03-21,1.0904,1.0904,1.0904
2025-03-31,1.0865,1.0865,1.0865
