date,nav_unit,nav_accumulated,nav_adjusted
2024-05-10,0.9999,0.9999,0.9999
2024-05-17,0.9998,0.9998,0.9998
2024-05-24,0.9997,0.9997,0.9997
2024-05-31,0.9994,0.9994,0.9994
2024-06-07,0.9976,0.9976,0.9976
2024-06-14,0.997,0.997,0.997
2024-06-21,1.0028,1.0028,1.0028
2024-06-28,1.0146,1.0146,1.0146
2024-07-05,1.0166,1.0166,1.0166
2024-07-12,1.0197,1.0197,1.0197
2024-07-19,1.0174,1.0174,1.0174
2024-07-26,1.0201,1.0201,1.0201
2024-08-02,1.0198,1.0198,1.0198
2024-08-09,1.0169,1.0169,1.0169
2024-08-16,1.0246,1.0246,1.0246
2024-08-23,1.0251,1.0251,1.0251
2024-08-30,1.0167,1.0167,1.0167
2024-09-06,1.0193,1.0193,1.0193
2024-09-13,1.0181,1.0181,1.0181
2024-09-20,1.0174,1.0174,1.0174
2024-09-27,0.9807,0.9807,0.9807
2024-09-30,0.9742,0.9742,0.9742
2024-10-11,0.9898,0.9898,0.9898
2024-10-18,0.9734,0.9734,0.9734
2024-10-25,0.9838,0.9838,0.9838
2024-11-01,0.9779,0.9779,0.9779
2024-11-08,0.9811,0.9811,0.9811
2024-11-15,0.9866,0.9866,0.9866
2024-11-22,0.9925,0.9925,0.9925
2024-11-29,1.0049,1.0049,1.0049
2024-12-06,1.0134,1.0134,1.0134
2024-12-13,1.0121,1.0121,1.0121
2024-12-20,1.0135,1.0135,1.0135
2024-12-27,0.9969,0.9969,0.9969
2025-01-03,0.9924,0.9924,0.9924
2025-01-10,0.9894,0.9894,0.9894
2025-01-17,0.998,0.998,0.998
2025-01-24,0.9931,0.9931,0.9931
2025-01-27,0.9938,0.9938,0.9938
2025-02-07,1.0022,1.0022,1.0022
2025-02-14,1.0035,1.0035,1.0035
2025-02-21,1.0182,1.0182,1.0182
2025-02-28,1.0128,1.0128,1.0128
2025-03-07,1.0272,1.0272,1.0272
2025-03-14,1.0278,1.0278,1.0278
2025-03-21,1.0371,1.0371,1.0371
2025-03-28,1.0228,1.0228,1.0228
2025-04-03,1.0201,1.0201,1.0201
2025-04-11,0.9961,0.9961,0.9961
2025-04-18,1.0021,1.0021,1.0021
2025-04-25,1.0038,1.0038,1.0038
