基金代码,基金名称,日期,单位净值,累计净值
SAGF01,乾象中证1000指数增强35号1期,2024-04-01,1.0,1.0
SAGF01,乾象中证1000指数增强35号1期,2024-04-02,1.0001,1.0001
SAGF01,乾象中证1000指数增强35号1期,2024-04-03,1.0001,1.0001
SAGF01,乾象中证1000指数增强35号1期,2024-04-09,1.0,1.0
SAGF01,乾象中证1000指数增强35号1期,2024-04-12,1.0,1.0
SAGF01,乾象中证1000指数增强35号1期,2024-04-16,0.9999,0.9999
SAGF01,乾象中证1000指数增强35号1期,2024-04-19,0.9998,0.9998
SAGF01,乾象中证1000指数增强35号1期,2024-04-23,0.9998,0.9998
SAGF01,乾象中证1000指数增强35号1期,2024-04-26,0.9997,0.9997
SAGF01,乾象中证1000指数增强35号1期,2024-04-30,0.9992,0.9992
SAGF01,乾象中证1000指数增强35号1期,2024-05-07,1.018,1.018
SAGF01,乾象中证1000指数增强35号1期,2024-05-10,1.0154,1.0154
SAGF01,乾象中证1000指数增强35号1期,2024-05-14,1.0139,1.0139
SAGF01,乾象中证1000指数增强35号1期,2024-05-17,1.0176,1.0176
SAGF01,乾象中证1000指数增强35号1期,2024-05-21,1.0176,1.0176
SAGF01,乾象中证1000指数增强35号1期,2024-05-24,0.9995,0.9995
SAGF01,乾象中证1000指数增强35号1期,2024-05-28,1.0045,1.0045
SAGF01,乾象中证1000指数增强35号1期,2024-05-31,1.0015,1.0015
SAGF01,乾象中证1000指数增强35号1期,2024-06-04,1.001,1.001
SAGF01,乾象中证1000指数增强35号1期,2024-06-07,0.9837,0.9837
SAGF01,乾象中证1000指数增强35号1期,2024-06-11,0.9815,0.9815
SAGF01,乾象中证1000指数增强35号1期,2024-06-14,0.9857,0.9857
SAGF01,乾象中证1000指数增强35号1期,2024-06-18,0.9916,0.9916
SAGF01,乾象中证1000指数增强35号1期,2024-06-21,0.9696,0.9696
SAGF01,乾象中证1000指数增强35号1期,2024-06-25,0.9451,0.9451
SAGF01,乾象中证1000指数增强35号1期,2024-06-28,0.9566,0.9566
SAGF01,乾象中证1000指数增强35号1期,2024-07-02,0.96,0.96
SAGF01,乾象中证1000指数增强35号1期,2024-07-05,0.9454,0.9454
SAGF01,乾象中证1000指数增强35号1期,2024-07-09,0.9468,0.9468
SAGF01,乾象中证1000指数增强35号1期,2024-07-12,0.962,0.962
SAGF01,乾象中证1000指数增强35号1期,2024-07-16,0.9545,0.9545
SAGF01,乾象中证1000指数增强35号1期,2024-07-19,0.946,0.946
SAGF01,乾象中证1000指数增强35号1期,2024-07-23,0.923,0.923
SAGF01,乾象中证1000指数增强35号1期,2024-07-26,0.9249,0.9249
SAGF01,乾象中证1000指数增强35号1期,2024-07-30,0.9249,0.9249
SAGF01,乾象中证1000指数增强35号1期,2024-07-31,0.9513,0.9513
SAGF01,乾象中证1000指数增强35号1期,2024-08-02,0.9415,0.9415
SAGF01,乾象中证1000指数增强35号1期,2024-08-06,0.9317,0.9317
SAGF01,乾象中证1000指数增强35号1期,2024-08-09,0.9269,0.9269
SAGF01,乾象中证1000指数增强35号1期,2024-08-13,0.9283,0.9283
SAGF01,乾象中证1000指数增强35号1期,2024-08-16,0.9272,0.9272
SAGF01,乾象中证1000指数增强35号1期,2024-08-20,0.9167,0.9167
SAGF01,乾象中证1000指数增强35号1期,2024-08-23,0.9043,0.9043
SAGF01,乾象中证1000指数增强35号1期,2024-08-27,0.8988,0.8988
SAGF01,乾象中证1000指数增强35号1期,2024-08-30,0.9151,0.9151
SAGF01,乾象中证1000指数增强35号1期,2024-09-03,0.9051,0.9051
SAGF01,乾象中证1000指数增强35号1期,2024-09-06,0.8935,0.8935
SAGF01,乾象中证1000指数增强35号1期,2024-09-10,0.8896,0.8896
SAGF01,乾象中证1000指数增强35号1期,2024-09-13,0.8761,0.8761
