date,nav_unit,nav_accumulated,nav_adjusted
2024-04-03,1.0001,1.0001,1.0001
2024-04-12,1.0,1.0,1.0
2024-04-19,0.9998,0.9998,0.9998
2024-04-26,0.9997,0.9997,0.9997
2024-04-30,0.9992,0.9992,0.9992
2024-05-10,1.0154,1.0154,1.0154
2024-05-17,1.0176,1.0176,1.0176
2024-05-24,0.9995,0.9995,0.9995
2024-05-31,1.0015,1.0015,1.0015
2024-06-07,0.9837,0.9837,0.9837
2024-06-14,0.9857,0.9857,0.9857
2024-06-21,0.9696,0.9696,0.9696
2024-06-28,0.9566,0.9566,0.9566
2024-07-05,0.9454,0.9454,0.9454
2024-07-12,0.962,0.962,0.962
2024-07-19,0.946,0.946,0.946
2024-07-26,0.9249,0.9249,0.9249
2024-08-02,0.9415,0.9415,0.9415
2024-08-09,0.9269,0.9269,0.9269
2024-08-16,0.9272,0.9272,0.9272
2024-08-23,0.9043,0.9043,0.9043
2024-08-30,0.9151,0.9151,0.9151
2024-09-06,0.8935,0.8935,0.8935
2024-09-13,0.8761,0.8761,0.8761
2024-09-20,0.8905,0.8905,0.8905
2024-09-27,1.0115,1.0115,1.0115
2024-09-30,1.1013,1.1013,1.1013
2024-10-11,1.054,1.054,1.054
2024-10-18,1.0975,1.0975,1.0975
2024-10-25,1.1446,1.1446,1.1446
2024-11-01,1.1488,1.1488,1.1488
2024-11-08,1.2498,1.2498,1.2498
2024-11-15,1.2037,1.2037,1.2037
2024-11-22,1.1976,1.1976,1.1976
2024-11-29,1.2385,1.2385,1.2385
2024-12-06,1.2862,1.2862,1.2862
2024-12-13,1.2971,1.2971,1.2971
2024-12-20,1.2777,1.2777,1.2777
2024-12-27,1.2575,1.2575,1.2575
2025-01-03,1.1609,1.1609,1.1609
2025-01-10,1.1573,1.1573,1.1573
2025-01-17,1.2122,1.2122,1.2122
2025-01-24,1.2217,1.2217,1.2217
2025-01-27,1.2127,1.2127,1.2127
2025-02-07,1.2627,1.2627,1.2627
2025-02-14,1.292,1.292,1.292
2025-02-21,1.3219,1.3219,1.3219
2025-02-28,1.298,1.298,1.298
2025-03-07,1.3397,1.3397,1.3397
2025-03-14,1.3627,1.3627,1.3627
2025-03-21,1.3577,1.3577,1.3577
2025-03-28,1.3425,1.3425,1.3425
2025-04-03,1.3397,1.3397,1.3397
2025-04-11,1.2833,1.2833,1.2833
2025-04-18,1.2869,1.2869,1.2869
2025-04-25,1.3157,1.3157,1.3157
2025-04-30,1.3148,1.3148,1.3148
2025-05-09,1.3463,1.3463,1.3463
2025-05-16,1.3538,1.3538,1.3538
2025-05-23,1.3437,1.3437,1.3437
2025-05-30,1.3474,1.3474,1.3474
2025-06-06,1.3734,1.3734,1.3734
2025-06-13,1.373,1.373,1.373
2025-06-20,1.3621,1.3621,1.3621
