基金代码,基金名称,日期,单位净值,累计净值
SAGF97,黑翼中性策略18号1期,2024-04-30,1.0,1.0
SAGF97,黑翼中性策略18号1期,2024-05-10,1.0,1.0
SAGF97,黑翼中性策略18号1期,2024-05-17,1.009,1.009
SAGF97,黑翼中性策略18号1期,2024-05-24,1.009,1.009
SAGF97,黑翼中性策略18号1期,2024-05-31,1.013,1.013
SAGF97,黑翼中性策略18号1期,2024-06-07,1.005,1.005
SAGF97,黑翼中性策略18号1期,2024-06-14,1.003,1.003
SAGF97,黑翼中性策略18号1期,2024-06-21,1.004,1.004
SAGF97,黑翼中性策略18号1期,2024-06-28,1.009,1.009
SAGF97,黑翼中性策略18号1期,2024-07-05,1.013,1.013
SAGF97,黑翼中性策略18号1期,2024-07-12,1.008,1.008
SAGF97,黑翼中性策略18号1期,2024-07-19,1.007,1.007
SAGF97,黑翼中性策略18号1期,2024-07-26,1.012,1.012
SAGF97,黑翼中性策略18号1期,2024-08-02,1.002,1.002
SAGF97,黑翼中性策略18号1期,2024-08-09,1.007,1.007
SAGF97,黑翼中性策略18号1期,2024-08-16,1.012,1.012
SAGF97,黑翼中性策略18号1期,2024-08-23,1.011,1.011
SAGF97,黑翼中性策略18号1期,2024-08-30,1.003,1.003
SAGF97,黑翼中性策略18号1期,2024-09-06,1.006,1.006
SAGF97,黑翼中性策略18号1期,2024-09-13,1.006,1.006
SAGF97,黑翼中性策略18号1期,2024-09-20,1.01,1.01
SAGF97,黑翼中性策略18号1期,2024-09-27,0.972,0.972
SAGF97,黑翼中性策略18号1期,2024-09-30,0.966,0.966
SAGF97,黑翼中性策略18号1期,2024-10-11,0.979,0.979
SAGF97,黑翼中性策略18号1期,2024-10-18,0.97,0.97
SAGF97,黑翼中性策略18号1期,2024-10-25,0.986,0.986
SAGF97,黑翼中性策略18号1期,2024-11-01,0.996,0.996
SAGF97,黑翼中性策略18号1期,2024-11-08,0.992,0.992
SAGF97,黑翼中性策略18号1期,2024-11-15,0.99,0.99
SAGF97,黑翼中性策略18号1期,2024-11-22,1.004,1.004
SAGF97,黑翼中性策略18号1期,2024-11-29,1.015,1.015
SAGF97,黑翼中性策略18号1期,2024-12-06,1.029,1.029
SAGF97,黑翼中性策略18号1期,2024-12-13,1.043,1.043
SAGF97,黑翼中性策略18号1期,2024-12-20,1.038,1.038
SAGF97,黑翼中性策略18号1期,2024-12-27,1.029,1.029
SAGF97,黑翼中性策略18号1期,2024-12-31,1.029,1.029
SAGF97,黑翼中性策略18号1期,2025-01-03,1.028,1.028
SAGF97,黑翼中性策略18号1期,2025-01-10,1.034,1.034
SAGF97,黑翼中性策略18号1期,2025-01-17,1.041,1.041
SAGF97,黑翼中性策略18号1期,2025-01-24,1.041,1.041
SAGF97,黑翼中性策略18号1期,2025-01-27,1.042,1.042
SAGF97,黑翼中性策略18号1期,2025-02-07,1.05,1.05
SAGF97,黑翼中性策略18号1期,2025-02-14,1.062,1.062
SAGF97,黑翼中性策略18号1期,2025-02-21,1.069,1.069
SAGF97,黑翼中性策略18号1期,2025-02-28,1.072,1.072
SAGF97,黑翼中性策略18号1期,2025-03-07,1.083,1.083
SAGF97,黑翼中性策略18号1期,2025-03-14,1.082,1.082
SAGF97,黑翼中性策略18号1期,2025-03-21,1.085,1.085
