date,nav_unit,nav_accumulated,nav_adjusted
2024-04-30,1.0,1.0,1.0
2024-05-10,1.0,1.0,1.0
2024-05-17,1.009,1.009,1.009
2024-05-24,1.009,1.009,1.009
2024-05-31,1.013,1.013,1.013
2024-06-07,1.005,1.005,1.005
2024-06-14,1.003,1.003,1.003
2024-06-21,1.004,1.004,1.004
2024-06-28,1.009,1.009,1.009
2024-07-05,1.013,1.013,1.013
2024-07-12,1.008,1.008,1.008
2024-07-19,1.007,1.007,1.007
2024-07-26,1.012,1.012,1.012
2024-08-02,1.002,1.002,1.002
2024-08-09,1.007,1.007,1.007
2024-08-16,1.012,1.012,1.012
2024-08-23,1.011,1.011,1.011
2024-08-30,1.003,1.003,1.003
2024-09-06,1.006,1.006,1.006
2024-09-13,1.006,1.006,1.006
2024-09-20,1.01,1.01,1.01
2024-09-27,0.972,0.972,0.972
2024-09-30,0.966,0.966,0.966
2024-10-11,0.979,0.979,0.979
2024-10-18,0.97,0.97,0.97
2024-10-25,0.986,0.986,0.986
2024-11-01,0.996,0.996,0.996
2024-11-08,0.992,0.992,0.992
2024-11-15,0.99,0.99,0.99
2024-11-22,1.004,1.004,1.004
2024-11-29,1.015,1.015,1.015
2024-12-06,1.029,1.029,1.029
2024-12-13,1.043,1.043,1.043
2024-12-20,1.038,1.038,1.038
2024-12-27,1.029,1.029,1.029
2025-01-03,1.028,1.028,1.028
2025-01-10,1.034,1.034,1.034
2025-01-17,1.041,1.041,1.041
2025-01-24,1.041,1.041,1.041
2025-01-27,1.042,1.042,1.042
2025-02-07,1.05,1.05,1.05
2025-02-14,1.062,1.062,1.062
2025-02-21,1.069,1.069,1.069
2025-02-28,1.072,1.072,1.072
2025-03-07,1.083,1.083,1.083
2025-03-14,1.082,1.082,1.082
2025-03-21,1.085,1.085,1.085
2025-03-31,1.071,1.071,1.071
