date,nav_unit,nav_accumulated,nav_adjusted
2024-07-05,1.0001,1.0001,1.0001
2024-07-12,1.0001,1.0001,1.0001
2024-07-19,1.0,1.0,1.0
2024-07-26,1.0,1.0,1.0
2024-08-02,1.0,1.0,1.0
2024-08-09,0.9939,0.9939,0.9939
2024-08-16,0.9901,0.9901,0.9901
2024-08-23,0.9563,0.9563,0.9563
2024-08-30,0.9801,0.9801,0.9801
2024-09-06,0.9555,0.9555,0.9555
2024-09-13,0.937,0.937,0.937
2024-09-20,0.9522,0.9522,0.9522
2024-09-27,1.0829,1.0829,1.0829
2024-09-30,1.1873,1.1873,1.1873
2024-10-11,1.1186,1.1186,1.1186
2024-10-18,1.1702,1.1702,1.1702
2024-10-25,1.2155,1.2155,1.2155
2024-11-01,1.2058,1.2058,1.2058
2024-11-08,1.3038,1.3038,1.3038
2024-11-15,1.2676,1.2676,1.2676
2024-11-22,1.2591,1.2591,1.2591
2024-11-29,1.3021,1.3021,1.3021
2024-12-06,1.3573,1.3573,1.3573
2024-12-13,1.357,1.357,1.357
2024-12-20,1.3349,1.3349,1.3349
2024-12-27,1.3121,1.3121,1.3121
2025-01-03,1.1944,1.1944,1.1944
2025-01-10,1.1834,1.1834,1.1834
2025-01-17,1.2453,1.2453,1.2453
2025-01-24,1.2461,1.2461,1.2461
2025-01-27,1.2317,1.2317,1.2317
2025-02-07,1.2969,1.2969,1.2969
2025-02-14,1.3209,1.3209,1.3209
2025-02-21,1.3531,1.3531,1.3531
2025-02-28,1.3238,1.3238,1.3238
2025-03-07,1.3723,1.3723,1.3723
2025-03-14,1.4003,1.4003,1.4003
2025-03-18,1.412,1.412,1.412
2025-03-31,1.3615,1.3615,1.3615
