基金代码,基金名称,日期,单位净值,累计净值
SAJH67,聚鸣章玉价值成长3号A,2024-06-28,1.0001,1.0001
SAJH67,聚鸣章玉价值成长3号A,2024-07-05,1.0001,1.0001
SAJH67,聚鸣章玉价值成长3号A,2024-07-12,1.0002,1.0002
SAJH67,聚鸣章玉价值成长3号A,2024-07-15,0.9997,0.9997
SAJH67,聚鸣章玉价值成长3号A,2024-07-19,0.993,0.993
SAJH67,聚鸣章玉价值成长3号A,2024-07-26,0.9779,0.9779
SAJH67,聚鸣章玉价值成长3号A,2024-08-02,0.9665,0.9665
SAJH67,聚鸣章玉价值成长3号A,2024-08-09,0.9702,0.9702
SAJH67,聚鸣章玉价值成长3号A,2024-08-15,0.9862,0.9862
SAJH67,聚鸣章玉价值成长3号A,2024-08-16,0.9862,0.9862
SAJH67,聚鸣章玉价值成长3号A,2024-08-23,0.9761,0.9761
SAJH67,聚鸣章玉价值成长3号A,2024-08-30,0.972,0.972
SAJH67,聚鸣章玉价值成长3号A,2024-09-03,0.9622,0.9622
SAJH67,聚鸣章玉价值成长3号A,2024-09-06,0.95,0.95
SAJH67,聚鸣章玉价值成长3号A,2024-09-13,0.9579,0.9579
SAJH67,聚鸣章玉价值成长3号A,2024-09-18,0.9568,0.9568
SAJH67,聚鸣章玉价值成长3号A,2024-09-20,0.9617,0.9617
SAJH67,聚鸣章玉价值成长3号A,2024-09-27,1.0066,1.0066
SAJH67,聚鸣章玉价值成长3号A,2024-09-30,1.0386,1.0386
SAJH67,聚鸣章玉价值成长3号A,2024-10-11,1.0559,1.0559
SAJH67,聚鸣章玉价值成长3号A,2024-10-15,1.0506,1.0506
SAJH67,聚鸣章玉价值成长3号A,2024-10-18,1.0626,1.0626
SAJH67,聚鸣章玉价值成长3号A,2024-10-25,1.0586,1.0586
SAJH67,聚鸣章玉价值成长3号A,2024-11-01,1.0381,1.0381
SAJH67,聚鸣章玉价值成长3号A,2024-11-08,1.0744,1.0744
SAJH67,聚鸣章玉价值成长3号A,2024-11-15,1.0421,1.0421
SAJH67,聚鸣章玉价值成长3号A,2024-11-22,1.0398,1.0398
SAJH67,聚鸣章玉价值成长3号A,2024-11-29,1.0387,1.0387
SAJH67,聚鸣章玉价值成长3号A,2024-12-06,1.0535,1.0535
SAJH67,聚鸣章玉价值成长3号A,2024-12-13,1.0346,1.0346
SAJH67,聚鸣章玉价值成长3号A,2024-12-16,1.0269,1.0269
SAJH67,聚鸣章玉价值成长3号A,2024-12-20,1.0233,1.0233
SAJH67,聚鸣章玉价值成长3号A,2024-12-27,1.0144,1.0144
SAJH67,聚鸣章玉价值成长3号A,2025-01-03,1.0105,1.0105
SAJH67,聚鸣章玉价值成长3号A,2025-01-10,1.0012,1.0012
SAJH67,聚鸣章玉价值成长3号A,2025-01-15,1.0109,1.0109
SAJH67,聚鸣章玉价值成长3号A,2025-01-17,1.0238,1.0238
SAJH67,聚鸣章玉价值成长3号A,2025-01-24,1.0283,1.0283
SAJH67,聚鸣章玉价值成长3号A,2025-01-27,1.0214,1.0214
SAJH67,聚鸣章玉价值成长3号A,2025-02-07,1.0424,1.0424
SAJH67,聚鸣章玉价值成长3号A,2025-02-14,1.0499,1.0499
SAJH67,聚鸣章玉价值成长3号A,2025-02-17,1.0401,1.0401
SAJH67,聚鸣章玉价值成长3号A,2025-02-21,1.0436,1.0436
SAJH67,聚鸣章玉价值成长3号A,2025-02-28,0.9999,0.9999
SAJH67,聚鸣章玉价值成长3号A,2025-03-07,1.0042,1.0042
SAJH67,聚鸣章玉价值成长3号A,2025-03-14,0.9955,0.9955
SAJH67,聚鸣章玉价值成长3号A,2025-03-17,1.0017,1.0017
SAJH67,聚鸣章玉价值成长3号A,2025-03-21,0.9917,0.9917
