date,nav_unit,nav_accumulated,nav_adjusted
2024-07-05,1.0,1.0,1.0
2024-07-12,1.0001,1.0001,1.0001
2024-07-19,0.9929,0.9929,0.9929
2024-07-26,0.9778,0.9778,0.9778
2024-08-02,0.9664,0.9664,0.9664
2024-08-09,0.9701,0.9701,0.9701
2024-08-16,0.9861,0.9861,0.9861
2024-08-23,0.976,0.976,0.976
2024-08-30,0.9719,0.9719,0.9719
2024-09-06,0.9499,0.9499,0.9499
2024-09-13,0.9578,0.9578,0.9578
2024-09-20,0.9616,0.9616,0.9616
2024-09-27,1.0065,1.0065,1.0065
2024-09-30,1.0385,1.0385,1.0385
2024-10-11,1.0558,1.0558,1.0558
2024-10-18,1.0625,1.0625,1.0625
2024-10-25,1.0585,1.0585,1.0585
2024-11-01,1.038,1.038,1.038
2024-11-08,1.0743,1.0743,1.0743
2024-11-15,1.042,1.042,1.042
2024-11-22,1.0397,1.0397,1.0397
2024-11-29,1.0386,1.0386,1.0386
2024-12-06,1.0534,1.0534,1.0534
2024-12-13,1.0345,1.0345,1.0345
2024-12-20,1.0232,1.0232,1.0232
2024-12-27,1.0143,1.0143,1.0143
2025-01-03,1.0104,1.0104,1.0104
2025-01-10,1.0011,1.0011,1.0011
2025-01-17,1.0237,1.0237,1.0237
2025-01-24,1.0282,1.0282,1.0282
2025-01-27,1.0213,1.0213,1.0213
2025-02-07,1.0423,1.0423,1.0423
2025-02-14,1.0498,1.0498,1.0498
2025-02-21,1.0435,1.0435,1.0435
2025-02-28,0.9998,0.9998,0.9998
2025-03-07,1.0041,1.0041,1.0041
2025-03-14,0.9954,0.9954,0.9954
2025-03-21,0.9916,0.9916,0.9916
2025-03-28,0.9885,0.9885,0.9885
2025-04-03,0.9568,0.9568,0.9568
2025-04-11,0.8932,0.8932,0.8932
2025-04-18,0.8926,0.8926,0.8926
2025-04-25,0.9381,0.9381,0.9381
2025-04-30,0.9417,0.9417,0.9417
2025-05-09,0.9421,0.9421,0.9421
2025-05-16,0.9575,0.9575,0.9575
2025-05-23,0.9581,0.9581,0.9581
2025-05-30,0.9688,0.9688,0.9688
2025-06-06,1.0032,1.0032,1.0032
2025-06-13,1.0145,1.0145,1.0145
2025-06-20,0.9946,0.9946,0.9946
