date,nav_unit,nav_accumulated,nav_adjusted
2025-03-14,1.0,1.0,1.0
2025-03-21,0.9999,0.9999,0.9999
2025-03-28,0.9998,0.9998,0.9998
2025-04-03,0.9997,0.9997,0.9997
2025-04-11,0.9997,0.9997,0.9997
2025-04-18,0.9995,0.9995,0.9995
2025-04-25,0.9994,0.9994,0.9994
2025-04-30,0.9997,0.9997,0.9997
2025-05-09,1.0072,1.0072,1.0072
2025-05-16,1.0138,1.0138,1.0138
2025-05-23,1.0144,1.0144,1.0144
2025-05-30,1.0125,1.0125,1.0125
2025-06-06,1.0147,1.0147,1.0147
2025-06-13,1.0124,1.0124,1.0124
<<<<<<<< HEAD:nav_dfs/SATQ88_量派对冲56号2期_2025-03-13_2025-06-20.csv
2025-06-20,1.0087,1.0087,1.0087
========
>>>>>>>> f2448e32922449c4c62126a629bea034d3cb6ba8:nav_dfs/SATQ88_量派对冲56号2期_2025-03-13_2025-06-13.csv
