date,nav_unit,nav_accumulated,nav_adjusted
2023-09-08,1.0002,1.0002,1.0002
2023-09-15,1.0004,1.0004,1.0004
2023-09-22,0.9991,0.9991,0.9991
2023-09-28,0.9892,0.9892,0.9892
2023-10-13,0.9786,0.9786,0.9786
2023-10-20,0.936,0.936,0.936
2023-10-27,0.9546,0.9546,0.9546
2023-11-03,0.9685,0.9685,0.9685
2023-11-10,0.9572,0.9572,0.9572
2023-11-17,0.9591,0.9591,0.9591
2023-11-24,0.9557,0.9557,0.9557
2023-12-01,0.9314,0.9314,0.9314
2023-12-08,0.8879,0.8879,0.8879
2023-12-15,0.8954,0.8954,0.8954
2023-12-22,0.8756,0.8756,0.8756
2023-12-29,0.9135,0.9135,0.9135
2024-01-05,0.8945,0.8945,0.8945
2024-01-12,0.8821,0.8821,0.8821
2024-01-19,0.838,0.838,0.838
2024-01-26,0.8549,0.8549,0.8549
2024-02-02,0.8073,0.8073,0.8073
2024-02-08,0.8418,0.8418,0.8418
2024-02-23,0.8938,0.8938,0.8938
2024-03-01,0.8867,0.8867,0.8867
2024-03-08,0.9025,0.9025,0.9025
2024-03-15,0.9399,0.9399,0.9399
2024-03-22,0.9398,0.9398,0.9398
2024-03-29,0.9779,0.9779,0.9779
2024-04-03,1.0081,1.0081,1.0081
2024-04-12,1.0141,1.0141,1.0141
2024-04-19,1.0105,1.0105,1.0105
2024-04-26,1.0786,1.0786,1.0786
2024-04-30,1.0837,1.0837,1.0837
2024-05-10,1.1539,1.1539,1.1539
2024-05-17,1.1942,1.1942,1.1942
2024-05-24,1.1432,1.1432,1.1432
2024-05-31,1.1194,1.1194,1.1194
2024-06-07,1.1345,1.1345,1.1345
2024-06-14,1.1043,1.1043,1.1043
2024-06-21,1.0983,1.0983,1.0983
2024-06-28,1.0816,1.0816,1.0816
2024-07-05,1.0933,1.0933,1.0933
2024-07-12,1.1099,1.1099,1.1099
2024-07-19,1.0624,1.0624,1.0624
2024-07-26,1.0117,1.0117,1.0117
2024-08-02,1.0058,1.0058,1.0058
2024-08-09,1.0063,1.0063,1.0063
2024-08-16,1.0185,1.0185,1.0185
2024-08-23,1.0172,1.0172,1.0172
2024-08-30,1.0303,1.0303,1.0303
2024-09-06,0.9949,0.9949,0.9949
2024-09-13,0.9868,0.9868,0.9868
2024-09-20,1.0328,1.0328,1.0328
2024-09-27,1.2043,1.2043,1.2043
2024-09-30,1.2617,1.2617,1.2617
2024-10-11,1.2841,1.2841,1.2841
2024-10-18,1.2581,1.2581,1.2581
2024-10-25,1.2323,1.2323,1.2323
2024-11-01,1.2206,1.2206,1.2206
2024-11-08,1.2436,1.2436,1.2436
2024-11-15,1.1637,1.1637,1.1637
2024-11-22,1.1352,1.1352,1.1352
2024-11-29,1.1456,1.1456,1.1456
2024-12-06,1.1675,1.1675,1.1675
2024-12-13,1.1765,1.1765,1.1765
2024-12-20,1.0,1.1566,1.1566
2024-12-27,1.0065,1.1631,1.1641
2025-01-03,0.9865,1.1431,1.141
2025-01-10,0.9568,1.1134,1.1066
2025-01-17,0.9865,1.1431,1.141
2025-01-24,0.9887,1.1453,1.1435
2025-01-27,0.9932,1.1498,1.1487
2025-02-07,1.0294,1.186,1.1906
2025-02-14,1.0974,1.254,1.2693
2025-02-21,1.1119,1.2685,1.286
2025-02-28,1.098,1.2546,1.2699
2025-03-07,1.1781,1.3347,1.3626
2025-03-14,1.1643,1.3209,1.3466
2025-03-21,1.1241,1.2807,1.3001
2025-03-28,1.127,1.2836,1.3035
2025-04-03,1.097,1.2536,1.2688
2025-04-11,1.0243,1.1809,1.1847
2025-04-18,1.0435,1.2001,1.2069
2025-04-25,1.0642,1.2208,1.2309
2025-04-30,1.0524,1.209,1.2172
2025-05-09,1.0622,1.2188,1.2285
2025-05-16,1.0706,1.2272,1.2383
