date,nav_unit,nav_accumulated,nav_adjusted
2018-07-27,1.0,1.0,1.0
2018-08-03,1.0,1.0,1.0
2018-08-10,1.0,1.0,1.0
2018-08-17,1.0,1.0,1.0
2018-08-24,1.0,1.0,1.0
2018-08-31,1.0,1.0,1.0
2018-09-07,1.0,1.0,1.0
2018-09-14,1.0,1.0,1.0
2018-09-21,1.0,1.0,1.0
2018-09-28,1.0,1.0,1.0
2018-10-12,1.0,1.0,1.0
2018-10-19,1.0,1.0,1.0
2018-10-26,1.0,1.0,1.0
2018-11-02,1.0,1.0,1.0
2018-11-09,1.0,1.0,1.0
2018-11-16,1.0,1.0,1.0
2018-11-23,1.0,1.0,1.0
2018-11-30,1.0,1.0,1.0
2018-12-07,1.0,1.0,1.0
2018-12-14,1.0,1.0,1.0
2018-12-21,1.0,1.0,1.0
2018-12-28,1.001,1.001,1.001
2019-01-04,1.0,1.0,1.0
2019-01-11,1.0,1.0,1.0
2019-01-18,1.0,1.0,1.0
2019-01-25,1.0,1.0,1.0
2019-02-01,1.001,1.001,1.001
2019-02-15,1.002,1.002,1.002
2019-02-22,1.014,1.014,1.014
2019-03-01,1.027,1.027,1.027
2019-03-08,1.068,1.068,1.068
2019-03-15,1.077,1.077,1.077
2019-03-22,1.119,1.119,1.119
2019-03-29,1.11,1.11,1.11
2019-04-04,1.15,1.15,1.15
2019-04-12,1.128,1.128,1.128
2019-04-19,1.135,1.135,1.135
2019-04-26,1.093,1.093,1.093
2019-04-30,1.093,1.093,1.093
2019-05-10,1.099,1.099,1.099
2019-05-17,1.092,1.092,1.092
2019-05-24,1.083,1.083,1.083
2019-05-31,1.076,1.076,1.076
2019-06-06,1.064,1.064,1.064
2019-06-14,1.068,1.068,1.068
2019-06-21,1.076,1.076,1.076
2019-06-28,1.079,1.079,1.079
2019-07-05,1.086,1.086,1.086
2019-07-12,1.081,1.081,1.081
2019-07-19,1.081,1.081,1.081
2019-07-26,1.084,1.084,1.084
2019-08-02,1.083,1.083,1.083
2019-08-09,1.074,1.074,1.074
2019-08-16,1.078,1.078,1.078
2019-08-23,1.086,1.086,1.086
2019-08-30,1.088,1.088,1.088
2019-09-06,1.108,1.108,1.108
2019-09-12,1.118,1.118,1.118
2019-09-20,1.111,1.111,1.111
2019-09-27,1.096,1.096,1.096
2019-09-30,1.094,1.094,1.094
2019-10-11,1.107,1.107,1.107
2019-10-18,1.111,1.111,1.111
2019-10-25,1.105,1.105,1.105
2019-11-01,1.138,1.138,1.138
2019-11-08,1.18,1.18,1.18
2019-11-15,1.146,1.146,1.146
2019-11-22,1.145,1.145,1.145
2019-11-29,1.147,1.147,1.147
2019-12-06,1.178,1.178,1.178
2019-12-13,1.225,1.225,1.225
2019-12-20,1.245,1.245,1.245
2019-12-27,1.273,1.273,1.273
2020-01-03,1.316,1.316,1.316
2020-01-10,1.341,1.341,1.341
2020-01-17,1.367,1.367,1.367
2020-02-07,1.409,1.409,1.409
2020-02-14,1.448,1.448,1.448
2020-02-21,1.506,1.506,1.506
2020-02-28,1.479,1.479,1.479
2020-03-06,1.501,1.501,1.501
2020-03-13,1.454,1.454,1.454
2020-03-20,1.439,1.439,1.439
2020-03-27,1.454,1.454,1.454
2020-04-03,1.444,1.444,1.444
2020-04-10,1.463,1.463,1.463
2020-04-17,1.473,1.473,1.473
2020-04-24,1.478,1.478,1.478
2020-04-30,1.498,1.498,1.498
2020-05-08,1.533,1.533,1.533
2020-05-15,1.514,1.514,1.514
2020-05-22,1.488,1.488,1.488
2020-05-29,1.507,1.507,1.507
2020-06-05,1.532,1.532,1.532
2020-06-12,1.527,1.527,1.527
2020-06-19,1.561,1.561,1.561
2020-06-24,1.562,1.562,1.562
2020-07-03,1.653,1.653,1.653
2020-07-10,1.799,1.799,1.799
2020-07-17,1.701,1.701,1.701
2020-07-24,1.753,1.753,1.753
2020-07-31,1.836,1.836,1.836
2020-08-07,1.882,1.882,1.882
2020-08-14,1.831,1.831,1.831
2020-08-21,1.838,1.838,1.838
2020-08-28,1.856,1.856,1.856
2020-09-04,1.863,1.863,1.863
2020-09-11,1.808,1.808,1.808
2020-09-18,1.834,1.834,1.834
2020-09-25,1.775,1.775,1.775
2020-09-30,1.783,1.783,1.783
2020-10-09,1.813,1.813,1.813
2020-10-16,1.813,1.813,1.813
2020-10-23,1.816,1.816,1.816
2020-10-30,1.786,1.786,1.786
2020-11-06,1.887,1.887,1.887
2020-11-13,1.911,1.911,1.911
2020-11-20,1.959,1.959,1.959
2020-11-27,1.963,1.963,1.963
2020-12-04,1.925,1.925,1.925
2020-12-11,1.874,1.874,1.874
2020-12-18,1.942,1.942,1.942
2020-12-25,2.017,2.017,2.017
2020-12-31,2.071,2.071,2.071
2021-01-08,2.096,2.096,2.096
2021-01-15,2.142,2.142,2.142
2021-01-22,2.206,2.206,2.206
2021-01-29,2.12,2.12,2.12
2021-02-05,2.139,2.139,2.139
2021-02-10,2.25,2.25,2.25
2021-02-19,2.353,2.353,2.353
2021-02-26,2.253,2.253,2.253
2021-03-05,2.301,2.301,2.301
2021-03-12,2.297,2.297,2.297
2021-03-19,2.324,2.324,2.324
2021-03-26,2.303,2.303,2.303
2021-04-02,2.312,2.312,2.312
2021-04-09,2.305,2.305,2.305
2021-04-16,2.303,2.303,2.303
2021-04-23,2.347,2.347,2.347
2021-04-30,2.33,2.33,2.33
2021-05-07,2.365,2.365,2.365
2021-05-14,2.345,2.345,2.345
2021-05-21,2.364,2.364,2.364
2021-05-28,2.385,2.385,2.385
2021-06-04,2.416,2.416,2.416
2021-06-11,2.45,2.45,2.45
2021-06-18,2.427,2.427,2.427
