基金代码,基金名称,日期,单位净值,累计净值
SGA864,沣京公司精选2期,2019-06-06,1.0,1.0
SGA864,沣京公司精选2期,2019-06-10,1.0,1.0
SGA864,沣京公司精选2期,2019-06-11,1.0,1.0
SGA864,沣京公司精选2期,2019-06-12,1.0,1.0
SGA864,沣京公司精选2期,2019-06-13,1.0,1.0
SGA864,沣京公司精选2期,2019-06-14,1.0,1.0
SGA864,沣京公司精选2期,2019-06-17,1.0,1.0
SGA864,沣京公司精选2期,2019-06-18,1.0,1.0
SGA864,沣京公司精选2期,2019-06-19,1.0,1.0
SGA864,沣京公司精选2期,2019-06-20,1.0,1.0
SGA864,沣京公司精选2期,2019-06-21,1.0,1.0
SGA864,沣京公司精选2期,2019-06-24,1.0,1.0
SGA864,沣京公司精选2期,2019-06-25,1.0,1.0
SGA864,沣京公司精选2期,2019-06-26,1.0,1.0
SGA864,沣京公司精选2期,2019-06-27,1.0,1.0
SGA864,沣京公司精选2期,2019-06-28,1.0,1.0
SGA864,沣京公司精选2期,2019-07-01,1.0,1.0
SGA864,沣京公司精选2期,2019-07-02,1.0,1.0
SGA864,沣京公司精选2期,2019-07-03,1.0,1.0
SGA864,沣京公司精选2期,2019-07-04,1.0,1.0
SGA864,沣京公司精选2期,2019-07-05,1.0,1.0
SGA864,沣京公司精选2期,2019-07-08,1.0,1.0
SGA864,沣京公司精选2期,2019-07-09,1.0,1.0
SGA864,沣京公司精选2期,2019-07-10,1.0,1.0
SGA864,沣京公司精选2期,2019-07-11,1.0,1.0
SGA864,沣京公司精选2期,2019-07-12,0.992,0.992
SGA864,沣京公司精选2期,2019-07-15,0.992,0.992
SGA864,沣京公司精选2期,2019-07-16,0.992,0.992
SGA864,沣京公司精选2期,2019-07-17,0.992,0.992
SGA864,沣京公司精选2期,2019-07-18,0.992,0.992
SGA864,沣京公司精选2期,2019-07-19,0.982,0.982
SGA864,沣京公司精选2期,2019-07-22,0.982,0.982
SGA864,沣京公司精选2期,2019-07-23,0.982,0.982
SGA864,沣京公司精选2期,2019-07-24,0.982,0.982
SGA864,沣京公司精选2期,2019-07-25,0.982,0.982
SGA864,沣京公司精选2期,2019-07-26,1.003,1.003
SGA864,沣京公司精选2期,2019-07-29,1.003,1.003
SGA864,沣京公司精选2期,2019-07-30,1.003,1.003
SGA864,沣京公司精选2期,2019-07-31,1.003,1.003
SGA864,沣京公司精选2期,2019-08-01,1.003,1.003
SGA864,沣京公司精选2期,2019-08-02,1.017,1.017
SGA864,沣京公司精选2期,2019-08-05,1.017,1.017
SGA864,沣京公司精选2期,2019-08-06,1.017,1.017
SGA864,沣京公司精选2期,2019-08-07,1.017,1.017
SGA864,沣京公司精选2期,2019-08-08,1.017,1.017
SGA864,沣京公司精选2期,2019-08-09,0.985,0.985
SGA864,沣京公司精选2期,2019-08-12,0.985,0.985
SGA864,沣京公司精选2期,2019-08-13,0.985,0.985
SGA864,沣京公司精选2期,2019-08-14,0.985,0.985
SGA864,沣京公司精选2期,2019-08-15,0.985,0.985
SGA864,沣京公司精选2期,2019-08-16,1.006,1.006
SGA864,沣京公司精选2期,2019-08-19,1.006,1.006
SGA864,沣京公司精选2期,2019-08-20,1.006,1.006
SGA864,沣京公司精选2期,2019-08-21,1.006,1.006
SGA864,沣京公司精选2期,2019-08-22,1.006,1.006
SGA864,沣京公司精选2期,2019-08-23,1.033,1.033
SGA864,沣京公司精选2期,2019-08-26,1.033,1.033
SGA864,沣京公司精选2期,2019-08-27,1.033,1.033
SGA864,沣京公司精选2期,2019-08-28,1.033,1.033
SGA864,沣京公司精选2期,2019-08-29,1.033,1.033
SGA864,沣京公司精选2期,2019-08-30,1.017,1.017
SGA864,沣京公司精选2期,2019-09-02,1.017,1.017
SGA864,沣京公司精选2期,2019-09-03,1.017,1.017
SGA864,沣京公司精选2期,2019-09-04,1.017,1.017
SGA864,沣京公司精选2期,2019-09-05,1.017,1.017
SGA864,沣京公司精选2期,2019-09-06,1.071,1.071
SGA864,沣京公司精选2期,2019-09-09,1.071,1.071
SGA864,沣京公司精选2期,2019-09-10,1.071,1.071
SGA864,沣京公司精选2期,2019-09-11,1.071,1.071
SGA864,沣京公司精选2期,2019-09-12,1.101,1.101
SGA864,沣京公司精选2期,2019-09-16,1.101,1.101
SGA864,沣京公司精选2期,2019-09-17,1.101,1.101
SGA864,沣京公司精选2期,2019-09-18,1.101,1.101
SGA864,沣京公司精选2期,2019-09-19,1.101,1.101
SGA864,沣京公司精选2期,2019-09-20,1.106,1.106
SGA864,沣京公司精选2期,2019-09-23,1.106,1.106
SGA864,沣京公司精选2期,2019-09-24,1.106,1.106
SGA864,沣京公司精选2期,2019-09-25,1.106,1.106
SGA864,沣京公司精选2期,2019-09-26,1.106,1.106
SGA864,沣京公司精选2期,2019-09-27,1.093,1.093
SGA864,沣京公司精选2期,2019-09-30,1.086,1.086
SGA864,沣京公司精选2期,2019-10-11,1.103,1.103
SGA864,沣京公司精选2期,2019-10-18,1.087,1.087
SGA864,沣京公司精选2期,2019-10-25,1.095,1.095
SGA864,沣京公司精选2期,2019-11-01,1.096,1.096
SGA864,沣京公司精选2期,2019-11-08,1.109,1.109
SGA864,沣京公司精选2期,2019-11-15,1.095,1.095
SGA864,沣京公司精选2期,2019-11-22,1.105,1.105
