date,nav_unit,nav_accumulated,nav_adjusted
2021-11-03,1.0,1.0,1.0
2021-11-12,0.5362,1.0435,1.0435
2021-11-19,0.5306,1.0379,1.0326
2021-11-26,0.5346,1.042,1.0406
2021-12-03,0.5402,1.0475,1.0513
2021-12-10,0.5341,1.0415,1.0396
2021-12-17,0.525,1.0324,1.0219
2021-12-24,0.5175,1.0248,1.0071
2021-12-31,0.518,1.0253,1.0081
2022-01-07,0.4997,1.0071,0.9727
2022-01-14,0.4927,1.0,0.9588
2022-01-21,0.4896,0.997,0.953
2022-01-28,0.4831,0.9904,0.9402
2022-02-11,0.4805,0.9879,0.9353
2022-02-18,0.4841,0.9914,0.9421
2022-02-25,0.4861,0.9934,0.946
2022-03-04,0.481,0.9884,0.9363
2022-03-11,0.478,0.9853,0.9302
2022-03-18,0.478,0.9853,0.9302
2022-03-25,0.474,0.9813,0.9224
2022-04-01,0.4714,0.9788,0.9176
2022-04-08,0.4694,0.9767,0.9135
2022-04-15,0.4669,0.9742,0.9086
2022-04-22,0.4664,0.9737,0.9077
2022-04-29,0.4669,0.9742,0.9086
2022-05-06,0.4628,0.9702,0.9008
2022-05-13,0.4618,0.9691,0.8987
2022-05-20,0.4628,0.9702,0.9008
2022-05-27,0.4613,0.9686,0.8977
2022-06-02,0.4674,0.9747,0.9096
2022-06-10,0.4689,0.9762,0.9125
2022-06-17,0.4724,0.9798,0.9195
2022-06-24,0.4775,0.9848,0.9293
2022-07-01,0.476,0.9833,0.9263
2022-07-08,0.4724,0.9798,0.9195
2022-07-15,0.4729,0.9803,0.9205
2022-07-22,0.4805,0.9879,0.9353
2022-07-29,0.4815,0.9889,0.9372
2022-08-05,0.4709,0.9782,0.9164
2022-08-12,0.4745,0.9818,0.9234
2022-08-19,0.4841,0.9914,0.9421
2022-08-26,0.4684,0.9757,0.9116
2022-09-02,0.4608,0.9681,0.8968
2022-09-09,0.4679,0.9752,0.9106
2022-09-16,0.4512,0.9585,0.8781
2022-09-23,0.4517,0.959,0.879
2022-09-30,0.4476,0.955,0.8713
2022-10-14,0.4588,0.9661,0.8929
2022-10-21,0.476,0.9833,0.9263
2022-10-28,0.4679,0.9752,0.9106
2022-11-04,0.4856,0.9929,0.945
2022-11-11,0.4861,0.9934,0.946
2022-11-18,0.4992,1.0066,0.9717
2022-11-25,0.4967,1.004,0.9666
2022-12-02,0.5013,1.0086,0.9756
2022-12-09,0.4987,1.0061,0.9707
2022-12-16,0.4927,1.0,0.9588
2022-12-23,0.476,0.9833,0.9263
2022-12-30,0.478,0.9853,0.9302
2023-01-06,0.4846,0.9919,0.9431
2023-01-13,0.4861,0.9934,0.946
2023-01-20,0.4937,1.001,0.9608
2023-02-03,0.5078,1.0152,0.9884
2023-02-10,0.5129,1.0202,0.9982
2023-02-17,0.4967,1.004,0.9666
2023-02-24,0.5038,1.0111,0.9804
2023-03-03,0.5033,1.0106,0.9795
2023-03-10,0.5043,1.0116,0.9814
2023-03-17,0.5089,1.0162,0.9904
