date,nav_unit,nav_accumulated,nav_adjusted
2021-09-24,1.0,1.0,1.0
2021-09-30,1.0,1.0,1.0
2021-10-08,0.999,0.999,0.999
2021-10-15,1.0,1.0,1.0
2021-10-22,0.994,0.994,0.994
2021-10-29,0.976,0.976,0.976
2021-11-05,0.971,0.971,0.971
2021-11-12,1.007,1.007,1.007
2021-11-19,1.026,1.026,1.026
2021-11-26,1.041,1.041,1.041
2021-12-03,1.062,1.062,1.062
2021-12-10,1.065,1.065,1.065
2021-12-17,1.076,1.076,1.076
2021-12-24,1.072,1.072,1.072
2021-12-31,1.109,1.109,1.109
2022-01-07,1.097,1.097,1.097
2022-01-14,1.096,1.096,1.096
2022-01-21,1.074,1.074,1.074
2022-01-28,1.024,1.024,1.024
2022-02-11,1.035,1.035,1.035
2022-02-18,1.064,1.064,1.064
2022-02-25,1.071,1.071,1.071
2022-03-04,1.062,1.062,1.062
2022-03-11,1.032,1.032,1.032
2022-03-18,1.014,1.014,1.014
2022-03-25,1.014,1.014,1.014
2022-04-01,1.018,1.018,1.018
2022-04-08,0.993,0.993,0.993
2022-04-15,0.96,0.96,0.96
2022-04-22,0.918,0.918,0.918
2022-04-29,0.894,0.894,0.894
2022-05-06,0.9,0.9,0.9
2022-05-13,0.944,0.944,0.944
2022-05-20,0.97,0.97,0.97
2022-05-27,0.963,0.963,0.963
2022-06-02,0.99,0.99,0.99
2022-06-10,1.009,1.009,1.009
2022-06-17,1.026,1.026,1.026
2022-06-24,1.047,1.047,1.047
2022-07-01,1.065,1.065,1.065
2022-07-08,1.064,1.064,1.064
2022-07-15,1.042,1.042,1.042
2022-07-22,1.071,1.071,1.071
2022-07-29,1.076,1.076,1.076
2022-08-05,1.064,1.064,1.064
2022-08-12,1.097,1.097,1.097
2022-08-19,1.094,1.094,1.094
2022-08-26,1.077,1.077,1.077
2022-09-02,1.064,1.064,1.064
2022-09-09,1.083,1.083,1.083
2022-09-16,1.028,1.028,1.028
2022-09-23,1.016,1.016,1.016
2022-09-30,0.98,0.98,0.98
2022-10-14,1.027,1.027,1.027
2022-10-21,1.037,1.037,1.037
2022-10-28,0.996,0.996,0.996
2022-11-04,1.075,1.075,1.075
2022-11-11,1.085,1.085,1.085
2022-11-18,1.092,1.092,1.092
2022-11-25,1.081,1.081,1.081
2022-12-02,1.104,1.104,1.104
2022-12-09,1.106,1.106,1.106
2022-12-16,1.087,1.087,1.087
2022-12-23,1.042,1.042,1.042
2022-12-30,1.056,1.056,1.056
2023-01-06,1.081,1.081,1.081
2023-01-13,1.083,1.083,1.083
2023-01-20,1.111,1.111,1.111
2023-02-03,1.143,1.143,1.143
2023-02-10,1.158,1.158,1.158
2023-02-17,1.143,1.143,1.143
2023-02-24,1.157,1.157,1.157
2023-03-03,1.166,1.166,1.166
2023-03-10,1.135,1.135,1.135
2023-03-17,1.124,1.124,1.124
2023-03-24,1.147,1.147,1.147
2023-03-31,1.15,1.15,1.15
2023-04-07,1.154,1.154,1.154
2023-04-14,1.149,1.149,1.149
2023-04-21,1.116,1.116,1.116
2023-04-28,1.116,1.116,1.116
2023-05-05,1.104,1.104,1.104
2023-05-12,1.092,1.092,1.092
2023-05-19,1.106,1.106,1.106
2023-05-26,1.102,1.102,1.102
2023-06-02,1.11,1.11,1.11
2023-06-09,1.093,1.093,1.093
2023-06-16,1.119,1.119,1.119
2023-06-21,1.099,1.099,1.099
2023-06-30,1.117,1.117,1.117
2023-07-07,1.115,1.115,1.115
2023-07-14,1.125,1.125,1.125
2023-07-21,1.113,1.113,1.113
2023-07-28,1.127,1.127,1.127
2023-08-04,1.133,1.133,1.133
2023-08-11,1.103,1.103,1.103
2023-08-18,1.088,1.088,1.088
2023-08-25,1.056,1.056,1.056
2023-09-01,1.089,1.089,1.089
2023-09-08,1.086,1.086,1.086
2023-09-15,1.083,1.083,1.083
2023-09-22,1.085,1.085,1.085
2023-09-28,1.089,1.089,1.089
2023-10-13,1.077,1.077,1.077
2023-10-20,1.032,1.032,1.032
2023-10-27,1.057,1.057,1.057
2023-11-03,1.068,1.068,1.068
2023-11-10,1.082,1.082,1.082
2023-11-17,1.102,1.102,1.102
2023-11-24,1.1,1.1,1.1
2023-12-01,1.102,1.102,1.102
2023-12-08,1.075,1.075,1.075
2023-12-15,1.078,1.078,1.078
2023-12-22,1.056,1.056,1.056
2023-12-29,1.084,1.084,1.084
2024-01-05,1.063,1.063,1.063
2024-01-12,1.049,1.049,1.049
2024-01-19,1.006,1.006,1.006
2024-01-26,0.995,0.995,0.995
2024-02-02,0.849,0.849,0.849
2024-02-08,0.875,0.875,0.875
2024-02-23,0.958,0.958,0.958
2024-03-01,0.999,0.999,0.999
2024-03-08,0.993,0.993,0.993
2024-03-15,1.034,1.034,1.034
2024-03-22,1.04,1.04,1.04
2024-03-29,1.033,1.033,1.033
2024-04-03,1.049,1.049,1.049
2024-04-12,1.026,1.026,1.026
2024-04-19,1.008,1.008,1.008
2024-04-26,1.057,1.057,1.057
2024-04-30,1.077,1.077,1.077
2024-05-10,1.09,1.09,1.09
2024-05-17,1.087,1.087,1.087
2024-05-24,1.06,1.06,1.06
2024-05-31,1.063,1.063,1.063
2024-06-07,1.038,1.038,1.038
2024-06-14,1.041,1.041,1.041
2024-06-21,1.022,1.022,1.022
