date,nav_unit,nav_accumulated,nav_adjusted
2019-08-21,1.0,1.0,1.0
2019-08-23,1.0,1.0,1.0
2019-08-30,1.0,1.0,1.0
2019-09-06,1.0,1.0,1.0
2019-09-12,1.0,1.0,1.0
2019-09-20,1.0,1.0,1.0
2019-09-27,1.0,1.0,1.0
2019-09-30,1.0,1.0,1.0
2019-10-11,1.001,1.001,1.001
2019-10-18,1.003,1.003,1.003
2019-10-25,1.005,1.005,1.005
2019-11-01,1.008,1.008,1.008
2019-11-08,1.007,1.007,1.007
2019-11-15,0.999,0.999,0.999
2019-11-22,1.002,1.002,1.002
2019-11-29,1.0,1.0,1.0
2019-12-06,1.01,1.01,1.01
2019-12-13,1.021,1.021,1.021
2019-12-20,1.053,1.053,1.053
2019-12-27,1.054,1.054,1.054
2020-01-03,1.073,1.073,1.073
2020-01-10,1.074,1.074,1.074
2020-01-17,1.066,1.066,1.066
2020-01-23,1.071,1.071,1.071
2020-02-07,1.121,1.121,1.121
2020-02-14,1.16,1.16,1.16
2020-02-21,1.241,1.241,1.241
2020-02-28,1.241,1.241,1.241
2020-03-06,1.231,1.231,1.231
2020-03-13,1.222,1.222,1.222
2020-03-20,1.215,1.215,1.215
2020-03-27,1.218,1.218,1.218
2020-04-03,1.215,1.215,1.215
2020-04-10,1.215,1.215,1.215
2020-04-17,1.214,1.214,1.214
2020-04-24,1.208,1.208,1.208
2020-04-30,1.21,1.21,1.21
2020-05-08,1.227,1.227,1.227
2020-05-15,1.223,1.223,1.223
2020-05-22,1.217,1.217,1.217
2020-05-29,1.218,1.218,1.218
2020-06-05,1.245,1.245,1.245
2020-06-12,1.24,1.24,1.24
2020-06-19,1.25,1.25,1.25
2020-06-24,1.248,1.248,1.248
2020-07-03,1.279,1.279,1.279
2020-07-10,1.357,1.357,1.357
2020-07-17,1.34,1.34,1.34
2020-07-24,1.32,1.32,1.32
2020-07-31,1.325,1.325,1.325
2020-08-07,1.312,1.312,1.312
2020-08-14,1.317,1.317,1.317
2020-08-21,1.314,1.314,1.314
2020-08-28,1.332,1.332,1.332
2020-09-04,1.313,1.313,1.313
2020-09-11,1.304,1.304,1.304
2020-09-18,1.331,1.331,1.331
2020-09-25,1.308,1.308,1.308
2020-09-30,1.312,1.312,1.312
2020-10-09,1.316,1.316,1.316
2020-10-16,1.322,1.322,1.322
2020-10-23,1.336,1.336,1.336
2020-10-30,1.343,1.343,1.343
2020-11-06,1.402,1.402,1.402
2020-11-13,1.369,1.369,1.369
2020-11-20,1.377,1.377,1.377
2020-11-27,1.372,1.372,1.372
2020-12-04,1.382,1.382,1.382
2020-12-11,1.354,1.354,1.354
2020-12-18,1.364,1.364,1.364
2020-12-25,1.377,1.377,1.377
2020-12-31,1.372,1.372,1.372
2021-01-08,1.405,1.405,1.405
2021-01-15,1.389,1.389,1.389
2021-01-22,1.372,1.372,1.372
2021-01-29,1.348,1.348,1.348
2021-02-05,1.348,1.348,1.348
2021-02-10,1.375,1.375,1.375
2021-02-19,1.353,1.353,1.353
2021-02-26,1.332,1.332,1.332
2021-03-05,1.321,1.321,1.321
2021-03-12,1.314,1.314,1.314
2021-03-19,1.314,1.314,1.314
2021-03-26,1.314,1.314,1.314
2021-04-02,1.315,1.315,1.315
2021-04-09,1.315,1.315,1.315
2021-04-16,1.314,1.314,1.314
2021-04-23,1.318,1.318,1.318
2021-04-30,1.327,1.327,1.327
2021-05-07,1.327,1.327,1.327
2021-05-14,1.333,1.333,1.333
2021-05-21,1.34,1.34,1.34
2021-05-28,1.365,1.365,1.365
2021-06-04,1.346,1.346,1.346
2021-06-11,1.331,1.331,1.331
2021-06-18,1.334,1.334,1.334
2021-06-25,1.345,1.345,1.345
2021-07-02,1.337,1.337,1.337
2021-07-09,1.353,1.353,1.353
2021-07-16,1.34,1.34,1.34
2021-07-23,1.388,1.388,1.388
2021-07-30,1.424,1.424,1.424
2021-08-06,1.442,1.442,1.442
2021-08-13,1.433,1.433,1.433
2021-08-20,1.415,1.415,1.415
2021-08-27,1.424,1.424,1.424
2021-09-03,1.417,1.417,1.417
2021-09-10,1.422,1.422,1.422
2021-09-17,1.396,1.396,1.396
2021-09-24,1.397,1.397,1.397
2021-09-30,1.397,1.397,1.397
2021-10-08,1.385,1.385,1.385
2021-10-15,1.386,1.386,1.386
2021-10-22,1.384,1.384,1.384
2021-10-29,1.391,1.391,1.391
2021-11-05,1.389,1.389,1.389
2021-11-12,1.398,1.398,1.398
2021-11-19,1.396,1.396,1.396
2021-11-26,1.4,1.4,1.4
2021-12-03,1.406,1.406,1.406
2021-12-10,1.414,1.414,1.414
2021-12-17,1.429,1.429,1.429
2021-12-24,1.405,1.405,1.405
2021-12-31,1.403,1.403,1.403
2022-01-07,1.381,1.381,1.381
2022-01-14,1.38,1.38,1.38
2022-01-21,1.377,1.377,1.377
2022-01-28,1.373,1.373,1.373
2022-02-11,1.373,1.373,1.373
2022-02-18,1.372,1.372,1.372
2022-02-25,1.378,1.378,1.378
2022-03-04,1.371,1.371,1.371
2022-03-11,1.371,1.371,1.371
2022-03-18,1.385,1.385,1.385
2022-03-25,1.38,1.38,1.38
2022-04-01,1.37,1.37,1.37
2022-04-08,1.37,1.37,1.37
2022-04-15,1.369,1.369,1.369
2022-04-22,1.369,1.369,1.369
2022-04-29,1.37,1.37,1.37
2022-05-06,1.373,1.373,1.373
2022-05-13,1.374,1.374,1.374
2022-05-20,1.373,1.373,1.373
2022-05-27,1.376,1.376,1.376
2022-06-02,1.389,1.389,1.389
2022-06-10,1.405,1.405,1.405
2022-06-17,1.408,1.408,1.408
2022-06-24,1.444,1.444,1.444
2022-07-01,1.451,1.451,1.451
2022-07-08,1.035,1.436,1.436
2022-07-15,1.035,1.436,1.436
2022-07-22,1.035,1.436,1.436
2022-07-29,1.028,1.429,1.4263
2022-08-05,1.043,1.444,1.4471
2022-08-12,1.037,1.438,1.4388
2022-08-19,1.03,1.431,1.4291
2022-08-26,1.012,1.413,1.4041
2022-09-02,1.008,1.409,1.3985
2022-09-09,1.009,1.41,1.3999
2022-09-16,1.002,1.403,1.3902
2022-09-23,1.002,1.403,1.3902
2022-09-30,1.001,1.402,1.3888
2022-10-14,1.003,1.404,1.3916
2022-10-21,1.0,1.401,1.3874
2022-10-28,0.993,1.394,1.3777
2022-11-04,1.018,1.419,1.4124
2022-11-11,1.008,1.409,1.3985
2022-11-18,0.983,1.384,1.3639
2022-11-25,0.975,1.376,1.3528
2022-12-02,0.993,1.394,1.3777
2022-12-09,0.989,1.39,1.3722
2022-12-16,0.986,1.387,1.368
2022-12-23,0.981,1.382,1.3611
2022-12-30,0.977,1.378,1.3555
2023-01-06,0.985,1.386,1.3666
2023-01-13,0.987,1.388,1.3694
2023-01-20,1.012,1.413,1.4041
2023-02-03,0.994,1.395,1.3791
2023-02-10,0.978,1.379,1.3569
2023-02-17,0.974,1.375,1.3514
2023-02-24,0.973,1.374,1.35
2023-03-03,0.977,1.378,1.3555
2023-03-10,0.967,1.368,1.3417
2023-03-17,0.972,1.373,1.3486
2023-03-24,0.99,1.391,1.3736
2023-03-31,0.993,1.394,1.3777
2023-04-07,1.055,1.456,1.4637
2023-04-14,1.033,1.434,1.4332
2023-04-21,1.011,1.412,1.4027
2023-04-28,1.02,1.421,1.4152
2023-05-05,1.023,1.424,1.4194
2023-05-12,1.007,1.408,1.3972
2023-05-19,1.015,1.416,1.4083
2023-05-26,1.002,1.403,1.3902
2023-06-02,1.003,1.404,1.3916
2023-06-09,1.0,1.401,1.3874
2023-06-16,1.017,1.418,1.411
2023-06-21,1.02,1.421,1.4152
2023-06-30,1.02,1.421,1.4152
2023-07-07,1.022,1.423,1.418
2023-07-14,1.013,1.414,1.4055
2023-07-21,1.003,1.404,1.3916
2023-07-28,0.997,1.398,1.3833
2023-08-04,0.991,1.392,1.375
2023-08-11,0.986,1.387,1.368
2023-08-18,0.984,1.385,1.3652
2023-08-25,0.984,1.385,1.3652
2023-09-01,0.995,1.396,1.3805
2023-09-08,0.995,1.396,1.3805
2023-09-15,0.99,1.391,1.3736
2023-09-22,0.987,1.388,1.3694
2023-09-28,0.984,1.385,1.3652
2023-10-13,0.982,1.383,1.3625
2023-10-20,0.973,1.374,1.35
2023-10-27,0.982,1.383,1.3625
2023-11-03,0.977,1.378,1.3555
2023-11-10,0.989,1.39,1.3722
2023-11-17,0.997,1.398,1.3833
2023-11-24,0.984,1.385,1.3652
2023-12-01,0.982,1.383,1.3625
2023-12-08,0.98,1.381,1.3597
2023-12-15,0.979,1.38,1.3583
2023-12-22,0.98,1.381,1.3597
2023-12-29,0.981,1.382,1.3611
2024-01-05,0.979,1.38,1.3583
2024-01-12,0.979,1.38,1.3583
2024-01-19,0.979,1.38,1.3583
2024-01-26,0.978,1.379,1.3569
2024-02-02,0.979,1.38,1.3583
2024-02-08,0.979,1.38,1.3583
2024-02-23,0.98,1.381,1.3597
2024-03-01,0.981,1.382,1.3611
2024-03-08,0.984,1.385,1.3652
2024-03-15,0.974,1.375,1.3514
2024-03-22,0.976,1.377,1.3541
2024-03-29,0.972,1.373,1.3486
2024-04-03,0.973,1.374,1.35
2024-04-12,0.962,1.363,1.3347
2024-04-19,0.961,1.362,1.3333
2024-04-26,0.961,1.362,1.3333
2024-04-30,0.961,1.362,1.3333
2024-05-10,0.956,1.357,1.3264
2024-05-17,0.954,1.355,1.3236
2024-05-24,0.951,1.352,1.3195
2024-05-31,0.949,1.35,1.3167
2024-06-07,0.945,1.346,1.3111
2024-06-14,0.947,1.348,1.3139
2024-06-21,0.945,1.346,1.3111
2024-06-28,0.944,1.345,1.3097
2024-07-05,0.943,1.344,1.3084
2024-07-12,0.943,1.344,1.3084
2024-07-19,0.937,1.338,1.3
2024-07-26,0.932,1.333,1.2931
2024-08-02,0.927,1.328,1.2862
2024-08-09,0.927,1.328,1.2862
2024-08-16,0.927,1.328,1.2862
2024-08-23,0.927,1.328,1.2862
2024-08-30,0.924,1.325,1.282
2024-09-06,0.918,1.319,1.2737
2024-09-13,0.916,1.317,1.2709
2024-09-20,0.917,1.318,1.2723
2024-09-27,0.98,1.381,1.3597
2024-09-30,1.034,1.435,1.4346
2024-10-11,1.052,1.453,1.4596
2024-10-18,1.055,1.456,1.4637
2024-10-25,1.08,1.481,1.4984
2024-11-01,1.08,1.481,1.4984
2024-11-08,1.124,1.525,1.5595
2024-11-15,1.115,1.516,1.547
2024-11-22,1.115,1.516,1.547
2024-11-29,1.112,1.513,1.5428
2024-12-06,1.124,1.525,1.5595
2024-12-13,1.117,1.518,1.5498
2024-12-20,1.129,1.53,1.5664
2024-12-27,1.12,1.521,1.5539
2025-01-03,1.116,1.517,1.5484
2025-01-10,1.118,1.519,1.5512
2025-01-17,1.126,1.527,1.5623
2025-01-24,1.116,1.517,1.5484
2025-01-27,1.12,1.521,1.5539
2025-02-07,1.15,1.551,1.5956
2025-02-14,1.129,1.53,1.5664
2025-02-21,1.163,1.564,1.6136
2025-02-28,1.168,1.569,1.6205
2025-03-07,1.156,1.557,1.6039
2025-03-14,1.138,1.539,1.5789
2025-03-21,1.133,1.534,1.572
2025-03-28,1.132,1.533,1.5706
