基金代码,基金名称,日期,单位净值,累计净值
SGV993,聚鸣涌金8号A期,2020-02-12,1.0,1.0
SGV993,聚鸣涌金8号A期,2020-02-14,1.0,1.0
SGV993,聚鸣涌金8号A期,2020-02-18,1.0,1.0
SGV993,聚鸣涌金8号A期,2020-02-19,1.0,1.0
SGV993,聚鸣涌金8号A期,2020-02-21,1.0,1.0
SGV993,聚鸣涌金8号A期,2020-02-25,1.0,1.0
SGV993,聚鸣涌金8号A期,2020-02-26,1.0,1.0
SGV993,聚鸣涌金8号A期,2020-02-28,0.988,0.988
SGV993,聚鸣涌金8号A期,2020-03-06,1.033,1.033
SGV993,聚鸣涌金8号A期,2020-03-13,0.995,0.995
SGV993,聚鸣涌金8号A期,2020-03-20,0.993,0.993
SGV993,聚鸣涌金8号A期,2020-03-27,0.995,0.995
SGV993,聚鸣涌金8号A期,2020-04-03,0.992,0.992
SGV993,聚鸣涌金8号A期,2020-04-10,0.993,0.993
SGV993,聚鸣涌金8号A期,2020-04-17,1.013,1.013
SGV993,聚鸣涌金8号A期,2020-04-24,1.017,1.017
SGV993,聚鸣涌金8号A期,2020-04-30,1.039,1.039
SGV993,聚鸣涌金8号A期,2020-05-08,1.044,1.044
SGV993,聚鸣涌金8号A期,2020-05-15,1.032,1.032
SGV993,聚鸣涌金8号A期,2020-05-22,1.016,1.016
SGV993,聚鸣涌金8号A期,2020-05-29,1.035,1.035
SGV993,聚鸣涌金8号A期,2020-06-02,1.049,1.049
SGV993,聚鸣涌金8号A期,2020-06-05,1.059,1.059
SGV993,聚鸣涌金8号A期,2020-06-12,1.07,1.07
SGV993,聚鸣涌金8号A期,2020-06-19,1.099,1.099
SGV993,聚鸣涌金8号A期,2020-06-24,1.1,1.1
SGV993,聚鸣涌金8号A期,2020-06-30,1.116,1.116
SGV993,聚鸣涌金8号A期,2020-07-03,1.14,1.14
SGV993,聚鸣涌金8号A期,2020-07-09,1.252,1.252
SGV993,聚鸣涌金8号A期,2020-07-10,1.245,1.245
SGV993,聚鸣涌金8号A期,2020-07-17,1.21,1.21
SGV993,聚鸣涌金8号A期,2020-07-24,1.228,1.228
SGV993,聚鸣涌金8号A期,2020-07-31,1.315,1.315
SGV993,聚鸣涌金8号A期,2020-08-07,1.376,1.376
SGV993,聚鸣涌金8号A期,2020-08-14,1.33,1.33
SGV993,聚鸣涌金8号A期,2020-08-21,1.315,1.315
SGV993,聚鸣涌金8号A期,2020-08-28,1.315,1.315
SGV993,聚鸣涌金8号A期,2020-08-31,1.312,1.312
SGV993,聚鸣涌金8号A期,2020-09-04,1.297,1.297
SGV993,聚鸣涌金8号A期,2020-09-11,1.233,1.233
SGV993,聚鸣涌金8号A期,2020-09-18,1.259,1.259
SGV993,聚鸣涌金8号A期,2020-09-21,1.251,1.251
SGV993,聚鸣涌金8号A期,2020-09-25,1.209,1.209
SGV993,聚鸣涌金8号A期,2020-10-09,1.24,1.24
SGV993,聚鸣涌金8号A期,2020-10-16,1.236,1.236
SGV993,聚鸣涌金8号A期,2020-10-23,1.205,1.205
SGV993,聚鸣涌金8号A期,2020-10-30,1.217,1.217
SGV993,聚鸣涌金8号A期,2020-11-03,1.233,1.233
SGV993,聚鸣涌金8号A期,2020-11-06,1.244,1.244
SGV993,聚鸣涌金8号A期,2020-11-13,1.242,1.242
SGV993,聚鸣涌金8号A期,2020-11-20,1.26,1.26
SGV993,聚鸣涌金8号A期,2020-11-27,1.245,1.245
SGV993,聚鸣涌金8号A期,2020-11-30,1.243,1.243
SGV993,聚鸣涌金8号A期,2020-12-04,1.256,1.256
SGV993,聚鸣涌金8号A期,2020-12-11,1.25,1.25
SGV993,聚鸣涌金8号A期,2020-12-18,1.281,1.281
SGV993,聚鸣涌金8号A期,2020-12-25,1.334,1.334
SGV993,聚鸣涌金8号A期,2020-12-31,1.404,1.404
SGV993,聚鸣涌金8号A期,2021-01-08,1.478,1.478
SGV993,聚鸣涌金8号A期,2021-01-15,1.449,1.449
SGV993,聚鸣涌金8号A期,2021-01-20,1.513,1.513
SGV993,聚鸣涌金8号A期,2021-01-22,1.527,1.527
SGV993,聚鸣涌金8号A期,2021-01-29,1.457,1.457
SGV993,聚鸣涌金8号A期,2021-02-05,1.478,1.478
SGV993,聚鸣涌金8号A期,2021-02-10,1.556,1.556
SGV993,聚鸣涌金8号A期,2021-02-19,1.584,1.584
SGV993,聚鸣涌金8号A期,2021-02-26,1.48,1.48
SGV993,聚鸣涌金8号A期,2021-03-05,1.469,1.469
SGV993,聚鸣涌金8号A期,2021-03-12,1.442,1.442
SGV993,聚鸣涌金8号A期,2021-03-19,1.448,1.448
SGV993,聚鸣涌金8号A期,2021-03-26,1.441,1.441
SGV993,聚鸣涌金8号A期,2021-03-31,1.448,1.448
SGV993,聚鸣涌金8号A期,2021-04-02,1.463,1.463
SGV993,聚鸣涌金8号A期,2021-04-09,1.456,1.456
SGV993,聚鸣涌金8号A期,2021-04-16,1.435,1.435
SGV993,聚鸣涌金8号A期,2021-04-23,1.452,1.452
SGV993,聚鸣涌金8号A期,2021-04-26,1.452,1.452
SGV993,聚鸣涌金8号A期,2021-04-28,1.457,1.457
SGV993,聚鸣涌金8号A期,2021-04-30,1.455,1.455
SGV993,聚鸣涌金8号A期,2021-05-07,1.433,1.433
SGV993,聚鸣涌金8号A期,2021-05-14,1.423,1.423
SGV993,聚鸣涌金8号A期,2021-05-21,1.44,1.44
SGV993,聚鸣涌金8号A期,2021-05-28,1.469,1.469
SGV993,聚鸣涌金8号A期,2021-05-31,1.49,1.49
SGV993,聚鸣涌金8号A期,2021-06-04,1.474,1.474
SGV993,聚鸣涌金8号A期,2021-06-11,1.471,1.471
SGV993,聚鸣涌金8号A期,2021-06-18,1.476,1.476
SGV993,聚鸣涌金8号A期,2021-06-25,1.521,1.521
SGV993,聚鸣涌金8号A期,2021-06-30,1.549,1.549
SGV993,聚鸣涌金8号A期,2021-07-02,1.503,1.503
SGV993,聚鸣涌金8号A期,2021-07-09,1.574,1.574
SGV993,聚鸣涌金8号A期,2021-07-16,1.58,1.58
SGV993,聚鸣涌金8号A期,2021-07-23,1.593,1.593
SGV993,聚鸣涌金8号A期,2021-07-30,1.541,1.541
SGV993,聚鸣涌金8号A期,2021-08-06,1.618,1.618
SGV993,聚鸣涌金8号A期,2021-08-13,1.619,1.619
SGV993,聚鸣涌金8号A期,2021-08-20,1.599,1.599
SGV993,聚鸣涌金8号A期,2021-08-27,1.663,1.663
SGV993,聚鸣涌金8号A期,2021-08-31,1.707,1.707
SGV993,聚鸣涌金8号A期,2021-09-03,1.622,1.622
SGV993,聚鸣涌金8号A期,2021-09-10,1.644,1.644
SGV993,聚鸣涌金8号A期,2021-09-17,1.569,1.569
SGV993,聚鸣涌金8号A期,2021-09-24,1.566,1.566
SGV993,聚鸣涌金8号A期,2021-09-30,1.527,1.527
SGV993,聚鸣涌金8号A期,2021-10-08,1.509,1.509
SGV993,聚鸣涌金8号A期,2021-10-15,1.543,1.543
SGV993,聚鸣涌金8号A期,2021-10-22,1.565,1.565
SGV993,聚鸣涌金8号A期,2021-10-29,1.587,1.587
SGV993,聚鸣涌金8号A期,2021-11-05,1.573,1.573
SGV993,聚鸣涌金8号A期,2021-11-12,1.634,1.634
SGV993,聚鸣涌金8号A期,2021-11-19,1.639,1.639
SGV993,聚鸣涌金8号A期,2021-11-26,1.63,1.63
SGV993,聚鸣涌金8号A期,2021-11-30,1.661,1.661
SGV993,聚鸣涌金8号A期,2021-12-03,1.668,1.668
SGV993,聚鸣涌金8号A期,2021-12-10,1.634,1.634
SGV993,聚鸣涌金8号A期,2021-12-17,1.599,1.599
SGV993,聚鸣涌金8号A期,2021-12-24,1.575,1.575
SGV993,聚鸣涌金8号A期,2021-12-31,1.621,1.621
SGV993,聚鸣涌金8号A期,2022-01-07,1.524,1.524
SGV993,聚鸣涌金8号A期,2022-01-10,1.15,1.524
SGV993,聚鸣涌金8号A期,2022-01-13,1.132,1.506
SGV993,聚鸣涌金8号A期,2022-01-14,1.135,1.509
SGV993,聚鸣涌金8号A期,2022-01-21,1.131,1.505
SGV993,聚鸣涌金8号A期,2022-01-28,1.082,1.456
SGV993,聚鸣涌金8号A期,2022-02-11,1.084,1.458
SGV993,聚鸣涌金8号A期,2022-02-18,1.101,1.475
SGV993,聚鸣涌金8号A期,2022-02-25,1.088,1.462
SGV993,聚鸣涌金8号A期,2022-02-28,1.088,1.462
SGV993,聚鸣涌金8号A期,2022-03-04,1.05,1.424
