date,nav_unit,nav_accumulated,nav_adjusted
2022-11-14,1.0,1.0,1.0
2022-12-14,1.0072,1.0072,1.0072
2022-12-16,1.0026,1.0026,1.0026
2022-12-23,1.0033,1.0033,1.0033
2022-12-30,1.004,1.004,1.004
2023-01-06,1.01,1.01,1.01
2023-01-13,1.0132,1.0132,1.0132
2023-01-20,1.0056,1.0056,1.0056
2023-02-03,1.0093,1.0093,1.0093
2023-02-10,1.0132,1.0132,1.0132
2023-02-17,1.0143,1.0143,1.0143
2023-02-24,1.0176,1.0176,1.0176
2023-03-03,1.0185,1.0185,1.0185
2023-03-10,1.0189,1.0189,1.0189
2023-03-17,1.0193,1.0193,1.0193
2023-03-24,1.0252,1.0252,1.0252
2023-03-31,1.0219,1.0219,1.0219
2023-04-07,1.0217,1.0217,1.0217
2023-04-14,1.0249,1.0249,1.0249
2023-04-21,1.0277,1.0277,1.0277
2023-04-28,1.0309,1.0309,1.0309
2023-05-05,1.0372,1.0372,1.0372
2023-05-12,1.0373,1.0373,1.0373
2023-05-19,1.0407,1.0407,1.0407
2023-05-26,1.0437,1.0437,1.0437
2023-06-02,1.0457,1.0457,1.0457
2023-06-09,1.0571,1.0571,1.0571
2023-06-16,1.0596,1.0596,1.0596
2023-06-21,1.0607,1.0607,1.0607
2023-06-30,1.0702,1.0702,1.0702
2023-07-07,1.0726,1.0726,1.0726
2023-07-14,1.0744,1.0744,1.0744
2023-07-21,1.0711,1.0711,1.0711
2023-07-28,1.0701,1.0701,1.0701
2023-08-04,1.0649,1.0649,1.0649
2023-08-11,1.0635,1.0635,1.0635
2023-08-18,1.0647,1.0647,1.0647
2023-08-25,1.0752,1.0752,1.0752
2023-09-01,1.0842,1.0842,1.0842
2023-09-08,1.0852,1.0852,1.0852
2023-09-15,1.085,1.085,1.085
2023-09-22,1.0859,1.0859,1.0859
2023-09-28,1.0882,1.0882,1.0882
2023-10-13,1.0904,1.0904,1.0904
2023-10-20,1.0862,1.0862,1.0862
2023-10-27,1.09,1.09,1.09
2023-11-03,1.0951,1.0951,1.0951
2023-11-10,1.1039,1.1039,1.1039
2023-11-17,1.1118,1.1118,1.1118
2023-11-24,1.1135,1.1135,1.1135
2023-12-01,1.1207,1.1207,1.1207
2023-12-08,1.1108,1.1108,1.1108
2023-12-15,1.116,1.116,1.116
2023-12-22,1.1119,1.1119,1.1119
2023-12-29,1.1161,1.1161,1.1161
2024-01-05,1.1235,1.1235,1.1235
2024-01-12,1.1269,1.1269,1.1269
2024-01-19,1.1373,1.1373,1.1373
2024-01-26,1.1412,1.1412,1.1412
2024-02-02,1.1392,1.1392,1.1392
2024-02-08,1.0472,1.0472,1.0472
2024-02-23,1.1104,1.1104,1.1104
2024-03-01,1.107,1.107,1.107
2024-03-08,1.1195,1.1195,1.1195
2024-03-15,1.1238,1.1238,1.1238
2024-03-22,1.1341,1.1341,1.1341
2024-03-29,1.1425,1.1425,1.1425
2024-04-03,1.1377,1.1377,1.1377
2024-04-12,1.1338,1.1338,1.1338
2024-04-19,1.1268,1.1268,1.1268
2024-04-26,1.1305,1.1305,1.1305
2024-04-30,1.1252,1.1252,1.1252
2024-05-10,1.1257,1.1257,1.1257
2024-05-17,1.1339,1.1339,1.1339
2024-05-24,1.1337,1.1337,1.1337
2024-05-31,1.137,1.137,1.137
2024-06-07,1.1339,1.1339,1.1339
2024-06-14,1.1342,1.1342,1.1342
2024-06-21,1.1405,1.1405,1.1405
2024-06-28,1.159,1.159,1.159
2024-07-05,1.1661,1.1661,1.1661
2024-07-12,1.1681,1.1681,1.1681
2024-07-19,1.1714,1.1714,1.1714
2024-07-26,1.1758,1.1758,1.1758
2024-08-02,1.1753,1.1753,1.1753
2024-08-09,1.1705,1.1705,1.1705
2024-08-16,1.1803,1.1803,1.1803
2024-08-23,1.185,1.185,1.185
2024-08-30,1.1749,1.1749,1.1749
2024-09-06,1.1769,1.1769,1.1769
2024-09-13,1.1771,1.1771,1.1771
2024-09-20,1.1811,1.1811,1.1811
2024-09-27,1.1412,1.1412,1.1412
2024-09-30,1.1382,1.1382,1.1382
2024-10-11,1.1594,1.1594,1.1594
2024-10-18,1.1479,1.1479,1.1479
2024-10-25,1.1644,1.1644,1.1644
2024-11-01,1.1542,1.1542,1.1542
2024-11-08,1.1716,1.1716,1.1716
2024-11-15,1.1718,1.1718,1.1718
2024-11-22,1.1828,1.1828,1.1828
2024-11-29,1.1918,1.1918,1.1918
2024-12-06,1.1988,1.1988,1.1988
2024-12-13,1.1945,1.1945,1.1945
2024-12-20,1.2007,1.2007,1.2007
2024-12-27,1.1981,1.1981,1.1981
2025-01-03,1.1975,1.1975,1.1975
2025-01-10,1.1982,1.1982,1.1982
2025-01-17,1.2046,1.2046,1.2046
2025-01-24,1.2015,1.2015,1.2015
2025-01-27,1.2009,1.2009,1.2009
2025-02-07,1.2105,1.2105,1.2105
2025-02-14,1.2094,1.2094,1.2094
2025-02-21,1.2166,1.2166,1.2166
2025-02-28,1.2212,1.2212,1.2212
2025-03-07,1.2285,1.2285,1.2285
2025-03-14,1.2273,1.2273,1.2273
2025-03-21,1.2308,1.2308,1.2308
2025-03-28,1.2234,1.2234,1.2234
2025-04-03,1.2213,1.2213,1.2213
2025-04-11,1.2205,1.2205,1.2205
2025-04-18,1.2287,1.2287,1.2287
2025-04-25,1.2318,1.2318,1.2318
