基金代码,基金名称,日期,单位净值,累计净值
SJY709,衍复新擎A号,2020-08-06,1.0,1.0
SJY709,衍复新擎A号,2020-08-07,1.0002,1.0002
SJY709,衍复新擎A号,2020-08-14,1.0003,1.0003
SJY709,衍复新擎A号,2020-08-21,0.9977,0.9977
SJY709,衍复新擎A号,2020-08-28,1.0227,1.0227
SJY709,衍复新擎A号,2020-09-04,1.025,1.025
SJY709,衍复新擎A号,2020-09-11,0.9839,0.9839
SJY709,衍复新擎A号,2020-09-15,0.998,0.998
SJY709,衍复新擎A号,2020-09-18,1.0069,1.0069
SJY709,衍复新擎A号,2020-09-25,0.9724,0.9724
SJY709,衍复新擎A号,2020-09-30,0.9733,0.9733
SJY709,衍复新擎A号,2020-10-09,0.9985,0.9985
SJY709,衍复新擎A号,2020-10-15,1.0182,1.0182
SJY709,衍复新擎A号,2020-10-16,1.0159,1.0159
SJY709,衍复新擎A号,2020-10-23,0.9884,0.9884
SJY709,衍复新擎A号,2020-10-30,0.9835,0.9835
SJY709,衍复新擎A号,2020-11-02,0.9935,0.9935
SJY709,衍复新擎A号,2020-11-06,1.0177,1.0177
SJY709,衍复新擎A号,2020-11-13,1.0211,1.0211
SJY709,衍复新擎A号,2020-11-16,1.0331,1.0331
SJY709,衍复新擎A号,2020-11-20,1.0398,1.0398
SJY709,衍复新擎A号,2020-11-27,1.0266,1.0266
SJY709,衍复新擎A号,2020-12-01,1.0395,1.0395
SJY709,衍复新擎A号,2020-12-04,1.0415,1.0415
SJY709,衍复新擎A号,2020-12-11,1.0076,1.0076
SJY709,衍复新擎A号,2020-12-15,1.0238,1.0238
SJY709,衍复新擎A号,2020-12-18,1.0307,1.0307
SJY709,衍复新擎A号,2020-12-25,1.0389,1.0389
SJY709,衍复新擎A号,2020-12-31,1.0569,1.0569
SJY709,衍复新擎A号,2021-01-04,1.075,1.075
SJY709,衍复新擎A号,2021-01-08,1.0799,1.0799
SJY709,衍复新擎A号,2021-01-15,1.0712,1.0712
SJY709,衍复新擎A号,2021-01-22,1.1109,1.1109
SJY709,衍复新擎A号,2021-01-29,1.0671,1.0671
