date,nav_unit,nav_accumulated,nav_adjusted
2020-07-17,0.9998,0.9998,0.9998
2020-07-24,0.9995,0.9995,0.9995
2020-07-31,0.9991,0.9991,0.9991
2020-08-07,0.9927,0.9927,0.9927
2020-08-14,0.9818,0.9818,0.9818
2020-08-21,0.9941,0.9941,0.9941
2020-08-28,1.0333,1.0333,1.0333
2020-09-04,1.0251,1.0251,1.0251
2020-09-11,0.9688,0.9688,0.9688
2020-09-18,0.9988,0.9988,0.9988
2020-09-25,0.9774,0.9774,0.9774
2020-09-30,0.9892,0.9892,0.9892
2020-10-09,1.0195,1.0195,1.0195
2020-10-16,1.0411,1.0411,1.0411
2020-10-23,0.9954,0.9954,0.9954
2020-10-30,1.0083,1.0083,1.0083
2020-11-06,1.0358,1.0358,1.0358
2020-11-13,1.0304,1.0304,1.0304
2020-11-20,1.0372,1.0372,1.0372
2020-11-27,1.0096,1.0096,1.0096
2020-12-04,1.0517,1.0517,1.0517
2020-12-11,1.0284,1.0284,1.0284
2020-12-18,1.0516,1.0516,1.0516
2020-12-25,1.0528,1.0528,1.0528
2020-12-31,1.0816,1.0816,1.0816
2021-01-08,1.0831,1.0831,1.0831
2021-01-15,1.0899,1.0899,1.0899
2021-01-22,1.134,1.134,1.134
2021-01-29,1.0807,1.0807,1.0807
2021-02-05,1.0473,1.0473,1.0473
2021-02-10,1.0933,1.0933,1.0933
2021-02-19,1.1344,1.1344,1.1344
2021-02-26,1.1021,1.1021,1.1021
2021-03-05,1.1068,1.1068,1.1068
2021-03-12,1.0776,1.0776,1.0776
2021-03-19,1.0568,1.0568,1.0568
2021-03-26,1.0746,1.0746,1.0746
2021-04-02,1.1263,1.1263,1.1263
2021-04-09,1.1036,1.1036,1.1036
2021-04-16,1.09,1.09,1.09
2021-04-23,1.1352,1.1352,1.1352
2021-04-30,1.1357,1.1357,1.1357
2021-05-07,1.113,1.113,1.113
2021-05-14,1.1321,1.1321,1.1321
2021-05-21,1.1519,1.1519,1.1519
2021-05-28,1.1954,1.1954,1.1954
2021-06-04,1.2091,1.2091,1.2091
2021-06-11,1.2106,1.2106,1.2106
2021-06-18,1.199,1.199,1.199
2021-06-25,1.2381,1.2381,1.2381
2021-07-02,1.228,1.228,1.228
2021-07-09,1.2463,1.2463,1.2463
2021-07-16,1.2756,1.2756,1.2756
2021-07-23,1.3119,1.3119,1.3119
2021-07-30,1.2838,1.2838,1.2838
2021-08-06,1.3378,1.3378,1.3378
2021-08-13,1.3965,1.3965,1.3965
2021-08-20,1.3659,1.3659,1.3659
2021-08-27,1.4511,1.4511,1.4511
2021-09-03,1.4267,1.4267,1.4267
2021-09-10,1.4795,1.4795,1.4795
2021-09-17,1.4484,1.4484,1.4484
2021-09-24,1.4401,1.4401,1.4401
2021-09-30,1.3642,1.3642,1.3642
2021-10-08,1.3563,1.3563,1.3563
2021-10-15,1.3514,1.3514,1.3514
2021-10-22,1.37,1.37,1.37
2021-10-29,1.3724,1.3724,1.3724
2021-11-05,1.3192,1.3192,1.3192
2021-11-12,1.3602,1.3602,1.3602
2021-11-19,1.3466,1.3466,1.3466
2021-11-26,1.3785,1.3785,1.3785
2021-12-03,1.3975,1.3975,1.3975
2021-12-10,1.3778,1.3778,1.3778
