date,nav_unit,nav_accumulated,nav_adjusted
2020-11-06,1.0,1.0,1.0
2020-11-13,1.0,1.0,1.0
2020-11-20,1.0,1.0,1.0
2020-11-27,1.0,1.0,1.0
2020-12-04,1.0,1.0,1.0
2020-12-11,1.004,1.004,1.004
2020-12-18,1.004,1.004,1.004
2020-12-25,1.014,1.014,1.014
2020-12-31,1.039,1.039,1.039
2021-01-08,1.044,1.044,1.044
2021-01-15,1.048,1.048,1.048
2021-01-22,1.077,1.077,1.077
2021-01-29,1.055,1.055,1.055
2021-02-05,1.027,1.027,1.027
2021-02-10,1.039,1.039,1.039
2021-02-19,1.054,1.054,1.054
2021-02-26,1.042,1.042,1.042
2021-03-05,1.051,1.051,1.051
2021-03-12,1.047,1.047,1.047
2021-03-19,1.044,1.044,1.044
2021-03-26,1.053,1.053,1.053
2021-04-02,1.051,1.051,1.051
2021-04-09,1.048,1.048,1.048
2021-04-16,1.048,1.048,1.048
2021-04-23,1.057,1.057,1.057
2021-04-30,1.054,1.054,1.054
2021-05-07,1.051,1.051,1.051
2021-05-14,1.056,1.056,1.056
2021-05-21,1.067,1.067,1.067
2021-05-28,1.085,1.085,1.085
2021-06-04,1.109,1.109,1.109
2021-06-11,1.109,1.109,1.109
2021-06-18,1.108,1.108,1.108
2021-06-25,1.119,1.119,1.119
2021-07-02,1.123,1.123,1.123
2021-07-09,1.127,1.127,1.127
2021-07-16,1.126,1.126,1.126
2021-07-23,1.146,1.146,1.146
2021-07-30,1.138,1.138,1.138
2021-08-06,1.145,1.145,1.145
2021-08-13,1.145,1.145,1.145
2021-08-20,1.14,1.14,1.14
2021-08-27,1.147,1.147,1.147
2021-09-03,1.155,1.155,1.155
2021-09-10,1.174,1.174,1.174
2021-09-17,1.168,1.168,1.168
2021-09-24,1.181,1.181,1.181
2021-09-30,1.184,1.184,1.184
2021-10-08,1.186,1.186,1.186
2021-10-15,1.215,1.215,1.215
2021-10-22,1.209,1.209,1.209
2021-10-29,1.228,1.228,1.228
2021-11-05,1.274,1.274,1.274
2021-11-12,1.296,1.296,1.296
2021-11-19,1.3,1.3,1.3
2021-11-26,1.294,1.294,1.294
2021-12-03,1.309,1.309,1.309
2021-12-10,1.303,1.303,1.303
2021-12-17,1.301,1.301,1.301
2021-12-24,1.309,1.309,1.309
2021-12-31,1.316,1.316,1.316
2022-01-07,1.291,1.291,1.291
2022-01-14,1.293,1.293,1.293
2022-01-21,1.288,1.288,1.288
2022-01-28,1.284,1.284,1.284
2022-02-11,1.272,1.272,1.272
2022-02-18,1.282,1.282,1.282
2022-02-25,1.29,1.29,1.29
2022-03-04,1.278,1.278,1.278
2022-03-11,1.299,1.299,1.299
2022-03-18,1.305,1.305,1.305
2022-03-25,1.286,1.286,1.286
2022-04-01,1.286,1.286,1.286
2022-04-08,1.277,1.277,1.277
2022-04-15,1.254,1.254,1.254
2022-04-22,1.23,1.23,1.23
2022-04-29,1.254,1.254,1.254
2022-05-06,1.256,1.256,1.256
2022-05-13,1.291,1.291,1.291
2022-05-20,1.315,1.315,1.315
2022-05-27,1.316,1.316,1.316
2022-06-02,1.323,1.323,1.323
2022-06-10,1.331,1.331,1.331
2022-06-17,1.33,1.33,1.33
2022-06-24,1.341,1.341,1.341
2022-07-01,1.34,1.34,1.34
2022-07-08,1.343,1.343,1.343
2022-07-15,1.333,1.333,1.333
2022-07-22,1.337,1.337,1.337
2022-07-29,1.351,1.351,1.351
2022-08-05,1.351,1.351,1.351
2022-08-12,1.37,1.37,1.37
2022-08-19,1.374,1.374,1.374
2022-08-26,1.356,1.356,1.356
2022-09-02,1.339,1.339,1.339
2022-09-09,1.343,1.343,1.343
2022-09-16,1.325,1.325,1.325
2022-09-23,1.319,1.319,1.319
2022-09-30,1.326,1.326,1.326
2022-10-14,1.365,1.365,1.365
2022-10-21,1.355,1.355,1.355
2022-10-28,1.348,1.348,1.348
2022-11-04,1.365,1.365,1.365
2022-11-11,1.377,1.377,1.377
2022-11-18,1.369,1.369,1.369
2022-11-25,1.369,1.369,1.369
2022-12-02,1.396,1.396,1.396
2022-12-09,1.414,1.414,1.414
2022-12-16,1.39,1.39,1.39
2022-12-23,1.365,1.365,1.365
2022-12-30,1.375,1.375,1.375
2023-01-06,1.416,1.416,1.416
2023-01-13,1.42,1.42,1.42
2023-01-20,1.438,1.438,1.438
2023-02-03,1.438,1.438,1.438
2023-02-10,1.433,1.433,1.433
2023-02-17,1.419,1.419,1.419
2023-02-24,1.424,1.424,1.424
2023-03-03,1.433,1.433,1.433
2023-03-10,1.413,1.413,1.413
2023-03-17,1.416,1.416,1.416
2023-03-24,1.425,1.425,1.425
2023-03-31,1.419,1.419,1.419
2023-04-07,1.426,1.426,1.426
2023-04-14,1.419,1.419,1.419
2023-04-21,1.395,1.395,1.395
2023-04-28,1.395,1.395,1.395
2023-05-05,1.384,1.384,1.384
2023-05-12,1.363,1.363,1.363
2023-05-19,1.366,1.366,1.366
2023-05-26,1.371,1.371,1.371
2023-06-02,1.382,1.382,1.382
2023-06-09,1.375,1.375,1.375
2023-06-16,1.412,1.412,1.412
2023-06-21,1.41,1.41,1.41
2023-06-30,1.385,1.385,1.385
2023-07-07,1.358,1.358,1.358
2023-07-14,1.351,1.351,1.351
2023-07-21,1.329,1.329,1.329
2023-07-28,1.328,1.328,1.328
2023-08-04,1.339,1.339,1.339
2023-08-11,1.327,1.327,1.327
2023-08-18,1.316,1.316,1.316
2023-08-25,1.304,1.304,1.304
2023-09-01,1.323,1.323,1.323
2023-09-08,1.308,1.308,1.308
2023-09-15,1.296,1.296,1.296
2023-09-22,1.303,1.303,1.303
2023-09-28,1.304,1.304,1.304
2023-10-13,1.298,1.298,1.298
2023-10-20,1.279,1.279,1.279
2023-10-27,1.281,1.281,1.281
2023-11-03,1.284,1.284,1.284
