date,nav_unit,nav_accumulated,nav_adjusted
2021-03-26,1.0,1.0,1.0
2021-04-02,1.0019,1.0019,1.0019
2021-04-09,0.9935,0.9935,0.9935
2021-04-16,0.9878,0.9878,0.9878
2021-04-23,1.0231,1.0231,1.0231
2021-04-30,1.077,1.077,1.077
2021-05-07,1.0503,1.0503,1.0503
2021-05-14,1.128,1.128,1.128
2021-05-21,1.1606,1.1606,1.1606
2021-05-28,1.2266,1.2266,1.2266
2021-06-04,1.2516,1.2516,1.2516
2021-06-11,1.3117,1.3117,1.3117
2021-06-18,1.2943,1.2943,1.2943
2021-06-25,1.3945,1.3945,1.3945
2021-07-02,1.4735,1.4735,1.4735
2021-07-09,1.6333,1.6333,1.6333
2021-07-16,1.6514,1.6514,1.6514
2021-07-23,1.7694,1.7694,1.7694
2021-07-30,1.8241,1.8241,1.8241
2021-08-06,1.8598,1.8598,1.8598
2021-08-13,1.7712,1.7712,1.7712
2021-08-20,1.7358,1.7358,1.7358
2021-08-27,1.8689,1.8689,1.8689
2021-09-03,1.903,1.903,1.903
2021-09-10,1.9177,1.9177,1.9177
2021-09-17,1.784,1.784,1.784
2021-09-24,1.776,1.776,1.776
2021-09-30,1.7575,1.7575,1.7575
2021-10-08,1.7133,1.7133,1.7133
2021-10-15,1.712,1.712,1.712
2021-10-22,1.7367,1.7367,1.7367
2021-10-29,1.2582,1.7581,1.7581
2021-11-05,1.1705,1.6704,1.6356
2021-11-12,1.2233,1.7232,1.7093
2021-11-19,1.2087,1.7086,1.6889
2021-11-26,1.1858,1.6857,1.6569
2021-12-03,1.1685,1.6684,1.6328
2021-12-10,1.1503,1.6502,1.6073
2021-12-17,1.1446,1.6445,1.5994
2021-12-24,1.136,1.6359,1.5873
2021-12-31,1.1605,1.6604,1.6216
2022-01-07,1.1194,1.6193,1.5642
2022-01-14,1.0619,1.5618,1.4838
2022-01-21,1.0749,1.5748,1.502
2022-01-28,1.0233,1.5232,1.4299
2022-02-11,1.0464,1.5463,1.4621
2022-02-18,1.0447,1.5446,1.4598
2022-02-25,1.0316,1.5315,1.4415
2022-03-04,1.008,1.5079,1.4085
2022-03-11,1.0143,1.5142,1.4173
2022-03-18,1.0216,1.5215,1.4275
2022-03-25,0.9707,1.4707,1.3565
2022-04-01,0.9822,1.4822,1.3726
2022-04-08,0.9686,1.4686,1.3536
2022-04-15,0.9591,1.4591,1.3403
2022-04-22,0.9254,1.4254,1.2932
2022-04-29,0.9257,1.4257,1.2936
2022-05-06,0.9233,1.4233,1.2903
2022-05-13,0.9291,1.4291,1.2984
2022-05-20,0.9276,1.4276,1.2963
2022-05-27,0.9299,1.4299,1.2995
2022-06-02,0.9303,1.4303,1.3001
2022-06-10,0.9452,1.4452,1.3209
2022-06-17,0.9404,1.4404,1.3142
2022-06-24,0.9518,1.4518,1.3301
2022-07-01,0.944,1.444,1.3192
2022-07-08,0.9404,1.4404,1.3142
2022-07-15,0.9399,1.4399,1.3135
2022-07-22,0.9375,1.4375,1.3101
2022-07-29,0.9458,1.4458,1.3217
2022-08-05,0.9208,1.4208,1.2868
2022-08-12,0.9324,1.4324,1.303
2022-08-19,0.9472,1.4472,1.3237
2022-08-26,0.9086,1.4086,1.2697
2022-09-02,0.8824,1.3824,1.2331
2022-09-09,0.8869,1.3869,1.2394
2022-09-16,0.8701,1.3701,1.2159
2022-09-23,0.8674,1.3674,1.2122
