基金代码,基金名称,日期,单位净值,累计净值
SLZ237,龙旗群星1号,2020-12-16,1.0,1.0
SLZ237,龙旗群星1号,2020-12-18,1.0,1.0
SLZ237,龙旗群星1号,2020-12-25,1.0,1.0
SLZ237,龙旗群星1号,2020-12-31,1.0,1.0
SLZ237,龙旗群星1号,2021-01-08,1.0,1.0
SLZ237,龙旗群星1号,2021-01-15,1.0,1.0
SLZ237,龙旗群星1号,2021-01-22,1.001,1.001
SLZ237,龙旗群星1号,2021-01-29,0.998,0.998
SLZ237,龙旗群星1号,2021-02-05,0.991,0.991
SLZ237,龙旗群星1号,2021-02-10,1.009,1.009
SLZ237,龙旗群星1号,2021-02-19,1.001,1.001
SLZ237,龙旗群星1号,2021-02-26,0.98,0.98
SLZ237,龙旗群星1号,2021-03-05,0.975,0.975
SLZ237,龙旗群星1号,2021-03-12,0.973,0.973
SLZ237,龙旗群星1号,2021-03-19,0.97,0.97
SLZ237,龙旗群星1号,2021-03-26,0.959,0.959
SLZ237,龙旗群星1号,2021-03-31,0.965,0.965
SLZ237,龙旗群星1号,2021-04-02,0.972,0.972
SLZ237,龙旗群星1号,2021-04-09,0.973,0.973
SLZ237,龙旗群星1号,2021-04-16,0.961,0.961
SLZ237,龙旗群星1号,2021-04-23,0.976,0.976
SLZ237,龙旗群星1号,2021-04-30,0.972,0.972
SLZ237,龙旗群星1号,2021-05-07,0.979,0.979
SLZ237,龙旗群星1号,2021-05-14,0.985,0.985
SLZ237,龙旗群星1号,2021-05-21,0.988,0.988
SLZ237,龙旗群星1号,2021-05-28,1.015,1.015
SLZ237,龙旗群星1号,2021-05-31,1.025,1.025
SLZ237,龙旗群星1号,2021-06-04,1.032,1.032
SLZ237,龙旗群星1号,2021-06-11,1.038,1.038
SLZ237,龙旗群星1号,2021-06-18,1.041,1.041
SLZ237,龙旗群星1号,2021-06-25,1.062,1.062
SLZ237,龙旗群星1号,2021-06-30,1.086,1.086
SLZ237,龙旗群星1号,2021-07-02,1.077,1.077
SLZ237,龙旗群星1号,2021-07-09,1.108,1.108
SLZ237,龙旗群星1号,2021-07-16,1.143,1.143
SLZ237,龙旗群星1号,2021-07-23,1.177,1.177
SLZ237,龙旗群星1号,2021-07-30,1.175,1.175
SLZ237,龙旗群星1号,2021-08-06,1.195,1.195
