date,nav_unit,nav_accumulated,nav_adjusted
2020-11-18,1.0,1.0,1.0
2020-11-20,1.0,1.0,1.0
2020-11-27,1.0092,1.0092,1.0092
2020-12-04,1.0773,1.0773,1.0773
2020-12-11,1.0773,1.0773,1.0773
2020-12-18,1.0773,1.0773,1.0773
2020-12-25,1.0773,1.0773,1.0773
2020-12-31,1.0773,1.0773,1.0773
2021-01-08,1.1575,1.1575,1.1575
2021-01-15,1.1575,1.1575,1.1575
2021-01-22,1.1575,1.1575,1.1575
2021-01-29,1.1575,1.1575,1.1575
2021-02-05,1.1678,1.1678,1.1678
2021-02-10,1.1678,1.1678,1.1678
2021-02-19,1.1678,1.1678,1.1678
2021-02-26,1.1678,1.1678,1.1678
2021-03-05,1.0525,1.0525,1.0525
2021-03-12,1.0525,1.0525,1.0525
2021-03-19,1.0525,1.0525,1.0525
2021-03-26,1.0525,1.0525,1.0525
2021-04-02,1.0461,1.0461,1.0461
2021-04-09,1.0461,1.0461,1.0461
2021-04-16,1.0461,1.0461,1.0461
2021-04-23,1.0461,1.0461,1.0461
2021-04-30,1.0461,1.0461,1.0461
2021-05-07,1.0248,1.0248,1.0248
2021-05-14,1.0248,1.0248,1.0248
2021-05-21,1.0248,1.0248,1.0248
2021-05-28,1.0248,1.0248,1.0248
2021-06-04,1.0553,1.0553,1.0553
2021-06-11,1.0553,1.0553,1.0553
2021-06-18,1.0553,1.0553,1.0553
2021-06-25,1.0553,1.0553,1.0553
2021-07-02,0.9181,0.9181,0.9181
2021-07-09,0.9181,0.9181,0.9181
2021-07-16,0.9181,0.9181,0.9181
2021-07-23,0.9181,0.9181,0.9181
2021-07-30,0.9181,0.9181,0.9181
2021-08-06,0.921,0.921,0.921
2021-08-13,0.921,0.921,0.921
2021-08-20,0.921,0.921,0.921
2021-08-27,0.921,0.921,0.921
2021-09-03,0.8805,0.8805,0.8805
2021-09-10,0.8805,0.8805,0.8805
2021-09-17,0.8805,0.8805,0.8805
2021-09-24,0.8805,0.8805,0.8805
2021-09-30,0.8805,0.8805,0.8805
2021-10-08,0.899,0.899,0.899
2021-10-15,0.9374,0.9374,0.9374
2021-10-22,0.9374,0.9374,0.9374
2021-10-29,0.9374,0.9374,0.9374
2021-11-05,0.9489,0.9489,0.9489
2021-11-12,0.9489,0.9489,0.9489
2021-11-19,0.9489,0.9489,0.9489
2021-11-26,0.9489,0.9489,0.9489
2021-12-03,0.9233,0.9233,0.9233
2021-12-10,0.9233,0.9233,0.9233
2021-12-17,0.9233,0.9233,0.9233
2021-12-24,0.9233,0.9233,0.9233
2021-12-31,0.9233,0.9233,0.9233
2022-01-07,0.8379,0.8379,0.8379
2022-01-14,0.8379,0.8379,0.8379
2022-01-21,0.8379,0.8379,0.8379
2022-01-28,0.8379,0.8379,0.8379
2022-02-11,0.8109,0.8109,0.8109
2022-02-18,0.8109,0.8109,0.8109
2022-02-25,0.8109,0.8109,0.8109
2022-03-04,0.7936,0.7936,0.7936
2022-03-11,0.7936,0.7936,0.7936
2022-03-18,0.7936,0.7936,0.7936
2022-03-25,0.7936,0.7936,0.7936
2022-04-01,0.8034,0.8034,0.8034
2022-04-08,0.7612,0.7612,0.7612
2022-04-15,0.7612,0.7612,0.7612
2022-04-22,0.7612,0.7612,0.7612
2022-04-29,0.7612,0.7612,0.7612
2022-05-06,0.7426,0.7426,0.7426
2022-05-13,0.7426,0.7426,0.7426
2022-05-20,0.7426,0.7426,0.7426
2022-05-27,0.7426,0.7426,0.7426
2022-06-02,0.759,0.759,0.759
2022-06-10,0.759,0.759,0.759
2022-06-17,0.759,0.759,0.759
2022-06-24,0.759,0.759,0.759
2022-07-01,0.7627,0.7627,0.7627
2022-07-08,0.7585,0.7585,0.7585
2022-07-15,0.7585,0.7585,0.7585
2022-07-22,0.7585,0.7585,0.7585
2022-07-29,0.7585,0.7585,0.7585
2022-08-05,0.7446,0.7446,0.7446
2022-08-12,0.7446,0.7446,0.7446
2022-08-19,0.7446,0.7446,0.7446
2022-08-26,0.7446,0.7446,0.7446
2022-09-02,0.659,0.659,0.659
2022-09-09,0.659,0.659,0.659
2022-09-16,0.659,0.659,0.659
2022-09-23,0.659,0.659,0.659
2022-09-30,0.659,0.659,0.659
2022-10-14,0.5402,0.5402,0.5402
2022-10-21,0.5402,0.5402,0.5402
2022-10-28,0.5402,0.5402,0.5402
2022-11-04,0.7055,0.7055,0.7055
2022-11-11,0.7055,0.7055,0.7055
2022-11-18,0.7055,0.7055,0.7055
2022-11-25,0.7055,0.7055,0.7055
2022-12-02,0.713,0.713,0.713
2022-12-09,0.713,0.713,0.713
2022-12-16,0.713,0.713,0.713
2022-12-23,0.713,0.713,0.713
2022-12-30,0.713,0.713,0.713
2023-01-06,0.8247,0.8247,0.8247
2023-01-13,0.8247,0.8247,0.8247
2023-01-20,0.8247,0.8247,0.8247
2023-02-03,0.7768,0.7768,0.7768
2023-02-10,0.7768,0.7768,0.7768
2023-02-17,0.7768,0.7768,0.7768
2023-02-24,0.7768,0.7768,0.7768
2023-03-03,0.8164,0.8164,0.8164
2023-03-10,0.8164,0.8164,0.8164
2023-03-17,0.8164,0.8164,0.8164
2023-03-24,0.8164,0.8164,0.8164
2023-03-31,0.8164,0.8164,0.8164
2023-04-07,0.7933,0.7933,0.7933
2023-04-14,0.7933,0.7933,0.7933
2023-04-21,0.7933,0.7933,0.7933
2023-04-28,0.7933,0.7933,0.7933
2023-05-05,0.7902,0.7902,0.7902
2023-05-12,0.7902,0.7902,0.7902
2023-05-19,0.7902,0.7902,0.7902
2023-05-26,0.7902,0.7902,0.7902
2023-06-02,0.8549,0.8549,0.8549
2023-06-09,0.8549,0.8549,0.8549
2023-06-16,0.8549,0.8549,0.8549
2023-06-21,0.8549,0.8549,0.8549
2023-06-30,0.8549,0.8549,0.8549
2023-07-07,0.9282,0.9282,0.9282
2023-07-14,0.9282,0.9282,0.9282
2023-07-21,0.9282,0.9282,0.9282
2023-07-28,0.9282,0.9282,0.9282
2023-08-04,0.9268,0.9268,0.9268
2023-08-11,0.9268,0.9268,0.9268
2023-08-18,0.9268,0.9268,0.9268
2023-08-25,0.9112,0.9112,0.9112
2023-09-01,0.9112,0.9112,0.9112
2023-09-08,0.8555,0.8555,0.8555
2023-09-15,0.8555,0.8555,0.8555
2023-09-22,0.8555,0.8555,0.8555
2023-09-28,0.8555,0.8555,0.8555
2023-10-13,0.8426,0.8426,0.8426
2023-10-20,0.8426,0.8426,0.8426
2023-10-27,0.8426,0.8426,0.8426
2023-11-03,0.9218,0.9218,0.9218
2023-11-10,0.9218,0.9218,0.9218
2023-11-17,0.9218,0.9218,0.9218
2023-11-24,0.9218,0.9218,0.9218
2023-12-01,0.9099,0.9099,0.9099
2023-12-08,0.8814,0.8814,0.8814
2023-12-15,0.8814,0.8814,0.8814
2023-12-22,0.8814,0.8814,0.8814
2023-12-29,0.8814,0.8814,0.8814
2024-01-05,0.8577,0.8577,0.8577
2024-01-12,0.8577,0.8577,0.8577
2024-01-19,0.8577,0.8577,0.8577
2024-01-26,0.8577,0.8577,0.8577
2024-02-02,0.9262,0.9262,0.9262
2024-02-08,0.9262,0.9262,0.9262
2024-02-23,0.9262,0.9262,0.9262
2024-03-01,0.9399,0.9399,0.9399
2024-03-08,0.9246,0.9246,0.9246
2024-03-15,0.9246,0.9246,0.9246
2024-03-22,0.9246,0.9246,0.9246
2024-03-29,0.9246,0.9246,0.9246
2024-04-03,0.9206,0.9206,0.9206
2024-04-12,0.9206,0.9206,0.9206
2024-04-19,0.9206,0.9206,0.9206
2024-04-26,0.9206,0.9206,0.9206
2024-04-30,0.9206,0.9206,0.9206
2024-05-10,0.9469,0.9469,0.9469
2024-05-17,0.9469,0.9469,0.9469
2024-05-24,0.9469,0.9469,0.9469
2024-05-31,0.9469,0.9469,0.9469
2024-06-07,0.9533,0.9533,0.9533
2024-06-14,0.9533,0.9533,0.9533
2024-06-21,0.9533,0.9533,0.9533
2024-06-28,0.9533,0.9533,0.9533
2024-07-05,0.9228,0.9228,0.9228
2024-07-12,0.9228,0.9228,0.9228
2024-07-19,0.9228,0.9228,0.9228
2024-07-26,0.9289,0.9289,0.9289
2024-08-02,0.9195,0.9195,0.9195
2024-08-09,0.9195,0.9195,0.9195
2024-08-16,0.9195,0.9195,0.9195
2024-08-23,0.9195,0.9195,0.9195
2024-08-30,0.9195,0.9195,0.9195
2024-09-06,1.0953,1.0953,1.0953
2024-09-13,1.0953,1.0953,1.0953
2024-09-20,1.0953,1.0953,1.0953
2024-09-27,1.0953,1.0953,1.0953
2024-09-30,1.0953,1.0953,1.0953
2024-10-11,1.051,1.051,1.051
2024-10-18,1.051,1.051,1.051
2024-10-25,1.051,1.051,1.051
2024-11-01,1.0672,1.0672,1.0672
2024-11-08,1.0334,1.0334,1.0334
2024-11-15,1.0334,1.0334,1.0334
2024-11-22,1.0334,1.0334,1.0334
2024-11-29,1.0334,1.0334,1.0334
2024-12-06,1.0609,1.0609,1.0609
2024-12-13,1.0609,1.0609,1.0609
2024-12-20,1.0609,1.0609,1.0609
2024-12-27,1.0609,1.0609,1.0609
2025-01-03,1.0515,1.0515,1.0515
2025-01-10,1.0515,1.0515,1.0515
2025-01-17,1.0515,1.0515,1.0515
2025-01-24,1.0515,1.0515,1.0515
2025-01-27,1.0515,1.0515,1.0515
2025-02-07,1.1667,1.1667,1.1667
2025-02-14,1.1667,1.1667,1.1667
2025-02-21,1.1667,1.1667,1.1667
2025-02-28,1.1667,1.1667,1.1667
2025-03-07,1.1721,1.1721,1.1721
2025-03-14,1.1721,1.1721,1.1721
2025-03-21,1.1721,1.1721,1.1721
2025-03-28,1.1721,1.1721,1.1721
