date,nav_unit,nav_accumulated,nav_adjusted
2021-03-12,1.0,1.0,1.0
2021-03-19,0.997,0.997,0.997
2021-03-26,0.993,0.993,0.993
2021-04-02,1.008,1.008,1.008
2021-04-09,0.983,0.983,0.983
2021-04-16,0.988,0.988,0.988
2021-04-23,0.994,0.994,0.994
2021-04-30,0.979,0.979,0.979
2021-05-07,0.94,0.94,0.94
2021-05-14,0.948,0.948,0.948
2021-05-21,0.953,0.953,0.953
2021-05-28,0.978,0.978,0.978
2021-06-04,0.984,0.984,0.984
2021-06-11,0.975,0.975,0.975
2021-06-18,0.976,0.976,0.976
2021-06-25,0.994,0.994,0.994
2021-07-02,0.972,0.972,0.972
2021-07-09,0.952,0.952,0.952
2021-07-16,0.953,0.953,0.953
2021-07-23,0.943,0.943,0.943
2021-07-30,0.918,0.918,0.918
2021-08-06,0.915,0.915,0.915
2021-08-13,0.913,0.913,0.913
2021-08-20,0.9,0.9,0.9
2021-08-27,0.913,0.913,0.913
2021-09-03,0.915,0.915,0.915
2021-09-10,0.918,0.918,0.918
2021-09-17,0.887,0.887,0.887
2021-09-24,0.881,0.881,0.881
2021-09-30,0.877,0.877,0.877
2021-10-08,0.88,0.88,0.88
2021-10-15,0.898,0.898,0.898
2021-10-22,0.898,0.898,0.898
2021-10-29,0.892,0.892,0.892
2021-11-05,0.9,0.9,0.9
2021-11-12,0.865,0.865,0.865
2021-11-19,0.886,0.886,0.886
2021-11-26,0.909,0.909,0.909
2021-12-03,0.912,0.912,0.912
2021-12-10,0.939,0.939,0.939
2021-12-17,0.901,0.901,0.901
2021-12-24,0.934,0.934,0.934
2021-12-31,0.897,0.897,0.897
2022-01-07,0.855,0.855,0.855
2022-01-14,0.83,0.83,0.83
2022-01-21,0.85,0.85,0.85
2022-01-28,0.817,0.817,0.817
2022-02-11,0.804,0.804,0.804
2022-02-18,0.807,0.807,0.807
2022-02-25,0.797,0.797,0.797
2022-03-04,0.795,0.795,0.795
2022-03-11,0.792,0.792,0.792
2022-03-18,0.797,0.797,0.797
2022-03-25,0.798,0.798,0.798
2022-04-01,0.8,0.8,0.8
2022-04-08,0.801,0.801,0.801
2022-04-15,0.8,0.8,0.8
2022-04-22,0.798,0.798,0.798
2022-04-29,0.8,0.8,0.8
2022-05-06,0.799,0.799,0.799
2022-05-13,0.794,0.794,0.794
2022-05-20,0.794,0.794,0.794
2022-05-27,0.793,0.793,0.793
2022-06-02,0.796,0.796,0.796
2022-06-10,0.798,0.798,0.798
2022-06-17,0.79,0.79,0.79
2022-06-24,0.8,0.8,0.8
2022-07-01,0.791,0.791,0.791
2022-07-08,0.787,0.787,0.787
2022-07-15,0.761,0.761,0.761
2022-07-22,0.777,0.777,0.777
2022-07-29,0.76,0.76,0.76
2022-08-05,0.774,0.774,0.774
2022-08-12,0.764,0.764,0.764
2022-08-19,0.769,0.769,0.769
2022-08-26,0.767,0.767,0.767
2022-09-02,0.742,0.742,0.742
2022-09-09,0.763,0.763,0.763
2022-09-16,0.745,0.745,0.745
2022-09-23,0.727,0.727,0.727
2022-09-30,0.711,0.711,0.711
2022-10-14,0.659,0.659,0.659
2022-10-21,0.659,0.659,0.659
2022-10-28,0.656,0.656,0.656
2022-11-04,0.657,0.657,0.657
2022-11-11,0.658,0.658,0.658
2022-11-18,0.658,0.658,0.658
2022-11-25,0.657,0.657,0.657
2022-12-02,0.661,0.661,0.661
2022-12-09,0.663,0.663,0.663
2022-12-16,0.66,0.66,0.66
2022-12-23,0.661,0.661,0.661
2022-12-30,0.654,0.654,0.654
2023-01-06,0.656,0.656,0.656
2023-01-13,0.662,0.662,0.662
2023-01-20,0.659,0.659,0.659
2023-02-03,0.666,0.666,0.666
2023-02-10,0.663,0.663,0.663
2023-02-17,0.664,0.664,0.664
2023-02-24,0.659,0.659,0.659
2023-03-03,0.659,0.659,0.659
2023-03-10,0.649,0.649,0.649
2023-03-17,0.655,0.655,0.655
2023-03-24,0.657,0.657,0.657
2023-03-31,0.663,0.663,0.663
2023-04-07,0.662,0.662,0.662
2023-04-14,0.655,0.655,0.655
2023-04-21,0.651,0.651,0.651
2023-04-28,0.661,0.661,0.661
2023-05-05,0.661,0.661,0.661
2023-05-12,0.661,0.661,0.661
2023-05-19,0.668,0.668,0.668
2023-05-26,0.677,0.677,0.677
2023-06-02,0.69,0.69,0.69
2023-06-09,0.688,0.688,0.688
2023-06-16,0.735,0.735,0.735
2023-06-21,0.729,0.729,0.729
2023-06-30,0.72,0.72,0.72
2023-07-07,0.728,0.728,0.728
2023-07-14,0.748,0.748,0.748
2023-07-21,0.742,0.742,0.742
2023-07-28,0.755,0.755,0.755
2023-08-04,0.738,0.738,0.738
2023-08-11,0.715,0.715,0.715
2023-08-18,0.701,0.701,0.701
2023-08-25,0.709,0.709,0.709
2023-09-01,0.738,0.738,0.738
2023-09-08,0.732,0.732,0.732
2023-09-15,0.728,0.728,0.728
2023-09-22,0.7,0.7,0.7
2023-09-28,0.694,0.694,0.694
2023-10-13,0.718,0.718,0.718
2023-10-20,0.693,0.693,0.693
2023-10-27,0.673,0.673,0.673
2023-11-03,0.708,0.708,0.708
2023-11-10,0.726,0.726,0.726
2023-11-17,0.747,0.747,0.747
2023-11-24,0.747,0.747,0.747
2023-12-01,0.739,0.739,0.739
2023-12-08,0.743,0.743,0.743
2023-12-15,0.758,0.758,0.758
2023-12-22,0.769,0.769,0.769
2023-12-29,0.773,0.773,0.773
2024-01-05,0.748,0.748,0.748
2024-01-12,0.78,0.78,0.78
2024-01-19,0.8,0.8,0.8
2024-01-26,0.813,0.813,0.813
2024-02-02,0.827,0.827,0.827
2024-02-08,0.847,0.847,0.847
2024-02-23,0.862,0.862,0.862
2024-03-01,0.87,0.87,0.87
2024-03-08,0.883,0.883,0.883
2024-03-15,0.874,0.874,0.874
2024-03-22,0.907,0.907,0.907
2024-03-29,0.893,0.893,0.893
2024-04-03,0.887,0.887,0.887
2024-04-12,0.892,0.892,0.892
2024-04-19,0.82,0.82,0.82
2024-04-26,0.865,0.865,0.865
2024-04-30,0.861,0.861,0.861
2024-05-10,0.886,0.886,0.886
2024-05-17,0.914,0.914,0.914
2024-05-24,0.949,0.949,0.949
2024-05-31,0.954,0.954,0.954
2024-06-07,1.011,1.011,1.011
2024-06-14,1.08,1.08,1.08
2024-06-21,1.073,1.073,1.073
2024-06-28,1.075,1.075,1.075
2024-07-05,1.094,1.094,1.094
2024-07-12,1.034,1.034,1.034
2024-07-19,0.971,0.971,0.971
2024-07-26,0.919,0.919,0.919
2024-08-02,0.89,0.89,0.89
2024-08-09,0.864,0.864,0.864
2024-08-16,0.968,0.968,0.968
2024-08-23,0.971,0.971,0.971
2024-08-30,0.937,0.937,0.937
2024-09-06,0.865,0.865,0.865
2024-09-13,0.931,0.931,0.931
2024-09-20,0.933,0.933,0.933
2024-09-27,0.925,0.925,0.925
2024-09-30,0.92,0.92,0.92
2024-10-11,0.96,0.96,0.96
2024-10-18,0.972,0.972,0.972
2024-10-25,0.969,0.969,0.969
2024-11-01,0.951,0.951,0.951
2024-11-08,1.008,1.008,1.008
2024-11-15,0.98,0.98,0.98
2024-11-22,0.986,0.986,0.986
2024-11-29,0.978,0.978,0.978
2024-12-06,1.007,1.007,1.007
2024-12-13,1.009,1.009,1.009
2024-12-20,0.998,0.998,0.998
2024-12-27,1.025,1.025,1.025
2025-01-03,1.023,1.023,1.023
2025-01-10,1.008,1.008,1.008
2025-01-17,1.013,1.013,1.013
2025-01-24,1.029,1.029,1.029
2025-01-27,0.976,0.976,0.976
2025-02-07,0.993,0.993,0.993
2025-02-14,1.011,1.011,1.011
2025-02-21,0.989,0.989,0.989
2025-02-28,0.921,0.921,0.921
2025-03-07,0.893,0.893,0.893
2025-03-14,0.838,0.838,0.838
2025-03-21,0.848,0.848,0.848
2025-03-28,0.831,0.831,0.831
2025-04-03,0.787,0.787,0.787
