date,nav_unit,nav_accumulated,nav_adjusted
2021-02-05,1.0,1.0,1.0
2021-02-10,0.9999,0.9999,0.9999
2021-02-19,1.0,1.0,1.0
2021-02-26,0.9627,0.9627,0.9627
2021-03-05,0.9525,0.9525,0.9525
2021-03-12,0.943,0.943,0.943
2021-03-19,0.9418,0.9418,0.9418
2021-03-26,0.9457,0.9457,0.9457
2021-04-02,0.9562,0.9562,0.9562
2021-04-09,0.9484,0.9484,0.9484
2021-04-16,0.9488,0.9488,0.9488
2021-04-23,0.9631,0.9631,0.9631
2021-04-30,0.9663,0.9663,0.9663
2021-05-07,0.9535,0.9535,0.9535
2021-05-14,0.9762,0.9762,0.9762
2021-05-21,0.984,0.984,0.984
2021-05-28,0.9955,0.9955,0.9955
2021-06-04,0.9964,0.9964,0.9964
2021-06-11,0.9914,0.9914,0.9914
2021-06-18,0.9842,0.9842,0.9842
2021-06-25,0.9826,0.9826,0.9826
2021-07-02,0.9758,0.9758,0.9758
2021-07-09,0.956,0.956,0.956
2021-07-16,0.9813,0.9813,0.9813
2021-07-23,0.9737,0.9737,0.9737
2021-07-30,0.913,0.913,0.913
2021-08-06,0.9364,0.9364,0.9364
2021-08-13,0.9429,0.9429,0.9429
2021-08-20,0.8954,0.8954,0.8954
2021-08-27,0.8783,0.8783,0.8783
2021-09-03,0.8665,0.8665,0.8665
2021-09-10,0.8732,0.8732,0.8732
2021-09-17,0.8745,0.8745,0.8745
2021-09-24,0.8772,0.8772,0.8772
2021-09-30,0.8896,0.8896,0.8896
2021-10-08,0.8918,0.8918,0.8918
2021-10-15,0.8906,0.8906,0.8906
2021-10-22,0.8868,0.8868,0.8868
2021-10-29,0.898,0.898,0.898
2021-11-05,0.8991,0.8991,0.8991
2021-11-12,0.9006,0.9006,0.9006
2021-11-19,0.9074,0.9074,0.9074
2021-11-26,0.9099,0.9099,0.9099
2021-12-03,0.9116,0.9116,0.9116
2021-12-10,0.9238,0.9238,0.9238
2021-12-17,0.9131,0.9131,0.9131
2021-12-24,0.919,0.919,0.919
2021-12-31,0.9099,0.9099,0.9099
2022-01-07,0.8727,0.8727,0.8727
2022-01-14,0.8702,0.8702,0.8702
2022-01-21,0.8784,0.8784,0.8784
2022-01-28,0.867,0.867,0.867
2022-02-11,0.8569,0.8569,0.8569
2022-02-18,0.8642,0.8642,0.8642
2022-02-25,0.8613,0.8613,0.8613
2022-03-04,0.8454,0.8454,0.8454
2022-03-11,0.8328,0.8328,0.8328
2022-03-18,0.8307,0.8307,0.8307
2022-03-25,0.8275,0.8275,0.8275
2022-04-01,0.8287,0.8287,0.8287
2022-04-08,0.8256,0.8256,0.8256
2022-04-15,0.823,0.823,0.823
2022-04-22,0.823,0.823,0.823
2022-04-29,0.8233,0.8233,0.8233
2022-05-06,0.8221,0.8221,0.8221
2022-05-13,0.8236,0.8236,0.8236
2022-05-20,0.8253,0.8253,0.8253
2022-05-27,0.8219,0.8219,0.8219
2022-06-02,0.8265,0.8265,0.8265
2022-06-10,0.8322,0.8322,0.8322
2022-06-17,0.839,0.839,0.839
2022-06-24,0.8413,0.8413,0.8413
2022-07-01,0.8469,0.8469,0.8469
2022-07-08,0.8419,0.8419,0.8419
2022-07-15,0.839,0.839,0.839
2022-07-22,0.8404,0.8404,0.8404
2022-07-29,0.8404,0.8404,0.8404
2022-08-05,0.8433,0.8433,0.8433
2022-08-12,0.8437,0.8437,0.8437
2022-08-19,0.8349,0.8349,0.8349
2022-08-26,0.8379,0.8379,0.8379
2022-09-02,0.8268,0.8268,0.8268
2022-09-09,0.8247,0.8247,0.8247
2022-09-16,0.8248,0.8248,0.8248
2022-09-23,0.8151,0.8151,0.8151
2022-09-30,0.8164,0.8164,0.8164
2022-10-14,0.8161,0.8161,0.8161
2022-10-21,0.8159,0.8159,0.8159
2022-10-28,0.814,0.814,0.814
2022-11-04,0.8167,0.8167,0.8167
2022-11-11,0.8164,0.8164,0.8164
2022-11-18,0.817,0.817,0.817
2022-11-25,0.8148,0.8148,0.8148
2022-12-02,0.8176,0.8176,0.8176
2022-12-09,0.8196,0.8196,0.8196
2022-12-16,0.8189,0.8189,0.8189
2022-12-23,0.8117,0.8117,0.8117
2022-12-30,0.8147,0.8147,0.8147
2023-01-06,0.8166,0.8166,0.8166
2023-01-13,0.8182,0.8182,0.8182
2023-01-20,0.8198,0.8198,0.8198
2023-02-03,0.8226,0.8226,0.8226
2023-02-10,0.8182,0.8182,0.8182
2023-02-17,0.8222,0.8222,0.8222
