date,nav_unit,nav_accumulated,nav_adjusted
2021-03-24,1.0,1.0,1.0
2021-03-26,1.0001,1.0001,1.0001
2021-04-02,1.0001,1.0001,1.0001
2021-04-09,1.0001,1.0001,1.0001
2021-04-16,1.0001,1.0001,1.0001
2021-04-23,1.0001,1.0001,1.0001
2021-04-30,1.0001,1.0001,1.0001
2021-05-07,1.0231,1.0231,1.0231
2021-05-14,1.0231,1.0231,1.0231
2021-05-21,1.0231,1.0231,1.0231
2021-05-28,1.0231,1.0231,1.0231
2021-06-04,1.0441,1.0441,1.0441
2021-06-11,1.0441,1.0441,1.0441
2021-06-18,1.0441,1.0441,1.0441
2021-06-25,1.0441,1.0441,1.0441
2021-07-02,0.9878,0.9878,0.9878
2021-07-09,0.9878,0.9878,0.9878
2021-07-16,0.9878,0.9878,0.9878
2021-07-23,0.9878,0.9878,0.9878
2021-07-30,0.9878,0.9878,0.9878
2021-08-06,0.9819,0.9819,0.9819
2021-08-13,0.9819,0.9819,0.9819
2021-08-20,0.9819,0.9819,0.9819
2021-08-27,0.9819,0.9819,0.9819
2021-09-03,0.9559,0.9559,0.9559
2021-09-10,0.9559,0.9559,0.9559
2021-09-17,0.9559,0.9559,0.9559
2021-09-24,0.9559,0.9559,0.9559
2021-09-30,0.9559,0.9559,0.9559
2021-10-08,0.9638,0.9638,0.9638
2021-10-15,0.9901,0.9901,0.9901
2021-10-22,0.9901,0.9901,0.9901
2021-10-29,0.9901,0.9901,0.9901
2021-11-05,1.0099,1.0099,1.0099
2021-11-12,1.0099,1.0099,1.0099
2021-11-19,1.0099,1.0099,1.0099
2021-11-26,1.0099,1.0099,1.0099
2021-12-03,1.0005,1.0005,1.0005
2021-12-10,1.0005,1.0005,1.0005
2021-12-17,1.0005,1.0005,1.0005
2021-12-24,1.0005,1.0005,1.0005
2021-12-31,1.0005,1.0005,1.0005
2022-01-07,0.9112,0.9112,0.9112
2022-01-14,0.9112,0.9112,0.9112
2022-01-21,0.9112,0.9112,0.9112
2022-01-28,0.9112,0.9112,0.9112
2022-02-11,0.8981,0.8981,0.8981
2022-02-18,0.8981,0.8981,0.8981
2022-02-25,0.8981,0.8981,0.8981
2022-03-04,0.8107,0.8107,0.8107
2022-03-11,0.8107,0.8107,0.8107
2022-03-18,0.8107,0.8107,0.8107
2022-03-25,0.8107,0.8107,0.8107
2022-04-01,0.8222,0.8222,0.8222
2022-04-08,0.788,0.788,0.788
2022-04-15,0.788,0.788,0.788
2022-04-22,0.788,0.788,0.788
2022-04-29,0.788,0.788,0.788
2022-05-06,0.7989,0.7989,0.7989
2022-05-13,0.7989,0.7989,0.7989
2022-05-20,0.7989,0.7989,0.7989
2022-05-27,0.7989,0.7989,0.7989
2022-06-02,0.8459,0.8459,0.8459
2022-06-10,0.8459,0.8459,0.8459
2022-06-17,0.8459,0.8459,0.8459
2022-06-24,0.8459,0.8459,0.8459
2022-07-01,0.8434,0.8434,0.8434
2022-07-08,0.8252,0.8252,0.8252
2022-07-15,0.8252,0.8252,0.8252
2022-07-22,0.8252,0.8252,0.8252
2022-07-29,0.8252,0.8252,0.8252
2022-08-05,0.8095,0.8095,0.8095
2022-08-12,0.8095,0.8095,0.8095
2022-08-19,0.8095,0.8095,0.8095
2022-08-26,0.8095,0.8095,0.8095
2022-09-02,0.7331,0.7331,0.7331
2022-09-09,0.7331,0.7331,0.7331
2022-09-16,0.7331,0.7331,0.7331
