date,nav_unit,nav_accumulated,nav_adjusted
2021-06-04,1.0,1.0,1.0
2021-06-11,0.9999,0.9999,0.9999
2021-06-18,0.9998,0.9998,0.9998
2021-06-25,0.9997,0.9997,0.9997
2021-07-02,0.9998,0.9998,0.9998
2021-07-09,0.9955,0.9955,0.9955
2021-07-16,0.9924,0.9924,0.9924
2021-07-23,1.0023,1.0023,1.0023
2021-07-30,1.0105,1.0105,1.0105
2021-08-06,1.0232,1.0232,1.0232
2021-08-13,1.0218,1.0218,1.0218
2021-08-20,1.0182,1.0182,1.0182
2021-08-27,1.0277,1.0277,1.0277
2021-09-03,1.0338,1.0338,1.0338
2021-09-10,1.0265,1.0265,1.0265
2021-09-17,1.0278,1.0278,1.0278
2021-09-24,1.0256,1.0256,1.0256
2021-09-30,1.026,1.026,1.026
2021-10-08,1.0232,1.0232,1.0232
2021-10-15,1.012,1.012,1.012
2021-10-22,1.0153,1.0153,1.0153
2021-10-29,1.0044,1.0044,1.0044
2021-11-05,0.9863,0.9863,0.9863
2021-11-12,0.9871,0.9871,0.9871
2021-11-19,0.9864,0.9864,0.9864
2021-11-26,0.9944,0.9944,0.9944
2021-12-03,0.9986,0.9986,0.9986
2021-12-10,0.9879,0.9879,0.9879
2021-12-17,0.9811,0.9811,0.9811
2021-12-24,0.9707,0.9707,0.9707
2021-12-31,0.9752,0.9752,0.9752
2022-01-07,0.9765,0.9765,0.9765
2022-01-14,0.9811,0.9811,0.9811
2022-01-21,0.9772,0.9772,0.9772
2022-01-28,0.9928,0.9928,0.9928
2022-02-11,0.9853,0.9853,0.9853
2022-02-18,0.9958,0.9958,0.9958
2022-02-25,1.0048,1.0048,1.0048
2022-03-04,1.0049,1.0049,1.0049
2022-03-11,1.0203,1.0203,1.0203
2022-03-18,1.0325,1.0325,1.0325
2022-03-25,1.0387,1.0387,1.0387
2022-04-01,1.0339,1.0339,1.0339
2022-04-08,1.0442,1.0442,1.0442
2022-04-15,1.0414,1.0414,1.0414
2022-04-22,1.042,1.042,1.042
2022-04-29,1.0545,1.0545,1.0545
2022-05-06,1.0552,1.0552,1.0552
2022-05-13,1.0563,1.0563,1.0563
2022-05-20,1.0664,1.0664,1.0664
2022-05-27,1.0664,1.0664,1.0664
2022-06-02,1.0663,1.0663,1.0663
2022-06-10,1.0678,1.0678,1.0678
2022-06-17,1.0702,1.0702,1.0702
2022-06-24,1.0725,1.0725,1.0725
2022-07-01,1.0802,1.0802,1.0802
2022-07-08,1.083,1.083,1.083
2022-07-15,1.0843,1.0843,1.0843
2022-07-22,1.0888,1.0888,1.0888
2022-07-29,1.0473,1.0923,1.0924
2022-08-05,1.0455,1.0905,1.0905
2022-08-12,1.0417,1.0867,1.0866
2022-08-19,1.0469,1.0919,1.092
2022-08-26,1.0465,1.0915,1.0916
2022-09-02,1.0443,1.0893,1.0893
2022-09-09,1.0389,1.0839,1.0837
2022-09-16,1.0353,1.0803,1.0799
2022-09-23,1.0361,1.0811,1.0807
2022-09-30,1.026,1.071,1.0702
2022-10-14,1.0188,1.0638,1.0627
2022-10-21,1.017,1.062,1.0608
2022-10-28,1.0011,1.0461,1.0442
2022-11-04,1.0086,1.0536,1.052
2022-11-11,1.002,1.047,1.0452
2022-11-18,0.9945,1.0395,1.0373
2022-11-25,1.0011,1.0461,1.0442
2022-12-02,1.0069,1.0519,1.0503
2022-12-09,1.0075,1.0525,1.0509
2022-12-16,1.004,1.049,1.0472
2022-12-23,1.005,1.05,1.0483
2022-12-30,1.0074,1.0524,1.0508
2023-01-06,1.013,1.058,1.0566
2023-01-13,1.0151,1.0601,1.0588
2023-01-20,1.0082,1.0532,1.0516
2023-02-03,1.0124,1.0574,1.056
2023-02-10,1.0149,1.0599,1.0586
2023-02-17,1.0144,1.0594,1.0581
2023-02-24,1.017,1.062,1.0608
2023-03-03,1.0166,1.0616,1.0604
2023-03-10,1.0193,1.0643,1.0632
2023-03-17,1.0183,1.0633,1.0622
2023-03-24,1.0253,1.0703,1.0695
2023-03-31,1.0211,1.0661,1.0651
2023-04-07,1.0207,1.0657,1.0647
2023-04-14,1.0225,1.0675,1.0665
2023-04-21,1.0272,1.0722,1.0714
2023-04-28,1.0278,1.0728,1.0721
2023-05-05,1.0347,1.0797,1.0793
2023-05-12,1.0355,1.0805,1.0801
2023-05-19,1.0373,1.0823,1.082
2023-05-26,1.0411,1.0861,1.0859
2023-06-02,1.0448,1.0898,1.0898
2023-06-09,1.0579,1.1029,1.1035
2023-06-16,1.0579,1.1029,1.1035
2023-06-21,1.0597,1.1047,1.1053
2023-06-30,1.067,1.112,1.113
2023-07-07,1.0684,1.1134,1.1144
2023-07-14,1.0687,1.1137,1.1147
2023-07-21,1.0663,1.1113,1.1122
2023-07-28,1.0658,1.1108,1.1117
2023-08-04,1.0596,1.1046,1.1052
2023-08-11,1.0575,1.1025,1.1031
2023-08-18,1.0588,1.1038,1.1044
2023-08-25,1.0686,1.1136,1.1146
2023-09-01,1.0774,1.1224,1.1238
2023-09-08,1.0775,1.1225,1.1239
2023-09-15,1.0761,1.1211,1.1225
2023-09-22,1.077,1.122,1.1234
2023-09-28,1.0791,1.1241,1.1256
2023-10-13,1.0806,1.1256,1.1271
2023-10-20,1.0831,1.1281,1.1298
2023-10-27,1.083,1.128,1.1296
2023-11-03,1.0831,1.1281,1.1298
2023-11-10,1.083,1.128,1.1296
2023-11-17,1.0829,1.1279,1.1295
2023-11-24,1.083,1.128,1.1296
2023-12-01,1.0829,1.1279,1.1295
2023-12-08,1.0824,1.1274,1.129
2023-12-15,1.0826,1.1276,1.1292
2023-12-22,1.0824,1.1274,1.129
2023-12-29,1.0827,1.1277,1.1293
2024-01-05,1.0828,1.1278,1.1294
2024-01-12,1.0826,1.1276,1.1292
2024-01-19,1.0824,1.1274,1.129
2024-01-26,1.0881,1.1331,1.135
2024-02-02,1.0843,1.1293,1.131
2024-02-08,1.0438,1.0888,1.0888
2024-02-23,1.1105,1.1555,1.1583
2024-03-01,1.1029,1.1479,1.1504
2024-03-08,1.1142,1.1592,1.1622
2024-03-15,1.1175,1.1625,1.1656
2024-03-22,1.127,1.172,1.1755
2024-03-29,1.1348,1.1798,1.1837
2024-04-03,1.1295,1.1745,1.1782
2024-04-12,1.1252,1.1702,1.1737
2024-04-19,1.1176,1.1626,1.1657
2024-04-26,1.1215,1.1665,1.1698
2024-04-30,1.1154,1.1604,1.1634
2024-05-10,1.1151,1.1601,1.1631
2024-05-17,1.1229,1.1679,1.1713
2024-05-24,1.0828,1.1678,1.1712
2024-05-31,1.0859,1.1709,1.1745
2024-06-07,1.0826,1.1676,1.171
2024-06-14,1.0827,1.1677,1.1711
2024-06-21,1.0889,1.1739,1.1778
2024-06-28,1.1056,1.1906,1.1958
2024-07-05,1.1124,1.1974,1.2032
2024-07-12,1.114,1.199,1.2049
2024-07-19,1.1167,1.2017,1.2079
2024-07-26,1.1199,1.2049,1.2113
2024-08-02,1.1186,1.2036,1.2099
2024-08-09,1.1136,1.1986,1.2045
2024-08-16,1.1233,1.2083,1.215
2024-08-23,1.1266,1.2116,1.2186
2024-08-30,1.1173,1.2023,1.2085
2024-09-06,1.1185,1.2035,1.2098
2024-09-13,1.119,1.204,1.2103
2024-09-20,1.1224,1.2074,1.214
2024-09-27,1.0838,1.1688,1.1723
2024-09-30,1.0799,1.1649,1.168
2024-10-11,1.0964,1.1814,1.1859
2024-10-18,1.0861,1.1711,1.1748
2024-10-25,1.101,1.186,1.1909
2024-11-01,1.0888,1.1738,1.1777
2024-11-08,1.1045,1.1895,1.1947
2024-11-15,1.1028,1.1878,1.1928
2024-11-22,1.1129,1.1979,1.2037
2024-11-29,1.1221,1.2071,1.2137
2024-12-06,1.1289,1.2139,1.221
2024-12-13,1.1246,1.2096,1.2164
2024-12-20,1.1302,1.2152,1.2225
