date,nav_unit,nav_accumulated,nav_adjusted
2021-12-31,1.0,1.0,1.0
2022-01-07,1.0,1.0,1.0
2022-01-14,0.987,0.987,0.987
2022-01-21,0.973,0.973,0.973
2022-01-28,0.923,0.923,0.923
2022-02-11,0.938,0.938,0.938
2022-02-18,0.955,0.955,0.955
2022-02-25,0.963,0.963,0.963
2022-03-04,0.956,0.956,0.956
2022-03-11,0.922,0.922,0.922
2022-03-18,0.91,0.91,0.91
2022-03-25,0.909,0.909,0.909
2022-04-01,0.917,0.917,0.917
2022-04-08,0.899,0.899,0.899
2022-04-15,0.879,0.879,0.879
2022-04-22,0.835,0.835,0.835
2022-04-29,0.817,0.817,0.817
2022-05-06,0.813,0.813,0.813
2022-05-13,0.85,0.85,0.85
2022-05-20,0.878,0.878,0.878
2022-05-27,0.873,0.873,0.873
2022-06-02,0.905,0.905,0.905
2022-06-10,0.934,0.934,0.934
2022-06-17,0.954,0.954,0.954
2022-06-24,0.972,0.972,0.972
2022-07-01,0.991,0.991,0.991
2022-07-08,0.99,0.99,0.99
2022-07-15,0.962,0.962,0.962
2022-07-22,0.98,0.98,0.98
2022-07-29,0.986,0.986,0.986
2022-08-05,0.974,0.974,0.974
2022-08-12,0.999,0.999,0.999
2022-08-19,0.998,0.998,0.998
2022-08-26,0.984,0.984,0.984
2022-09-02,0.966,0.966,0.966
2022-09-09,0.985,0.985,0.985
2022-09-16,0.931,0.931,0.931
2022-09-23,0.918,0.918,0.918
2022-09-30,0.89,0.89,0.89
2022-10-14,0.922,0.922,0.922
2022-10-21,0.917,0.917,0.917
2022-10-28,0.884,0.884,0.884
2022-11-04,0.941,0.941,0.941
2022-11-11,0.941,0.941,0.941
2022-11-18,0.945,0.945,0.945
2022-11-25,0.935,0.935,0.935
2022-12-02,0.961,0.961,0.961
2022-12-09,0.972,0.972,0.972
2022-12-16,0.96,0.96,0.96
2022-12-23,0.919,0.919,0.919
2022-12-30,0.933,0.933,0.933
2023-01-06,0.958,0.958,0.958
2023-01-13,0.964,0.964,0.964
2023-01-20,0.988,0.988,0.988
2023-02-03,1.007,1.007,1.007
2023-02-10,1.012,1.012,1.012
2023-02-17,1.0,1.0,1.0
2023-02-24,1.015,1.015,1.015
2023-03-03,1.029,1.029,1.029
2023-03-10,0.999,0.999,0.999
2023-03-17,0.996,0.996,0.996
2023-03-24,1.01,1.01,1.01
2023-03-31,1.011,1.011,1.011
2023-04-07,1.029,1.029,1.029
2023-04-14,1.029,1.029,1.029
2023-04-21,1.0,1.0,1.0
2023-04-28,1.002,1.002,1.002
2023-05-05,0.999,0.999,0.999
2023-05-12,0.982,0.982,0.982
2023-05-19,0.988,0.988,0.988
2023-05-26,0.981,0.981,0.981
2023-06-02,0.99,0.99,0.99
2023-06-09,0.981,0.981,0.981
2023-06-16,1.005,1.005,1.005
2023-06-21,0.986,0.986,0.986
2023-06-30,0.995,0.995,0.995
2023-07-07,0.989,0.989,0.989
2023-07-14,1.0,1.0,1.0
2023-07-21,0.983,0.983,0.983
2023-07-28,1.002,1.002,1.002
2023-08-04,1.013,1.013,1.013
2023-08-11,0.983,0.983,0.983
2023-08-18,0.966,0.966,0.966
2023-08-25,0.937,0.937,0.937
2023-09-01,0.969,0.969,0.969
2023-09-08,0.966,0.966,0.966
2023-09-15,0.962,0.962,0.962
2023-09-22,0.964,0.964,0.964
2023-09-28,0.964,0.964,0.964
2023-10-13,0.957,0.957,0.957
2023-10-20,0.916,0.916,0.916
2023-10-27,0.937,0.937,0.937
2023-11-03,0.945,0.945,0.945
2023-11-10,0.957,0.957,0.957
2023-11-17,0.973,0.973,0.973
2023-11-24,0.966,0.966,0.966
2023-12-01,0.968,0.968,0.968
2023-12-08,0.95,0.95,0.95
2023-12-15,0.948,0.948,0.948
2023-12-22,0.923,0.923,0.923
2023-12-29,0.946,0.946,0.946
2024-01-05,0.925,0.925,0.925
2024-01-12,0.913,0.913,0.913
2024-01-19,0.882,0.882,0.882
2024-01-26,0.887,0.887,0.887
2024-02-02,0.795,0.795,0.795
2024-02-08,0.849,0.849,0.849
2024-02-23,0.882,0.882,0.882
2024-03-01,0.902,0.902,0.902
2024-03-08,0.905,0.905,0.905
2024-03-15,0.928,0.928,0.928
2024-03-22,0.931,0.931,0.931
2024-03-29,0.922,0.922,0.922
2024-04-03,0.936,0.936,0.936
2024-04-12,0.923,0.923,0.923
2024-04-19,0.928,0.928,0.928
2024-04-26,0.94,0.94,0.94
2024-04-30,0.952,0.952,0.952
2024-05-10,0.968,0.968,0.968
2024-05-17,0.968,0.968,0.968
2024-05-24,0.943,0.943,0.943
2024-05-31,0.949,0.949,0.949
2024-06-07,0.926,0.926,0.926
2024-06-14,0.931,0.931,0.931
2024-06-21,0.917,0.917,0.917
2024-06-28,0.9,0.9,0.9
2024-07-05,0.886,0.886,0.886
2024-07-12,0.904,0.904,0.904
2024-07-19,0.889,0.889,0.889
2024-07-26,0.863,0.863,0.863
2024-08-02,0.873,0.873,0.873
2024-08-09,0.856,0.856,0.856
2024-08-16,0.854,0.854,0.854
2024-08-23,0.832,0.832,0.832
2024-08-30,0.848,0.848,0.848
2024-09-06,0.828,0.828,0.828
2024-09-13,0.814,0.814,0.814
2024-09-20,0.823,0.823,0.823
2024-09-27,0.936,0.936,0.936
2024-09-30,1.029,1.029,1.029
2024-10-11,0.985,0.985,0.985
2024-10-18,1.021,1.021,1.021
2024-10-25,1.066,1.066,1.066
2024-11-01,1.059,1.059,1.059
2024-11-08,1.147,1.147,1.147
2024-11-15,1.11,1.11,1.11
