date,nav_unit,nav_accumulated,nav_adjusted
2021-09-30,1.0,1.0,1.0
2021-10-08,0.9998,0.9998,0.9998
2021-10-15,0.9996,0.9996,0.9996
2021-10-22,0.9994,0.9994,0.9994
2021-10-29,1.0013,1.0013,1.0013
2021-11-05,0.979,0.979,0.979
2021-11-12,1.0085,1.0085,1.0085
2021-11-19,1.015,1.015,1.015
2021-11-26,1.0197,1.0197,1.0197
2021-12-03,1.0295,1.0295,1.0295
2021-12-10,1.0161,1.0161,1.0161
2021-12-17,1.0173,1.0173,1.0173
2021-12-24,1.0097,1.0097,1.0097
2021-12-31,1.0186,1.0186,1.0186
2022-01-07,0.9714,0.9714,0.9714
2022-01-14,0.9553,0.9553,0.9553
2022-01-21,0.9447,0.9447,0.9447
2022-01-28,0.8923,0.8923,0.8923
2022-02-11,0.9012,0.9012,0.9012
2022-02-18,0.9255,0.9255,0.9255
2022-02-25,0.9389,0.9389,0.9389
2022-03-04,0.9272,0.9272,0.9272
2022-03-11,0.8884,0.8884,0.8884
2022-03-18,0.8814,0.8814,0.8814
2022-03-25,0.8807,0.8807,0.8807
2022-04-01,0.8886,0.8886,0.8886
2022-04-08,0.8645,0.8645,0.8645
2022-04-15,0.8395,0.8395,0.8395
2022-04-22,0.7913,0.7913,0.7913
2022-04-29,0.7768,0.7768,0.7768
2022-05-06,0.7756,0.7756,0.7756
2022-05-13,0.8201,0.8201,0.8201
2022-05-20,0.8544,0.8544,0.8544
2022-05-27,0.8476,0.8476,0.8476
2022-06-02,0.8753,0.8753,0.8753
2022-06-10,0.9237,0.9237,0.9237
2022-06-17,0.9428,0.9428,0.9428
2022-06-24,0.9632,0.9632,0.9632
2022-07-01,0.9821,0.9821,0.9821
2022-07-08,0.9883,0.9883,0.9883
2022-07-15,0.9626,0.9626,0.9626
2022-07-22,0.9735,0.9735,0.9735
2022-07-29,0.985,0.985,0.985
2022-08-05,0.9736,0.9736,0.9736
2022-08-12,1.0025,1.0025,1.0025
2022-08-19,1.0043,1.0043,1.0043
2022-08-26,0.9933,0.9933,0.9933
2022-09-02,0.9616,0.9616,0.9616
2022-09-09,0.9898,0.9898,0.9898
2022-09-16,0.9213,0.9213,0.9213
2022-09-23,0.9123,0.9123,0.9123
2022-09-30,0.8821,0.8821,0.8821
2022-10-14,0.9275,0.9275,0.9275
2022-10-21,0.913,0.913,0.913
2022-10-28,0.8731,0.8731,0.8731
2022-11-04,0.9498,0.9498,0.9498
2022-11-11,0.9463,0.9463,0.9463
2022-11-18,0.9455,0.9455,0.9455
2022-11-25,0.9369,0.9369,0.9369
2022-12-02,0.9627,0.9627,0.9627
2022-12-09,0.971,0.971,0.971
2022-12-16,0.9466,0.9466,0.9466
2022-12-23,0.8966,0.8966,0.8966
2022-12-30,0.9209,0.9209,0.9209
2023-01-06,0.9576,0.9576,0.9576
2023-01-13,0.9657,0.9657,0.9657
2023-01-20,0.9935,0.9935,0.9935
2023-02-03,1.0096,1.0096,1.0096
2023-02-10,1.0077,1.0077,1.0077
2023-02-17,0.9914,0.9914,0.9914
2023-02-24,1.0085,1.0085,1.0085
2023-03-03,1.0199,1.0199,1.0199
2023-03-10,0.9881,0.9881,0.9881
2023-03-17,0.988,0.988,0.988
2023-03-24,1.0133,1.0133,1.0133
2023-03-31,1.0218,1.0218,1.0218
2023-04-07,1.0382,1.0382,1.0382
2023-04-14,1.0411,1.0411,1.0411
2023-04-21,1.0154,1.0154,1.0154
2023-04-28,1.0138,1.0138,1.0138
2023-05-05,1.0059,1.0059,1.0059
2023-05-12,0.9881,0.9881,0.9881
