基金代码,基金名称,日期,单位净值,累计净值
SQJ763,睿郡财富11号1期,2021-06-23,1.0,1.0
SQJ763,睿郡财富11号1期,2021-06-25,1.0,1.0
SQJ763,睿郡财富11号1期,2021-07-02,0.999,0.999
SQJ763,睿郡财富11号1期,2021-07-05,1.0,1.0
SQJ763,睿郡财富11号1期,2021-07-06,1.0,1.0
SQJ763,睿郡财富11号1期,2021-07-07,1.0,1.0
SQJ763,睿郡财富11号1期,2021-07-08,0.999,0.999
SQJ763,睿郡财富11号1期,2021-07-09,1.001,1.001
SQJ763,睿郡财富11号1期,2021-07-12,1.001,1.001
SQJ763,睿郡财富11号1期,2021-07-16,1.004,1.004
SQJ763,睿郡财富11号1期,2021-07-23,1.006,1.006
SQJ763,睿郡财富11号1期,2021-07-30,0.998,0.998
SQJ763,睿郡财富11号1期,2021-08-05,1.0,1.0
SQJ763,睿郡财富11号1期,2021-08-06,1.0,1.0
SQJ763,睿郡财富11号1期,2021-08-10,1.009,1.009
SQJ763,睿郡财富11号1期,2021-08-11,1.01,1.01
SQJ763,睿郡财富11号1期,2021-08-13,1.007,1.007
SQJ763,睿郡财富11号1期,2021-08-20,0.993,0.993
SQJ763,睿郡财富11号1期,2021-08-27,0.994,0.994
SQJ763,睿郡财富11号1期,2021-09-03,0.995,0.995
SQJ763,睿郡财富11号1期,2021-09-06,1.0,1.0
SQJ763,睿郡财富11号1期,2021-09-07,1.004,1.004
SQJ763,睿郡财富11号1期,2021-09-09,1.001,1.001
SQJ763,睿郡财富11号1期,2021-09-10,1.003,1.003
SQJ763,睿郡财富11号1期,2021-09-17,0.982,0.982
SQJ763,睿郡财富11号1期,2021-09-24,0.978,0.978
SQJ763,睿郡财富11号1期,2021-09-30,0.977,0.977
SQJ763,睿郡财富11号1期,2021-10-08,0.982,0.982
SQJ763,睿郡财富11号1期,2021-10-11,0.985,0.985
SQJ763,睿郡财富11号1期,2021-10-12,0.979,0.979
SQJ763,睿郡财富11号1期,2021-10-14,0.98,0.98
SQJ763,睿郡财富11号1期,2021-10-15,0.983,0.983
SQJ763,睿郡财富11号1期,2021-10-22,0.985,0.985
SQJ763,睿郡财富11号1期,2021-10-29,0.978,0.978
SQJ763,睿郡财富11号1期,2021-11-05,1.002,1.002
SQJ763,睿郡财富11号1期,2021-11-08,1.001,1.001
SQJ763,睿郡财富11号1期,2021-11-10,1.005,1.005
SQJ763,睿郡财富11号1期,2021-11-11,1.01,1.01
SQJ763,睿郡财富11号1期,2021-11-12,1.014,1.014
SQJ763,睿郡财富11号1期,2021-11-19,1.018,1.018
SQJ763,睿郡财富11号1期,2021-11-26,1.02,1.02
SQJ763,睿郡财富11号1期,2021-12-03,1.023,1.023
SQJ763,睿郡财富11号1期,2021-12-06,1.014,1.014
SQJ763,睿郡财富11号1期,2021-12-07,1.008,1.008
SQJ763,睿郡财富11号1期,2021-12-08,1.013,1.013
SQJ763,睿郡财富11号1期,2021-12-09,1.02,1.02
SQJ763,睿郡财富11号1期,2021-12-10,1.02,1.02
SQJ763,睿郡财富11号1期,2021-12-17,1.017,1.017
SQJ763,睿郡财富11号1期,2021-12-24,1.024,1.024
SQJ763,睿郡财富11号1期,2021-12-31,1.036,1.036
SQJ763,睿郡财富11号1期,2022-01-05,1.042,1.042
SQJ763,睿郡财富11号1期,2022-01-06,1.04,1.04
SQJ763,睿郡财富11号1期,2022-01-07,1.042,1.042
SQJ763,睿郡财富11号1期,2022-01-10,1.051,1.051
SQJ763,睿郡财富11号1期,2022-01-11,1.043,1.043
SQJ763,睿郡财富11号1期,2022-01-14,1.04,1.04
SQJ763,睿郡财富11号1期,2022-01-21,1.04,1.04
SQJ763,睿郡财富11号1期,2022-01-28,1.017,1.017
SQJ763,睿郡财富11号1期,2022-02-07,1.035,1.035
SQJ763,睿郡财富11号1期,2022-02-09,1.053,1.053
SQJ763,睿郡财富11号1期,2022-02-10,1.053,1.053
SQJ763,睿郡财富11号1期,2022-02-11,1.044,1.044
SQJ763,睿郡财富11号1期,2022-02-18,1.023,1.023
SQJ763,睿郡财富11号1期,2022-02-25,1.01,1.01
SQJ763,睿郡财富11号1期,2022-03-04,0.991,0.991
SQJ763,睿郡财富11号1期,2022-03-07,0.978,0.978
SQJ763,睿郡财富11号1期,2022-03-08,0.955,0.955
SQJ763,睿郡财富11号1期,2022-03-09,0.95,0.95
SQJ763,睿郡财富11号1期,2022-03-10,0.961,0.961
SQJ763,睿郡财富11号1期,2022-03-11,0.962,0.962
SQJ763,睿郡财富11号1期,2022-03-18,0.955,0.955
SQJ763,睿郡财富11号1期,2022-03-25,0.948,0.948
SQJ763,睿郡财富11号1期,2022-04-01,0.952,0.952
SQJ763,睿郡财富11号1期,2022-04-06,0.957,0.957
SQJ763,睿郡财富11号1期,2022-04-07,0.947,0.947
SQJ763,睿郡财富11号1期,2022-04-08,0.947,0.947
SQJ763,睿郡财富11号1期,2022-04-11,0.932,0.932
SQJ763,睿郡财富11号1期,2022-04-12,0.935,0.935
SQJ763,睿郡财富11号1期,2022-04-15,0.936,0.936
SQJ763,睿郡财富11号1期,2022-04-22,0.925,0.925
SQJ763,睿郡财富11号1期,2022-04-29,0.919,0.919
SQJ763,睿郡财富11号1期,2022-05-05,0.918,0.918
SQJ763,睿郡财富11号1期,2022-05-06,0.912,0.912
SQJ763,睿郡财富11号1期,2022-05-09,0.915,0.915
SQJ763,睿郡财富11号1期,2022-05-10,0.916,0.916
SQJ763,睿郡财富11号1期,2022-05-11,0.92,0.92
SQJ763,睿郡财富11号1期,2022-05-13,0.927,0.927
SQJ763,睿郡财富11号1期,2022-05-20,0.938,0.938
SQJ763,睿郡财富11号1期,2022-05-27,0.935,0.935
SQJ763,睿郡财富11号1期,2022-06-02,0.947,0.947
SQJ763,睿郡财富11号1期,2022-06-06,0.953,0.953
SQJ763,睿郡财富11号1期,2022-06-07,0.95,0.95
SQJ763,睿郡财富11号1期,2022-06-08,0.954,0.954
SQJ763,睿郡财富11号1期,2022-06-09,0.95,0.95
SQJ763,睿郡财富11号1期,2022-06-10,0.954,0.954
SQJ763,睿郡财富11号1期,2022-06-17,0.959,0.959
SQJ763,睿郡财富11号1期,2022-06-24,0.964,0.964
SQJ763,睿郡财富11号1期,2022-07-01,0.978,0.978
SQJ763,睿郡财富11号1期,2022-07-05,0.981,0.981
SQJ763,睿郡财富11号1期,2022-07-06,0.978,0.978
SQJ763,睿郡财富11号1期,2022-07-07,0.98,0.98
SQJ763,睿郡财富11号1期,2022-07-08,0.985,0.985
SQJ763,睿郡财富11号1期,2022-07-11,0.98,0.98
SQJ763,睿郡财富11号1期,2022-07-15,0.974,0.974
SQJ763,睿郡财富11号1期,2022-07-22,0.979,0.979
SQJ763,睿郡财富11号1期,2022-07-29,0.98,0.98
SQJ763,睿郡财富11号1期,2022-08-05,0.987,0.987
SQJ763,睿郡财富11号1期,2022-08-08,0.99,0.99
SQJ763,睿郡财富11号1期,2022-08-09,0.991,0.991
SQJ763,睿郡财富11号1期,2022-08-10,0.989,0.989
SQJ763,睿郡财富11号1期,2022-08-11,0.997,0.997
SQJ763,睿郡财富11号1期,2022-08-12,0.998,0.998
