date,nav_unit,nav_accumulated,nav_adjusted
2021-06-25,1.0,1.0,1.0
2021-07-02,0.999,0.999,0.999
2021-07-09,1.001,1.001,1.001
2021-07-16,1.004,1.004,1.004
2021-07-23,1.006,1.006,1.006
2021-07-30,0.998,0.998,0.998
2021-08-06,1.0,1.0,1.0
2021-08-13,1.007,1.007,1.007
2021-08-20,0.993,0.993,0.993
2021-08-27,0.994,0.994,0.994
2021-09-03,0.995,0.995,0.995
2021-09-10,1.003,1.003,1.003
2021-09-17,0.982,0.982,0.982
2021-09-24,0.978,0.978,0.978
2021-09-30,0.977,0.977,0.977
2021-10-08,0.982,0.982,0.982
2021-10-15,0.983,0.983,0.983
2021-10-22,0.985,0.985,0.985
2021-10-29,0.978,0.978,0.978
2021-11-05,1.002,1.002,1.002
2021-11-12,1.014,1.014,1.014
2021-11-19,1.018,1.018,1.018
2021-11-26,1.02,1.02,1.02
2021-12-03,1.023,1.023,1.023
2021-12-10,1.02,1.02,1.02
2021-12-17,1.017,1.017,1.017
2021-12-24,1.024,1.024,1.024
2021-12-31,1.036,1.036,1.036
2022-01-07,1.042,1.042,1.042
2022-01-14,1.04,1.04,1.04
2022-01-21,1.04,1.04,1.04
2022-01-28,1.017,1.017,1.017
2022-02-11,1.044,1.044,1.044
2022-02-18,1.023,1.023,1.023
2022-02-25,1.01,1.01,1.01
2022-03-04,0.991,0.991,0.991
2022-03-11,0.962,0.962,0.962
2022-03-18,0.955,0.955,0.955
2022-03-25,0.948,0.948,0.948
2022-04-01,0.952,0.952,0.952
2022-04-08,0.947,0.947,0.947
2022-04-15,0.936,0.936,0.936
2022-04-22,0.925,0.925,0.925
2022-04-29,0.919,0.919,0.919
2022-05-06,0.912,0.912,0.912
2022-05-13,0.927,0.927,0.927
2022-05-20,0.938,0.938,0.938
2022-05-27,0.935,0.935,0.935
2022-06-02,0.947,0.947,0.947
2022-06-10,0.954,0.954,0.954
2022-06-17,0.959,0.959,0.959
2022-06-24,0.964,0.964,0.964
2022-07-01,0.978,0.978,0.978
2022-07-08,0.985,0.985,0.985
2022-07-15,0.974,0.974,0.974
2022-07-22,0.979,0.979,0.979
2022-07-29,0.98,0.98,0.98
2022-08-05,0.987,0.987,0.987
2022-08-12,0.998,0.998,0.998
2022-08-19,1.001,1.001,1.001
2022-08-26,0.99,0.99,0.99
2022-09-02,0.979,0.979,0.979
2022-09-09,0.988,0.988,0.988
2022-09-16,0.966,0.966,0.966
2022-09-23,0.959,0.959,0.959
2022-09-30,0.942,0.942,0.942
2022-10-14,0.958,0.958,0.958
2022-10-21,0.954,0.954,0.954
2022-10-28,0.929,0.929,0.929
2022-11-04,0.966,0.966,0.966
2022-11-11,0.975,0.975,0.975
2022-11-18,0.982,0.982,0.982
2022-11-25,0.997,0.997,0.997
2022-12-02,1.018,1.018,1.018
2022-12-09,1.013,1.013,1.013
2022-12-16,1.002,1.002,1.002
2022-12-23,1.0,1.0,1.0
2022-12-30,1.001,1.001,1.001
2023-01-06,1.03,1.03,1.03
2023-01-13,1.038,1.038,1.038
2023-01-20,1.064,1.064,1.064
2023-02-03,1.069,1.069,1.069
2023-02-10,1.074,1.074,1.074
2023-02-17,1.08,1.08,1.08
2023-02-24,1.077,1.077,1.077
2023-03-03,1.12,1.12,1.12
2023-03-10,1.088,1.088,1.088
2023-03-17,1.099,1.099,1.099
2023-03-24,1.086,1.086,1.086
2023-03-31,1.098,1.098,1.098
2023-04-07,1.126,1.126,1.126
2023-04-14,1.139,1.139,1.139
2023-04-21,1.135,1.135,1.135
2023-04-28,1.136,1.136,1.136
2023-05-05,1.142,1.142,1.142
2023-05-12,1.132,1.132,1.132
2023-05-19,1.14,1.14,1.14
2023-05-26,1.122,1.122,1.122
2023-06-02,1.127,1.127,1.127
2023-06-09,1.139,1.139,1.139
2023-06-16,1.123,1.123,1.123
2023-06-21,1.099,1.099,1.099
2023-06-30,1.102,1.102,1.102
2023-07-07,1.092,1.092,1.092
2023-07-14,1.126,1.126,1.126
2023-07-21,1.121,1.121,1.121
2023-07-28,1.123,1.123,1.123
2023-08-04,1.122,1.122,1.122
2023-08-11,1.129,1.129,1.129
2023-08-18,1.109,1.109,1.109
2023-08-25,1.099,1.099,1.099
2023-09-01,1.105,1.105,1.105
2023-09-08,1.102,1.102,1.102
2023-09-15,1.135,1.135,1.135
2023-09-22,1.128,1.128,1.128
2023-09-28,1.115,1.115,1.115
2023-10-13,1.103,1.103,1.103
2023-10-20,1.075,1.075,1.075
2023-10-27,1.052,1.052,1.052
2023-11-03,1.054,1.054,1.054
2023-11-10,1.053,1.053,1.053
2023-11-17,1.057,1.057,1.057
2023-11-24,1.059,1.059,1.059
2023-12-01,1.044,1.044,1.044
2023-12-08,1.04,1.04,1.04
2023-12-15,1.029,1.029,1.029
2023-12-22,1.013,1.013,1.013
2023-12-29,1.052,1.052,1.052
2024-01-05,1.05,1.05,1.05
2024-01-12,1.043,1.043,1.043
2024-01-19,1.031,1.031,1.031
2024-01-26,1.069,1.069,1.069
2024-02-02,1.054,1.054,1.054
2024-02-08,1.069,1.069,1.069
2024-02-23,1.104,1.104,1.104
2024-03-01,1.106,1.106,1.106
2024-03-08,1.116,1.116,1.116
2024-03-15,1.102,1.102,1.102
2024-03-22,1.112,1.112,1.112
2024-03-29,1.114,1.114,1.114
2024-04-03,1.122,1.122,1.122
2024-04-12,1.136,1.136,1.136
2024-04-19,1.146,1.146,1.146
2024-04-26,1.164,1.164,1.164
2024-04-30,1.15,1.15,1.15
2024-05-10,1.197,1.197,1.197
2024-05-17,1.21,1.21,1.21
2024-05-24,1.199,1.199,1.199
2024-05-31,1.219,1.219,1.219
2024-06-07,1.234,1.234,1.234
2024-06-14,1.238,1.238,1.238
2024-06-21,1.249,1.249,1.249
2024-06-28,1.299,1.299,1.299
2024-07-05,1.315,1.315,1.315
2024-07-12,1.305,1.305,1.305
2024-07-19,1.281,1.281,1.281
2024-07-26,1.243,1.243,1.243
2024-08-02,1.236,1.236,1.236
2024-08-09,1.213,1.213,1.213
2024-08-16,1.228,1.228,1.228
2024-08-23,1.223,1.223,1.223
2024-08-30,1.229,1.229,1.229
2024-09-06,1.211,1.211,1.211
2024-09-13,1.186,1.186,1.186
2024-09-20,1.198,1.198,1.198
2024-09-27,1.25,1.25,1.25
2024-09-30,1.273,1.273,1.273
2024-10-11,1.275,1.275,1.275
2024-10-18,1.27,1.27,1.27
2024-10-25,1.274,1.274,1.274
2024-11-01,1.257,1.257,1.257
2024-11-08,1.272,1.272,1.272
2024-11-15,1.263,1.263,1.263
2024-11-22,1.257,1.257,1.257
2024-11-29,1.267,1.267,1.267
2024-12-06,1.287,1.287,1.287
2024-12-13,1.307,1.307,1.307
2024-12-20,1.314,1.314,1.314
2024-12-27,1.324,1.324,1.324
2025-01-03,1.301,1.301,1.301
2025-01-10,1.271,1.271,1.271
2025-01-17,1.288,1.288,1.288
2025-01-24,1.293,1.293,1.293
2025-01-27,1.302,1.302,1.302
2025-02-07,1.326,1.326,1.326
2025-02-14,1.373,1.373,1.373
2025-02-21,1.452,1.452,1.452
2025-02-28,1.393,1.393,1.393
2025-03-07,1.451,1.451,1.451
2025-03-14,1.447,1.447,1.447
2025-03-21,1.435,1.435,1.435
2025-03-28,1.415,1.415,1.415
2025-04-03,1.417,1.417,1.417
2025-04-11,1.351,1.351,1.351
2025-04-18,1.37,1.37,1.37
2025-04-25,1.383,1.383,1.383
