date,nav_unit,nav_accumulated,nav_adjusted
2021-08-13,1.0,1.0,1.0
2021-08-20,0.9999,0.9999,0.9999
2021-08-27,0.9999,0.9999,0.9999
2021-09-03,1.0,1.0,1.0
2021-09-10,1.0073,1.0073,1.0073
2021-09-17,0.9821,0.9821,0.9821
2021-09-24,0.9751,0.9751,0.9751
2021-09-30,0.9501,0.9501,0.9501
2021-10-08,0.9427,0.9427,0.9427
2021-10-15,0.9461,0.9461,0.9461
2021-10-22,0.9534,0.9534,0.9534
2021-10-29,0.9344,0.9344,0.9344
2021-11-05,0.9206,0.9206,0.9206
2021-11-12,0.9523,0.9523,0.9523
2021-11-19,0.9649,0.9649,0.9649
2021-11-26,0.9787,0.9787,0.9787
2021-12-03,0.9858,0.9858,0.9858
2021-12-10,0.9807,0.9807,0.9807
2021-12-17,0.9661,0.9661,0.9661
2021-12-24,0.9535,0.9535,0.9535
2021-12-31,0.9757,0.9757,0.9757
2022-01-07,0.9302,0.9302,0.9302
2022-01-14,0.9289,0.9289,0.9289
2022-01-21,0.8963,0.8963,0.8963
2022-01-28,0.8525,0.8525,0.8525
2022-02-11,0.8444,0.8444,0.8444
2022-02-18,0.8663,0.8663,0.8663
2022-02-25,0.8731,0.8731,0.8731
2022-03-04,0.8679,0.8679,0.8679
2022-03-11,0.8382,0.8382,0.8382
2022-03-18,0.8053,0.8053,0.8053
2022-03-25,0.8093,0.8093,0.8093
2022-04-01,0.8111,0.8111,0.8111
2022-04-08,0.8006,0.8006,0.8006
2022-04-15,0.7847,0.7847,0.7847
2022-04-22,0.7648,0.7648,0.7648
2022-04-29,0.7422,0.7422,0.7422
2022-05-06,0.7443,0.7443,0.7443
2022-05-13,0.7594,0.7594,0.7594
2022-05-20,0.7736,0.7736,0.7736
2022-05-27,0.7717,0.7717,0.7717
2022-06-02,0.8011,0.8011,0.8011
2022-06-10,0.8183,0.8183,0.8183
2022-06-17,0.8388,0.8388,0.8388
2022-06-24,0.8654,0.8654,0.8654
2022-07-01,0.8761,0.8761,0.8761
2022-07-08,0.8839,0.8839,0.8839
2022-07-15,0.8678,0.8678,0.8678
2022-07-22,0.8973,0.8973,0.8973
2022-07-29,0.9148,0.9148,0.9148
2022-08-05,0.9014,0.9014,0.9014
2022-08-12,0.9359,0.9359,0.9359
2022-08-19,0.9433,0.9433,0.9433
2022-08-26,0.9162,0.9162,0.9162
2022-09-02,0.9054,0.9054,0.9054
2022-09-09,0.9174,0.9174,0.9174
2022-09-16,0.8598,0.8598,0.8598
2022-09-23,0.8489,0.8489,0.8489
2022-09-30,0.8124,0.8124,0.8124
2022-10-14,0.852,0.852,0.852
2022-10-21,0.8664,0.8664,0.8664
2022-10-28,0.8424,0.8424,0.8424
2022-11-04,0.9042,0.9042,0.9042
2022-11-11,0.9046,0.9046,0.9046
2022-11-18,0.9182,0.9182,0.9182
2022-11-25,0.8989,0.8989,0.8989
2022-12-02,0.9205,0.9205,0.9205
2022-12-09,0.9212,0.9212,0.9212
2022-12-16,0.9053,0.9053,0.9053
2022-12-23,0.8602,0.8602,0.8602
2022-12-30,0.875,0.875,0.875
2023-01-06,0.9034,0.9034,0.9034
2023-01-13,0.9033,0.9033,0.9033
2023-01-20,0.9289,0.9289,0.9289
2023-02-03,0.9678,0.9678,0.9678
2023-02-10,0.9875,0.9875,0.9875
2023-02-17,0.9721,0.9721,0.9721
2023-02-24,0.983,0.983,0.983
2023-03-03,0.9906,0.9906,0.9906
2023-03-10,0.9777,0.9777,0.9777
2023-03-17,0.9689,0.9689,0.9689
2023-03-24,0.9987,0.9987,0.9987
2023-03-31,0.9915,0.9915,0.9915
2023-04-07,0.9976,0.9976,0.9976
2023-04-14,0.9951,0.9951,0.9951
2023-04-21,0.9573,0.9573,0.9573
2023-04-28,0.9615,0.9615,0.9615
2023-05-05,0.9607,0.9607,0.9607
2023-05-12,0.9518,0.9518,0.9518
2023-05-19,0.9689,0.9689,0.9689
2023-05-26,0.9734,0.9734,0.9734
2023-06-02,0.9884,0.9884,0.9884
2023-06-09,0.9782,0.9782,0.9782
2023-06-16,1.0031,1.0031,1.0031
2023-06-21,0.9853,0.9853,0.9853
2023-06-30,1.0046,1.0046,1.0046
2023-07-07,0.9988,0.9988,0.9988
2023-07-14,1.0077,1.0077,1.0077
2023-07-21,0.9897,0.9897,0.9897
2023-07-28,1.003,1.003,1.003
2023-08-04,1.0082,1.0082,1.0082
2023-08-11,0.9764,0.9764,0.9764
2023-08-18,0.9627,0.9627,0.9627
2023-08-25,0.9298,0.9298,0.9298
2023-09-01,0.972,0.972,0.972
2023-09-08,0.9737,0.9737,0.9737
2023-09-15,0.9653,0.9653,0.9653
2023-09-22,0.968,0.968,0.968
2023-09-28,0.9782,0.9782,0.9782
2023-10-13,0.9717,0.9717,0.9717
2023-10-20,0.9261,0.9261,0.9261
2023-10-27,0.9527,0.9527,0.9527
2023-11-03,0.9667,0.9667,0.9667
2023-11-10,0.9835,0.9835,0.9835
2023-11-17,1.0083,1.0083,1.0083
2023-11-24,1.0056,1.0056,1.0056
2023-12-01,1.0116,1.0116,1.0116
2023-12-08,0.9874,0.9874,0.9874
2023-12-15,0.9957,0.9957,0.9957
2023-12-22,0.9672,0.9672,0.9672
2023-12-29,0.9919,0.9919,0.9919
2024-01-05,0.9791,0.9791,0.9791
2024-01-12,0.9691,0.9691,0.9691
2024-01-19,0.9179,0.9179,0.9179
2024-01-26,0.9159,0.9159,0.9159
2024-02-02,0.7606,0.7606,0.7606
2024-02-08,0.6981,0.6981,0.6981
2024-02-23,0.698,0.698,0.698
2024-03-01,0.6982,0.6982,0.6982
2024-03-08,0.6982,0.6982,0.6982
2024-03-15,0.6983,0.6983,0.6983
2024-03-22,0.6983,0.6983,0.6983
2024-03-29,0.6953,0.6953,0.6953
2024-04-03,0.7012,0.7012,0.7012
2024-04-12,0.6954,0.6954,0.6954
2024-04-19,0.6879,0.6879,0.6879
2024-04-26,0.6926,0.6926,0.6926
2024-04-30,0.6958,0.6958,0.6958
2024-05-10,0.6998,0.6998,0.6998
2024-05-17,0.7,0.7,0.7
2024-05-24,0.6931,0.6931,0.6931
2024-05-31,0.694,0.694,0.694
2024-06-07,0.6803,0.6803,0.6803
2024-06-14,0.6822,0.6822,0.6822
2024-06-21,0.6782,0.6782,0.6782
2024-06-28,0.6739,0.6739,0.6739
2024-07-05,0.6723,0.6723,0.6723
2024-07-12,0.674,0.674,0.674
2024-07-19,0.6701,0.6701,0.6701
2024-07-26,0.6665,0.6665,0.6665
2024-08-02,0.6694,0.6694,0.6694
2024-08-09,0.6674,0.6674,0.6674
2024-08-16,0.6673,0.6673,0.6673
2024-08-23,0.6671,0.6671,0.6671
