基金代码,基金名称,日期,单位净值,累计净值
SQW111,九坤股票量化优选42号,2021-09-02,1.0,1.0
SQW111,九坤股票量化优选42号,2021-09-03,1.0001,1.0001
SQW111,九坤股票量化优选42号,2021-09-10,1.0108,1.0108
SQW111,九坤股票量化优选42号,2021-09-15,1.0049,1.0049
SQW111,九坤股票量化优选42号,2021-09-17,0.9915,0.9915
SQW111,九坤股票量化优选42号,2021-09-24,0.9914,0.9914
SQW111,九坤股票量化优选42号,2021-09-30,0.9644,0.9644
SQW111,九坤股票量化优选42号,2021-10-08,0.9553,0.9553
SQW111,九坤股票量化优选42号,2021-10-15,0.9482,0.9482
SQW111,九坤股票量化优选42号,2021-10-22,0.954,0.954
SQW111,九坤股票量化优选42号,2021-10-29,0.9459,0.9459
SQW111,九坤股票量化优选42号,2021-11-05,0.9194,0.9194
SQW111,九坤股票量化优选42号,2021-11-12,0.9482,0.9482
SQW111,九坤股票量化优选42号,2021-11-15,0.9424,0.9424
SQW111,九坤股票量化优选42号,2021-11-19,0.955,0.955
SQW111,九坤股票量化优选42号,2021-11-26,0.9696,0.9696
SQW111,九坤股票量化优选42号,2021-12-03,0.9743,0.9743
SQW111,九坤股票量化优选42号,2021-12-10,0.9691,0.9691
SQW111,九坤股票量化优选42号,2021-12-15,0.964,0.964
SQW111,九坤股票量化优选42号,2021-12-17,0.954,0.954
SQW111,九坤股票量化优选42号,2021-12-24,0.9335,0.9335
SQW111,九坤股票量化优选42号,2021-12-31,0.9572,0.9572
SQW111,九坤股票量化优选42号,2022-01-07,0.9012,0.9012
SQW111,九坤股票量化优选42号,2022-01-14,0.8939,0.8939
SQW111,九坤股票量化优选42号,2022-01-17,0.9074,0.9074
SQW111,九坤股票量化优选42号,2022-01-21,0.8729,0.8729
SQW111,九坤股票量化优选42号,2022-01-28,0.8337,0.8337
SQW111,九坤股票量化优选42号,2022-02-11,0.8377,0.8377
SQW111,九坤股票量化优选42号,2022-02-15,0.8471,0.8471
