date,nav_unit,nav_accumulated,nav_adjusted
2021-09-03,1.0001,1.0001,1.0001
2021-09-10,1.0108,1.0108,1.0108
2021-09-17,0.9915,0.9915,0.9915
2021-09-24,0.9914,0.9914,0.9914
2021-09-30,0.9644,0.9644,0.9644
2021-10-08,0.9553,0.9553,0.9553
2021-10-15,0.9482,0.9482,0.9482
2021-10-22,0.954,0.954,0.954
2021-10-29,0.9459,0.9459,0.9459
2021-11-05,0.9194,0.9194,0.9194
2021-11-12,0.9482,0.9482,0.9482
2021-11-19,0.955,0.955,0.955
2021-11-26,0.9696,0.9696,0.9696
2021-12-03,0.9743,0.9743,0.9743
2021-12-10,0.9691,0.9691,0.9691
2021-12-17,0.954,0.954,0.954
2021-12-24,0.9335,0.9335,0.9335
2021-12-31,0.9572,0.9572,0.9572
2022-01-07,0.9012,0.9012,0.9012
2022-01-14,0.8939,0.8939,0.8939
2022-01-21,0.8729,0.8729,0.8729
2022-01-28,0.8337,0.8337,0.8337
2022-02-11,0.8377,0.8377,0.8377
2022-02-18,0.8619,0.8619,0.8619
2022-02-25,0.8694,0.8694,0.8694
2022-03-04,0.8646,0.8646,0.8646
2022-03-11,0.8372,0.8372,0.8372
2022-03-18,0.8266,0.8266,0.8266
2022-03-25,0.8256,0.8256,0.8256
2022-04-01,0.8289,0.8289,0.8289
2022-04-08,0.8115,0.8115,0.8115
2022-04-15,0.7846,0.7846,0.7846
2022-04-22,0.7483,0.7483,0.7483
2022-04-29,0.7275,0.7275,0.7275
2022-05-06,0.7301,0.7301,0.7301
2022-05-13,0.7703,0.7703,0.7703
2022-05-20,0.795,0.795,0.795
2022-05-27,0.7916,0.7916,0.7916
2022-06-02,0.8229,0.8229,0.8229
2022-06-10,0.8445,0.8445,0.8445
2022-06-17,0.8612,0.8612,0.8612
2022-06-24,0.884,0.884,0.884
2022-07-01,0.8984,0.8984,0.8984
2022-07-08,0.9034,0.9034,0.9034
2022-07-15,0.8873,0.8873,0.8873
2022-07-22,0.9106,0.9106,0.9106
2022-07-29,0.9195,0.9195,0.9195
2022-08-05,0.9134,0.9134,0.9134
2022-08-12,0.9399,0.9399,0.9399
2022-08-19,0.9428,0.9428,0.9428
2022-08-26,0.9212,0.9212,0.9212
2022-09-02,0.9033,0.9033,0.9033
2022-09-09,0.9218,0.9218,0.9218
2022-09-16,0.8701,0.8701,0.8701
2022-09-23,0.8598,0.8598,0.8598
2022-09-30,0.8291,0.8291,0.8291
2022-10-14,0.8666,0.8666,0.8666
2022-10-21,0.8687,0.8687,0.8687
2022-10-28,0.8385,0.8385,0.8385
2022-11-04,0.9018,0.9018,0.9018
2022-11-11,0.9033,0.9033,0.9033
2022-11-18,0.909,0.909,0.909
2022-11-25,0.8985,0.8985,0.8985
2022-12-02,0.9213,0.9213,0.9213
2022-12-09,0.9252,0.9252,0.9252
2022-12-16,0.9093,0.9093,0.9093
2022-12-23,0.8696,0.8696,0.8696
2022-12-30,0.8872,0.8872,0.8872
2023-01-06,0.9148,0.9148,0.9148
2023-01-13,0.9189,0.9189,0.9189
2023-01-20,0.9447,0.9447,0.9447
2023-02-03,0.9662,0.9662,0.9662
2023-02-10,0.9736,0.9736,0.9736
2023-02-17,0.9592,0.9592,0.9592
2023-02-24,0.9735,0.9735,0.9735
2023-03-03,0.9794,0.9794,0.9794
2023-03-10,0.9579,0.9579,0.9579
2023-03-17,0.9496,0.9496,0.9496
2023-03-24,0.9698,0.9698,0.9698
2023-03-31,0.9724,0.9724,0.9724
2023-04-07,0.9885,0.9885,0.9885
2023-04-14,0.9926,0.9926,0.9926
2023-04-21,0.9667,0.9667,0.9667
2023-04-28,0.9705,0.9705,0.9705
2023-05-05,0.9669,0.9669,0.9669
2023-05-12,0.9552,0.9552,0.9552
2023-05-19,0.9656,0.9656,0.9656
2023-05-26,0.9602,0.9602,0.9602
2023-06-02,0.9718,0.9718,0.9718
2023-06-09,0.965,0.965,0.965
2023-06-16,0.99,0.99,0.99
2023-06-21,0.9717,0.9717,0.9717
2023-06-30,0.9845,0.9845,0.9845
2023-07-07,0.981,0.981,0.981
2023-07-14,0.9922,0.9922,0.9922
2023-07-21,0.9709,0.9709,0.9709
2023-07-28,0.9836,0.9836,0.9836
2023-08-04,0.9918,0.9918,0.9918
2023-08-11,0.9634,0.9634,0.9634
2023-08-18,0.951,0.951,0.951
2023-08-25,0.9226,0.9226,0.9226
2023-09-01,0.9635,0.9635,0.9635
2023-09-08,0.96,0.96,0.96
2023-09-15,0.9489,0.9489,0.9489
2023-09-22,0.9545,0.9545,0.9545
2023-09-28,0.9596,0.9596,0.9596
2023-10-13,0.9524,0.9524,0.9524
2023-10-20,0.9136,0.9136,0.9136
2023-10-27,0.936,0.936,0.936
2023-11-03,0.9485,0.9485,0.9485
2023-11-10,0.9689,0.9689,0.9689
2023-11-17,0.9895,0.9895,0.9895
2023-11-24,0.9845,0.9845,0.9845
2023-12-01,0.9896,0.9896,0.9896
2023-12-08,0.9723,0.9723,0.9723
2023-12-15,0.9754,0.9754,0.9754
2023-12-22,0.9529,0.9529,0.9529
2023-12-29,0.9777,0.9777,0.9777
2024-01-05,0.9586,0.9586,0.9586
2024-01-12,0.9464,0.9464,0.9464
2024-01-19,0.9059,0.9059,0.9059
2024-01-26,0.9049,0.9049,0.9049
2024-02-02,0.774,0.774,0.774
2024-02-08,0.7525,0.7525,0.7525
2024-02-23,0.8033,0.8033,0.8033
2024-03-01,0.8278,0.8278,0.8278
2024-03-08,0.832,0.832,0.832
2024-03-15,0.8594,0.8594,0.8594
2024-03-22,0.8687,0.8687,0.8687
2024-03-29,0.8583,0.8583,0.8583
2024-04-03,0.8686,0.8686,0.8686
2024-04-12,0.849,0.849,0.849
2024-04-19,0.8417,0.8417,0.8417
2024-04-26,0.8624,0.8624,0.8624
2024-04-30,0.8737,0.8737,0.8737
2024-05-10,0.8878,0.8878,0.8878
2024-05-17,0.8885,0.8885,0.8885
2024-05-24,0.8668,0.8668,0.8668
2024-05-31,0.8706,0.8706,0.8706
2024-06-07,0.846,0.846,0.846
2024-06-14,0.8508,0.8508,0.8508
2024-06-21,0.8372,0.8372,0.8372
2024-06-28,0.8219,0.8219,0.8219
2024-07-05,0.8113,0.8113,0.8113
2024-07-12,0.8231,0.8231,0.8231
2024-07-19,0.8158,0.8158,0.8158
2024-07-26,0.7983,0.7983,0.7983
2024-08-02,0.8115,0.8115,0.8115
2024-08-09,0.7998,0.7998,0.7998
2024-08-16,0.8003,0.8003,0.8003
2024-08-23,0.7807,0.7807,0.7807
2024-08-30,0.7961,0.7961,0.7961
2024-09-06,0.7789,0.7789,0.7789
2024-09-13,0.7663,0.7663,0.7663
2024-09-20,0.7755,0.7755,0.7755
2024-09-27,0.886,0.886,0.886
2024-09-30,0.9683,0.9683,0.9683
2024-10-11,0.9247,0.9247,0.9247
2024-10-18,0.9625,0.9625,0.9625
2024-10-25,1.0059,1.0059,1.0059
2024-11-01,1.0131,1.0131,1.0131
2024-11-08,1.0944,1.0944,1.0944
2024-11-15,1.0565,1.0565,1.0565
2024-11-22,1.05,1.05,1.05
2024-11-29,1.089,1.089,1.089
2024-12-06,1.1303,1.1303,1.1303
2024-12-13,1.1441,1.1441,1.1441
2024-12-20,1.1299,1.1299,1.1299
2024-12-27,1.1132,1.1132,1.1132
2025-01-03,1.0305,1.0305,1.0305
2025-01-10,1.0295,1.0295,1.0295
2025-01-17,1.0767,1.0767,1.0767
2025-01-24,1.0904,1.0904,1.0904
2025-01-27,1.0803,1.0803,1.0803
2025-02-07,1.1246,1.1246,1.1246
2025-02-14,1.1459,1.1459,1.1459
2025-02-21,1.1778,1.1778,1.1778
2025-02-28,1.1525,1.1525,1.1525
2025-03-07,1.2015,1.2015,1.2015
2025-03-14,1.2209,1.2209,1.2209
2025-03-21,1.2064,1.2064,1.2064
2025-03-28,1.1898,1.1898,1.1898
2025-04-03,1.1815,1.1815,1.1815
2025-04-11,1.1266,1.1266,1.1266
2025-04-18,1.1352,1.1352,1.1352
2025-04-25,1.1606,1.1606,1.1606
